ADM2_NAME,ADM1_NAME,Month,Year,Salinity_Index_Raw
Barisal,Barisal,1,2022,937.0324924253806
Bhola,Barisal,1,2022,962.1920335239975
Jhalokati,Barisal,1,2022,892.4571912633374
Patuakhali,Barisal,1,2022,949.9659926906769
Pirojpur,Barisal,1,2022,853.178489930455
Bandarban,Chittagong,1,2022,424.8540885997956
Brahamanbaria,Chittagong,1,2022,1067.5836623937487
Chandpur,Chittagong,1,2022,897.198010442204
Chittagong,Chittagong,1,2022,653.5671593554752
Comilla,Chittagong,1,2022,874.826166235692
Cox's Bazar,Chittagong,1,2022,693.6923536040889
Feni,Chittagong,1,2022,793.5379922196547
Khagrachhari,Chittagong,1,2022,436.1302383675911
Lakshmipur,Chittagong,1,2022,944.1650551356728
Noakhali,Chittagong,1,2022,832.0946662740704
Rangamati,Chittagong,1,2022,423.5142245108343
Dhaka,Dhaka,1,2022,1007.9742205064508
Faridpur,Dhaka,1,2022,925.3639064914398
Gazipur,Dhaka,1,2022,860.4560727024015
Gopalganj,Dhaka,1,2022,869.4974302638735
Jamalpur,Dhaka,1,2022,1134.4775480808946
Kishoreganj,Dhaka,1,2022,979.8363691751326
Madaripur,Dhaka,1,2022,930.8815208176014
Manikganj,Dhaka,1,2022,994.2800738358239
Munshiganj,Dhaka,1,2022,989.6737530222799
Mymensingh,Dhaka,1,2022,1016.268825027867
Narayanganj,Dhaka,1,2022,1006.7879332425114
Narsingdi,Dhaka,1,2022,863.4405054447793
Netrakona,Dhaka,1,2022,1067.3343465961361
Rajbari,Dhaka,1,2022,871.2489815771103
Shariatpur,Dhaka,1,2022,1002.1866157425534
Sherpur,Dhaka,1,2022,1077.9268333897978
Tangail,Dhaka,1,2022,1010.5196361101401
Bagerhat,Khulna,1,2022,705.1573941978805
Chuadanga,Khulna,1,2022,1394.3682588579836
Jessore,Khulna,1,2022,752.0071031887295
Jhenaidah,Khulna,1,2022,814.6270431384804
Khulna,Khulna,1,2022,801.2060354335924
Kushtia,Khulna,1,2022,925.0150765008234
Magura,Khulna,1,2022,824.7290926087173
Meherpur,Khulna,1,2022,1637.958423458399
Narail,Khulna,1,2022,871.3422739055112
Satkhira,Khulna,1,2022,721.2064580510195
Habiganj,Sylhet,1,2022,1162.1028371199177
Maulvibazar,Sylhet,1,2022,943.1437750462209
Sunamganj,Sylhet,1,2022,914.3481450731207
Sylhet,Sylhet,1,2022,912.7683680285851
Bogra,Rajshahi,1,2022,1124.058122620324
Joypurhat,Rajshahi,1,2022,1105.7398268161694
Naogaon,Rajshahi,1,2022,1147.7751017112967
Natore,Rajshahi,1,2022,932.980858616326
Nawabganj,Rajshahi,1,2022,1258.5600033764485
Pabna,Rajshahi,1,2022,1039.9736317627712
Rajshahi,Rajshahi,1,2022,1185.2383341339753
Sirajganj,Rajshahi,1,2022,1206.7930539683214
Dinajpur,Rangpur,1,2022,1057.3398514985552
Gaibandha,Rangpur,1,2022,1183.118538135758
Kurigram,Rangpur,1,2022,1086.9580928530856
Lalmonirhat,Rangpur,1,2022,1198.3156576682238
Nilphamari,Rangpur,1,2022,1349.241300876626
Panchagarh,Rangpur,1,2022,1584.3540837719013
Rangpur,Rangpur,1,2022,1238.323865634993
Thakurgaon,Rangpur,1,2022,949.0331158410108
Barguna,Barisal,1,2022,910.4517236623188
Barisal,Barisal,2,2022,736.4996041930639
Bhola,Barisal,2,2022,821.3595566735454
Jhalokati,Barisal,2,2022,723.461388435555
Patuakhali,Barisal,2,2022,981.8751677915997
Pirojpur,Barisal,2,2022,675.4074532775905
Bandarban,Chittagong,2,2022,440.0148844785881
Brahamanbaria,Chittagong,2,2022,607.5294773088616
Chandpur,Chittagong,2,2022,570.1231911510437
Chittagong,Chittagong,2,2022,672.835204406991
Comilla,Chittagong,2,2022,575.8559916922143
Cox's Bazar,Chittagong,2,2022,668.141957019964
Feni,Chittagong,2,2022,727.2954894835605
Khagrachhari,Chittagong,2,2022,522.3824788293246
Lakshmipur,Chittagong,2,2022,710.9290880462318
Noakhali,Chittagong,2,2022,696.3028343476508
Rangamati,Chittagong,2,2022,492.9340430589959
Dhaka,Dhaka,2,2022,705.7649295257606
Faridpur,Dhaka,2,2022,635.2218746019988
Gazipur,Dhaka,2,2022,639.8876941250588
Gopalganj,Dhaka,2,2022,513.3012192264947
Jamalpur,Dhaka,2,2022,736.390314147667
Kishoreganj,Dhaka,2,2022,597.106645954582
Madaripur,Dhaka,2,2022,582.271769204979
Manikganj,Dhaka,2,2022,721.5719980476159
Munshiganj,Dhaka,2,2022,582.3821126642431
Mymensingh,Dhaka,2,2022,734.2408633201654
Narayanganj,Dhaka,2,2022,679.5935623032788
Narsingdi,Dhaka,2,2022,552.9518275739217
Netrakona,Dhaka,2,2022,676.774238717304
Rajbari,Dhaka,2,2022,646.6713077686269
Shariatpur,Dhaka,2,2022,632.3006511480361
Sherpur,Dhaka,2,2022,716.0673508135881
Tangail,Dhaka,2,2022,699.0848651836365
Bagerhat,Khulna,2,2022,503.7711650972008
Chuadanga,Khulna,2,2022,465.1109385733401
Jessore,Khulna,2,2022,558.0231953921481
Jhenaidah,Khulna,2,2022,506.4993522875497
Khulna,Khulna,2,2022,600.7750597812451
Kushtia,Khulna,2,2022,688.4691031191603
Magura,Khulna,2,2022,558.0249725358809
Meherpur,Khulna,2,2022,496.46603384800426
Narail,Khulna,2,2022,567.6962977166326
Satkhira,Khulna,2,2022,634.3999926694747
Habiganj,Sylhet,2,2022,645.6624051254726
Maulvibazar,Sylhet,2,2022,665.446505586894
Sunamganj,Sylhet,2,2022,607.2722810631014
