pH,Organic_Carbon,Nitrogen,Clay,Sand,Silt,Bulk_Density,valid_points,grid_log,District,Latitude,Longitude
5.73,33.97,3.89,28.25,22.23,49.52,1.23,5,✅⚠️✅✅✅,Bagerhat,22.6554781,89.7941813
5.51,20.44,2.2,29.3,36.52,34.18,1.22,5,✅✅✅✅✅,Bandarban,21.787476,92.4124752
5.71,25.17,2.47,29.17,25.11,45.74,1.27,5,✅✅✅⚠️⚠️,Barguna,22.1313358,90.1172431
5.73,28.15,2.44,27.75,24.02,48.24,1.27,5,✅⚠️✅✅✅,Barishal,22.4934035,90.3548015
5.57,31.05,2.48,30.53,27.14,42.37,1.27,4,✅✅✅❌⚠️,Bhola,22.1435694,90.7904089
6.18,17.93,1.68,35.2,21.52,43.28,1.3,5,✅⚠️⚠️✅✅,Bogura,24.8500662,89.3728431
5.7,25.48,2.96,34.18,25.82,40.02,1.29,5,✅✅✅⚠️⚠️,Brahmanbaria,23.9605999,91.1190893
5.52,31.68,3.47,32.55,28.9,38.55,1.26,5,✅⚠️✅⚠️✅,Chandpur,23.2241763,90.6531005
6.15,14.69,1.6,36.38,22.19,41.44,1.28,5,✅✅✅✅✅,Chapai Nawabganj,24.5998869,88.2850466
6.31,14.48,1.39,37.8,22.9,39.3,1.3,5,✅✅✅⚠️✅,Chattogram,22.333778,91.8344348
6.07,20.18,1.46,38.89,18.38,42.72,1.3,5,⚠️✅✅✅⚠️,Chuadanga,23.6436608,88.846448
6.29,16.93,1.27,39.98,17.38,42.65,1.32,5,✅✅⚠️⚠️⚠️,CoxsBazar,21.4420039,91.9812464
5.39,19.73,1.67,36.14,26.69,37.19,1.3,4,❌✅⚠️✅✅,Cumilla,23.4609839,91.1812216
5.49,13.48,1.2,40.33,25.96,33.7,1.32,5,⚠️✅⚠️✅✅,Dhaka,23.7643863,90.3890144
6.01,15.94,1.43,37.14,25.3,37.54,1.28,5,⚠️⚠️⚠️✅✅,Dinajpur,25.6260712,88.6346228
6.26,17.25,1.33,33.5,25.3,41.19,1.31,5,✅✅✅✅⚠️,Faridpur,23.6040182,89.8415542
5.67,20.91,1.66,35.16,25.97,38.87,1.29,5,⚠️✅⚠️✅✅,Feni,23.0127602,91.4049232
5.59,17.13,1.51,36.5,26.57,36.92,1.32,5,✅✅✅✅✅,Gaibandha,25.0860006,89.8696436
5.75,17.96,1.49,32.53,28.89,38.58,1.3,5,✅⚠️✅⚠️✅,Gazipur,23.9997166,90.4184036
5.59,29.57,2.31,33.11,25.11,41.8,1.25,5,⚠️⚠️⚠️✅✅,Gopalganj,23.0049937,89.8303176
5.58,32.61,2.19,28.52,25.83,45.65,1.23,5,✅✅⚠️⚠️✅,Habiganj,24.3746027,91.4140272
5.78,23.76,1.89,29.99,31.6,38.41,1.28,5,✅✅⚠️✅✅,Jamalpur,24.9255866,89.9436684
6.15,19.27,1.81,29.39,19.9,50.71,1.33,5,✅✅✅⚠️✅,Jashore,23.1665256,89.2094419
5.93,21.42,2.0,31.9,16.34,51.81,1.29,5,✅✅⚠️✅⚠️,Jhallokati,,
6.21,20.84,1.65,30.96,16.69,52.35,1.26,5,⚠️✅✅✅✅,Jhenaidah,23.5446964,89.1731943
6.47,12.9,1.27,38.48,21.6,39.89,1.31,5,✅✅✅✅✅,Joypurhat,25.1095192,88.9889861
5.58,13.79,1.33,32.68,28.85,38.46,1.27,5,✅✅✅✅✅,Khagrachari,23.214773,91.9591022
5.81,18.99,1.82,32.95,24.57,42.51,1.28,5,✅✅✅✅✅,Khulna,22.9372087,89.2852741
5.66,20.65,1.96,32.42,25.32,42.24,1.29,5,⚠️✅⚠️✅✅,Kishoreganj,24.4339822,90.7857232
