Area,AP Ratio,District,Season,Avg Temp,Avg Humidity,Crop Name,Transplant,Growth,Harvest,Production,Max Temp,Min Temp,Min Relative Humidity,Max Relative Humidity,Year,EVI,LAI,FPAR,LST_Kelvin,Soil_Moisture_mm,NDVI_Season_Mean,NDVI_Season_Max,NDVI_Season_Min,NDVI_Season_Std,NDVI_Season_Range,NDVI_Season_CV,Avg_Salinity_Index,pH,Organic_Carbon,Nitrogen,Clay,Sand,Silt,Bulk_Density,CN_Ratio,pH_Suitability,Compaction_Risk,Dominant_Soil_Texture,sm_surface,sm_rootzone,Rootzone_Surface_Diff,Moisture_Ratio,Water_Availability_Cat,Rainfall,Heat_Stress_Days,Wind_Mean,Wind_Max,Wind_Min,Rain_Temp_Ratio,Extreme_Heat_Risk,Is_Extreme_Heat,is_extreme_Heat_Stress_Days,is_extreme_Wind_Max
1,6.0,Mymensingh,Kharif 2,30.0,80.0,Jamrul,June,July to August,June  to September,6,35,25.0,70,90,2022,0.4106339130402252,1.4748403173334657,5.057316705379154,301.6496706149745,-7492.914102170085,0.4772785243649096,0.6661036234448312,0.1389876607018474,0.236589897802256,0.5271159627429838,0.4957061458339745,722.0789151781311,5.73,16.23,1.49,31.27,29.94,38.8,1.31,10.89,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3778,0.3725,-0.0052,0.9837,Optimal,1391.11,0.0,1.5408130081300817,5.49,0.03,50.58,Low Risk,0,0,0
1,1.0,Bogura,Kharif 1,27.5,85.0,Malta,June,June to August,August to September,1,35,20.0,80,90,2022,0.3135492365724523,0.9588678271602764,3.5346077446403745,302.10831469026914,21.623602122603792,0.2695753116880148,0.3974557819503149,0.1186313763339489,0.1146683263696878,0.278824405616366,0.4253665725235102,1086.6998506354364,6.18,17.93,1.68,35.2,21.52,43.28,1.3,10.67,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3063,0.3207,0.0144,1.0526,Optimal,895.25,42.5,2.442459016393443,6.82,0.06,31.2,High Risk,1,1,0
1,21.0,Sylhet,Kharif 1,27.5,85.0,Malta,June,June to August,August to September,21,35,20.0,80,90,2022,0.18685284943970712,0.7101077169662329,2.4313949178353487,301.52271203406684,24.628947614362872,0.1045169528541355,0.2401914716423759,0.021092634797125,0.1050547455486178,0.2190988368452509,1.0051455068273265,1019.7318102325816,5.61,19.98,1.81,28.45,42.62,28.93,1.24,11.03,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.4416,0.4462,0.0046,1.008,Optimal,2078.94,15.0,1.5492622950819672,4.69,0.09,75.86,Moderate Risk,0,0,0
1,12.0,Sylhet,Kharif 1,20.5,72.5,Date Palm,April,No Need to Do,Feb to March,12,35,6.0,60,85,2022,0.18685284943970712,0.7101077169662329,2.4313949178353487,301.52271203406684,24.628947614362872,0.1045169528541355,0.2401914716423759,0.021092634797125,0.1050547455486178,0.2190988368452509,1.0051455068273265,1019.7318102325816,5.61,19.98,1.81,28.45,42.62,28.93,1.24,11.03,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2441,0.2815,0.0374,1.1911,Optimal,2078.94,15.0,1.5492622950819672,4.69,0.09,75.86,Moderate Risk,0,0,0
1,1.0,Feni,Kharif 1,21.5,82.5,Dalim,April,No Need to Do,Throuout The Year,1,38,5.0,70,95,2022,0.3665906769782119,1.1537637397187268,4.103794430631279,302.561120319793,16.78831163380378,0.2297341345425387,0.3420579380209889,0.0507026668147709,0.1321343045015581,0.2913552712062179,0.5751618267989319,1211.038877783889,5.67,20.91,1.66,35.16,25.97,38.87,1.29,12.59,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2487,0.2782,0.0294,1.1956,Optimal,1134.36,10.0,2.403688524590164,6.22,0.12,41.41,Moderate Risk,0,0,0
1,2.0,Pirojpur,Kharif 1,21.5,82.5,Dalim,April,No Need to Do,Throuout The Year,2,38,5.0,70,95,2022,0.3676248632899017,1.399285678427752,4.355157440166984,301.66703165194235,13.114942509391028,0.3480256868677557,0.4034404459856785,0.264165553095138,0.0620887177919317,0.1392748928905405,0.1784026873152167,918.2655124550027,5.79,33.040000000000006,3.2150000000000003,29.02,23.88,47.1,1.22,7.75,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2655,0.2999,0.0344,1.195,Optimal,656.33,42.5,2.48188524590164,5.86,0.04,22.73,High Risk,1,1,0
1,4.0,Munshiganj,Kharif 1,21.5,82.5,Dalim,April,No Need to Do,Throuout The Year,4,38,5.0,70,95,2022,0.3317521444981284,1.140735825380015,3.80843923220785,302.41762310628,14.839407407536791,0.2820729865555412,0.3805900028922174,0.1254731884929805,0.1094906672468311,0.2551168143992369,0.3881643137254902,1017.2962471629957,5.44,20.42,2.42,35.02,29.59,35.41,1.25,8.43,Acidic (Chua),Low,Loamy (Thịt/Phù Sa),0.2462,0.2671,0.0209,1.1457,Optimal,896.28,41.0,2.7607377049180326,6.78,0.13,31.49,High Risk,1,0,0
1,3.0,Noakhali,Kharif 1,24.0,70.0,Safeda,April,No Need to Do,Jan to March,3,38,10.0,60,80,2022,0.3175458470826783,1.6321282104985515,4.167741732070979,302.2793504191985,19.92480629619872,0.2317849420819408,0.3485228861940609,0.1125262690416429,0.1108842442473148,0.235996617152418,0.4783927862238563,892.7393467460697,5.79,23.52,1.72,33.46,29.05,37.49,1.31,13.67,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.1347,0.1878,0.053,1.4626,Moderate,1243.4,0.0,4.176393442622951,8.21,0.16,44.3,Low Risk,0,0,0
1,4.0,Bhola,Kharif 1,24.0,70.0,Safeda,April,No Need to Do,Jan to March,4,38,10.0,60,80,2022,0.2564676969903233,1.2035349237855488,3.942883823985219,301.08124480602925,18.25341006993674,0.1937122601154376,0.2246323016939531,0.1700006675577468,0.0229865281816801,0.0546316341362063,0.1186632594549353,925.6032514459698,5.57,31.05,2.48,30.53,27.14,42.37,1.27,12.52,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.1467,0.21,0.0633,1.515,Moderate,1663.21,0.0,3.684180327868853,7.13,0.09,59.17,Low Risk,0,0,0
1,5.0,Sirajganj,Kharif 1,24.0,70.0,Safeda,April,No Need to Do,Jan to March,5,38,10.0,60,80,2022,0.2883424254592767,0.8434874516179025,3.243103238375398,301.4346498654085,19.1867737579304,0.1939391519162513,0.2438028677727265,0.1381345270632336,0.055318296172112,0.1056683407094929,0.285235320591688,1122.7924980279338,5.87,16.81,1.53,30.62,29.44,39.96,1.34,10.98,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.1316,0.1896,0.058,1.4669,Moderate,1038.79,42.5,2.3401639344262297,6.82,0.09,36.24,High Risk,1,1,0
