ADM2_NAME,ADM2_CODE,Month,Year,EVI,LAI,FPAR,LST_Kelvin,Soil_Moisture_mm
Barisal,5762,1,2022,0.24783602444812375,1.0614501630744169,4.340449978276657,295.2514497391497,7.976049257482495
Bhola,5763,1,2022,0.21459616380334998,0.9834603074939514,4.14768106399474,295.60877393913023,13.029382294534106
Jhalokati,5764,1,2022,0.29761908862630626,1.0874423545277543,4.876939972679168,295.9887382062581,6.167500989684569
Patuakhali,5765,1,2022,0.2188115065318541,0.6303583277438625,3.361550055814656,296.8701524239319,12.443186835161654
Pirojpur,5766,1,2022,0.2966738095511647,1.346692247592066,5.086156905856033,295.60522789563277,6.32199000968487
Bandarban,5767,1,2022,0.423979357654535,3.5893101301015227,7.966599038610151,296.141139285462,3.961904551623006
Brahamanbaria,5768,1,2022,0.24650904258293543,0.7227939211367538,3.4186173047243242,296.21555850066665,6.990930940515566
Chandpur,5769,1,2022,0.28186841050149675,1.4013204598203377,4.903635261325743,295.3415049600582,5.827155380063496
Chittagong,5770,1,2022,0.32070020229747853,1.5386441447987687,5.5030951257172065,297.2276984890347,8.27444333007204
Comilla,5771,1,2022,0.29214625900324254,0.7973042572238219,3.9140378932048234,295.99527123903687,8.423208115121199
Cox's Bazar,5772,1,2022,0.30218864673489704,1.862200198023438,5.534316832639973,298.257386697167,12.750035451659077
Feni,5773,1,2022,0.2840604549006788,1.0186583653664738,4.542350933780297,296.23989298355934,10.067939072509883
Khagrachhari,5774,1,2022,0.4261628127961914,2.9730650750440697,7.400724219665919,295.37682447267497,8.294509749506187
Lakshmipur,5775,1,2022,0.261539513251495,1.7651216284964235,5.104048030952837,295.33248610327104,7.651302110734616
Noakhali,5776,1,2022,0.27907932528908147,1.643245889843345,4.85656542381083,295.762940552809,14.939771653698863
Rangamati,5777,1,2022,0.40953875008003415,3.758051945554938,7.99168934846354,294.7976941932191,4.314729232640792
Dhaka,5778,1,2022,0.26575709106932754,0.8723575035373533,4.105286778395888,296.1643807562892,8.219125736463324
Faridpur,5779,1,2022,0.29332511766238983,0.8356851467028501,4.084486926940831,295.83528265211436,9.593797332650903
Gazipur,5780,1,2022,0.2722267945388868,0.8832256900377259,4.105611782947488,295.0748909276151,9.758772291896374
Gopalganj,5781,1,2022,0.27358428671227636,1.0273857363364383,3.988874315353134,295.7379105055407,8.100658362010325
Jamalpur,5782,1,2022,0.2800488833449251,0.8224497426186654,4.288943741314867,295.1669374706264,3.922920713981382
Kishoreganj,5783,1,2022,0.24403485598498081,0.6349566827873978,3.3178153244174293,295.32115252032503,6.0411673631446785
Madaripur,5784,1,2022,0.3197212729044667,1.1014693514607428,4.851643126513405,295.6964857274302,6.394062730258612
Manikganj,5785,1,2022,0.35035013883359084,1.2754584567375709,5.404021023435813,295.03439784938695,8.795593775658691
Munshiganj,5786,1,2022,0.2942700746121838,1.055021536666636,4.268654660922076,296.2218264064058,6.518990380379987
Mymensingh,5787,1,2022,0.2228442508549417,0.5574448395638719,3.2728110706041647,295.3158970799132,5.427778150836621
Narayanganj,5788,1,2022,0.2503313230000656,0.6707866496415616,3.4200104844364225,296.27490317715495,6.761689763536516
Narsingdi,5789,1,2022,0.27972165206618316,1.0047927559790724,4.2209107363928196,295.6029899247983,7.375811868144613
Netrakona,5790,1,2022,0.20800955478818617,0.47257184563196714,2.9793469242735893,296.1549816270954,5.269148149293651
Rajbari,5791,1,2022,0.26668166871967186,0.7160356641395353,3.609751978277796,295.55820852478905,11.01994044970063
Shariatpur,5792,1,2022,0.31349411692602547,1.1065079463400809,4.860208834772753,295.7324025014571,5.556438921064991
Sherpur,5793,1,2022,0.2182013516445245,0.6188708097185265,3.429603339297989,295.4304065500216,4.94508235945133
Tangail,5794,1,2022,0.3031216168942717,1.0623212433114084,4.852802038103668,294.94282199233095,7.487259701921951
Bagerhat,5795,1,2022,0.30246154533196457,2.867552663624863,6.116630429756135,294.6417146549583,8.994150270717581
Chuadanga,5796,1,2022,0.3863006964909074,1.2495889017005737,5.2251787747692875,295.0488965640637,8.651210399451637
Jessore,5797,1,2022,0.2622603611152105,0.9143679542955129,4.230988851069812,295.229376662467,6.618025678748358
Jhenaidah,5798,1,2022,0.3043106087696318,0.8449403633311587,4.000036978457818,295.5745632908628,10.05389117507468
Khulna,5799,1,2022,0.2559806034570481,2.1541613514509126,4.816946392463204,294.7607548398232,8.507945098624335
Kushtia,5800,1,2022,0.345724090236069,1.1023310818978365,4.793437460785994,294.8376205420693,8.43000753218036
Magura,5801,1,2022,0.2814401173215576,0.7531058807680985,3.660786387905662,295.88367959677896,11.073628518920575
Meherpur,5802,1,2022,0.4264172890668281,1.413521843091026,5.657101474306173,294.8549311876261,8.759352049330058
Narail,5803,1,2022,0.26661478285345014,0.7695300224778111,3.758667034518966,295.4659493225717,6.966282538141899
Satkhira,5804,1,2022,0.24041840513021875,2.0017346488463024,4.8528556516299215,294.7684649638933,6.890216261429465
Habiganj,5821,1,2022,0.24437960361844357,0.950768580992016,3.8960759945589154,296.0452230537533,8.825352760382017
Maulvibazar,5822,1,2022,0.30312081352043924,1.3832845712527992,5.0789659167440515,295.8772530396376,8.128200692979595
Sunamganj,5823,1,2022,0.23596383315283237,0.9067982834739208,3.86442756951206,295.34492258008225,6.018659857538416
