Area,AP Ratio,District,Season,Avg Temp,Avg Humidity,Crop Name,Transplant,Growth,Harvest,Production,Max Temp,Min Temp,Max Relative Humidity,Min Relative Humidity,Avg_Salinity_Index
177321,0.8510272331,Bagerhat,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,150905,40,12.0,60,85,517.8162711223541
25646,1.175777899,Bandarban,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,30154,40,12.0,60,85,481.86111711278716
231401,0.7705887183,Barguna,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,178315,40,12.0,60,85,700.9043525517269
302665,0.7571043893,Barishal,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,229149,40,12.0,60,85,764.8579796144244
388575,1.100652384,Bhola,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,427686,40,12.0,60,85,869.4370050584953
443007,1.192475514,Bogura,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,528275,40,12.0,60,85,788.5407535084446
174588,1.014634454,Brahmanbaria,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,177143,40,12.0,60,85,757.6894362057642
90004,0.7804430914,Chandpur,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,70243,40,12.0,60,85,722.3182781172522
140665,1.127252693,Chapai Nawabganj,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,158565,40,12.0,60,85,745.512818127511
444857,0.9779996718,Chattogram,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,435070,40,12.0,60,85,594.6942591983845
85718,1.096677477,Chuadanga,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,94005,40,12.0,60,85,710.1506447053257
181306,1.110415541,CoxsBazar,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,201325,40,12.0,60,85,639.3646638507321
327517,0.9096474381,Cumilla,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,297925,40,12.0,60,85,655.347146304121
18702,0.9652443589,Dhaka,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,18052,40,12.0,60,85,906.1117998042616
645472,1.078918993,Dinajpur,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,696412,40,12.0,60,85,713.9237103608938
191856,1.040175965,Faridpur,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,199564,40,12.0,60,85,775.9917718550253
163129,1.202152897,Feni,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,196106,40,12.0,60,85,618.2732878803406
293991,1.126656938,Gaibandha,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,331227,40,12.0,60,85,775.7867248374891
112432,1.185907927,Gazipur,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,133334,40,12.0,60,85,785.7530389378867
59993,0.7519377261,Gopalganj,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,45111,40,12.0,60,85,647.2486283291205
