District,month,year,sm_surface,sm_rootzone,Rootzone_Surface_Diff,Moisture_Ratio,Water_Availability_Cat
Barishal,1,2022,0.2507762733843716,0.2972190639063067,0.0464,1.1805,Optimal
Bhola,1,2022,0.2304389261957792,0.2739016861185905,0.0435,1.1835,Optimal
Jhallokati,1,2022,0.2112888957519694,0.2563614570859324,0.0451,1.2076,Optimal
Patuakhali,1,2022,0.2831848524537375,0.3315499442274884,0.0484,1.1667,Optimal
Pirojpur,1,2022,0.2392821635360687,0.2795346947354546,0.0403,1.1634,Optimal
Bandarban,1,2022,0.1978886573268652,0.2546124214384475,0.0567,1.2802,Optimal
Brahmanbaria,1,2022,0.2232168110812859,0.2689328581526074,0.0457,1.1994,Optimal
Chandpur,1,2022,0.2325818184307035,0.268559713737697,0.036,1.1497,Optimal
Chattogram,1,2022,0.1779276338410228,0.2288754564804465,0.0509,1.2792,Moderate
Cumilla,1,2022,0.2468630779878995,0.2828127943083768,0.0359,1.141,Optimal
CoxsBazar,1,2022,0.1468363440663631,0.2099287302869102,0.0631,1.42,Moderate
Feni,1,2022,0.2182896468349899,0.2571931173831489,0.0389,1.1728,Optimal
Khagrachari,1,2022,0.2586325317119969,0.2890292587265691,0.0304,1.1132,Optimal
Lakshmipur,1,2022,0.2279149080659557,0.2577435275758461,0.0298,1.1259,Optimal
Noakhali,1,2022,0.2082792661113347,0.2434675760449398,0.0352,1.1634,Moderate
Rangamati,1,2022,0.2374293624373321,0.2767674780394958,0.0393,1.1608,Optimal
Dhaka,1,2022,0.219563501464395,0.2666715226510932,0.0471,1.209,Optimal
Faridpur,1,2022,0.2784010350138527,0.3609155996137143,0.0825,1.2917,Optimal
Gazipur,1,2022,0.2551524555846636,0.2903567825553757,0.0352,1.1335,Optimal
Gopalganj,1,2022,0.415687567435298,0.7450904658708027,0.3294,1.7881,Optimal
Jamalpur,1,2022,0.1191193140538378,0.1768781466028621,0.0578,1.4725,Moderate
Kishoreganj,1,2022,0.1945840570285959,0.2347974104373659,0.0402,1.2005,Moderate
Madaripur,1,2022,0.2709738628769463,0.3388218010295973,0.0678,1.2458,Optimal
Manikganj,1,2022,0.1605622800055498,0.2160780665574607,0.0555,1.3374,Moderate
Munshiganj,1,2022,0.2060133098283418,0.2407768781752735,0.0348,1.1631,Moderate
Mymensingh,1,2022,0.1725538711999692,0.214472756904719,0.0419,1.2358,Moderate
Narayanganj,1,2022,0.2505119051037512,0.2851826213001522,0.0347,1.1339,Optimal
Narsingdi,1,2022,0.2369102221334277,0.274699696896252,0.0378,1.1546,Optimal
Netrokona,1,2022,0.192121611048616,0.2242734109484118,0.0322,1.1613,Moderate
Rajbari,1,2022,0.1893886516054908,0.2393531313320596,0.05,1.2572,Moderate
Shariatpur,1,2022,0.2548770571575348,0.297595265751724,0.0427,1.163,Optimal
Sherpur,1,2022,0.117509361793406,0.1774190825570529,0.0599,1.4971,Moderate
Tangail,1,2022,0.1648721390567933,0.2216932719714603,0.0568,1.3365,Moderate
Bagerhat,1,2022,0.328367700512036,0.406722848581049,0.0784,1.2349,Optimal
Chuadanga,1,2022,0.2134656086793842,0.2545866184137652,0.0411,1.1871,Optimal
Jashore,1,2022,0.2556658023903144,0.3353327352229862,0.0797,1.3065,Optimal
Jhenaidah,1,2022,0.2409981506459186,0.2765268972056646,0.0355,1.1427,Optimal
Khulna,1,2022,0.3398214151235434,0.4456984861392676,0.1059,1.3077,Optimal
Kushtia,1,2022,0.1625092755727158,0.2131795196338601,0.0507,1.3038,Moderate
Magura,1,2022,0.2547490068872605,0.2942093787429347,0.0395,1.1504,Optimal
Meherpur,1,2022,0.1933525286566826,0.2408355102712108,0.0475,1.2392,Moderate
Narail,1,2022,0.3452287578593319,0.5656410508738412,0.2204,1.6337,Optimal
Satkhira,1,2022,0.3190814073671374,0.368420721618348,0.0493,1.151,Optimal
Habiganj,1,2022,0.2103247700676412,0.2454501299901849,0.0351,1.1615,Moderate
Moulvibazar,1,2022,0.2177136393235048,0.267879302004906,0.0502,1.2248,Optimal
Sunamganj,1,2022,0.2360141829080741,0.2682547079311951,0.0322,1.1318,Optimal
Sylhet,1,2022,0.2712141610177973,0.3097652359642225,0.0386,1.1379,Optimal
Bogura,1,2022,0.1226250004211138,0.1906206043291737,0.068,1.5419,Moderate
Joypurhat,1,2022,0.1041568237510356,0.189422536610247,0.0853,1.8013,Moderate
