District,pH,Organic_Carbon,Nitrogen,Clay,Sand,Silt,Bulk_Density,valid_points,grid_log,Latitude,Longitude,CN_Ratio,pH_Suitability,Compaction_Risk,Dominant_Soil_Texture
Bagerhat,5.73,33.97,3.89,28.25,22.23,49.52,1.23,5,✅⚠️✅✅✅,22.6554781,89.7941813,8.73,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Bandarban,5.51,20.44,2.2,29.3,36.52,34.18,1.22,5,✅✅✅✅✅,21.787476,92.4124752,9.29,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Barguna,5.71,25.17,2.47,29.17,25.11,45.74,1.27,5,✅✅✅⚠️⚠️,22.1313358,90.1172431,10.19,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Barishal,5.73,28.15,2.44,27.75,24.02,48.24,1.27,5,✅⚠️✅✅✅,22.4934035,90.3548015,11.53,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Bhola,5.57,31.05,2.48,30.53,27.14,42.37,1.27,4,✅✅✅❌⚠️,22.1435694,90.7904089,12.52,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Bogura,6.18,17.93,1.68,35.2,21.52,43.28,1.3,5,✅⚠️⚠️✅✅,24.8500662,89.3728431,10.67,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Brahmanbaria,5.7,25.48,2.96,34.18,25.82,40.02,1.29,5,✅✅✅⚠️⚠️,23.9605999,91.1190893,8.61,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Chandpur,5.52,31.68,3.47,32.55,28.9,38.55,1.26,5,✅⚠️✅⚠️✅,23.2241763,90.6531005,9.13,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Chapai Nawabganj,6.15,14.69,1.6,36.38,22.19,41.44,1.28,5,✅✅✅✅✅,24.5998869,88.2850466,9.18,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Chattogram,6.31,14.48,1.39,37.8,22.9,39.3,1.3,5,✅✅✅⚠️✅,22.333778,91.8344348,10.41,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Chuadanga,6.07,20.18,1.46,38.89,18.38,42.72,1.3,5,⚠️✅✅✅⚠️,23.6436608,88.846448,13.81,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
CoxsBazar,6.29,16.93,1.27,39.98,17.38,42.65,1.32,5,✅✅⚠️⚠️⚠️,21.4420039,91.9812464,13.32,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
