Season,Rainfall,Temp_Mean,Temp_Max,Temp_Min,Heat_Stress_Days,Wind_Mean,Wind_Max,Wind_Min,District,Year
Kharif 1,656.33,28.878196721311475,41.26,16.01,54,2.4818852459016396,5.86,0.04,Bagerhat,2022
Kharif 2,1451.65,27.76869918699187,33.57,18.56,0,2.063739837398374,7.47,0.04,Bagerhat,2022
Rabi,220.42999999999998,19.631500000000003,30.58,8.35,0,1.4529166666666666,4.33,0.04,Bagerhat,2022
Kharif 1,1122.24,26.343852459016393,37.14,12.88,24,0.10836065573770493,0.93,0.0,Bandarban,2022
Kharif 2,1354.97,26.048780487804876,32.68,17.05,0,0.07219512195121952,0.51,0.0,Bandarban,2022
Rabi,81.51,18.951083333333333,31.46,7.86,0,0.314,1.03,0.0,Bandarban,2022
Kharif 1,875.14,28.495573770491802,35.98,18.28,5,2.7315573770491803,5.38,0.06,Barguna,2022
Kharif 2,1785.97,28.12731707317073,32.51,20.84,0,2.4834146341463414,7.86,0.08,Barguna,2022
Rabi,229.52,20.84725,30.34,11.07,0,1.7281666666666666,4.26,0.11,Barguna,2022
Kharif 1,1000.13,28.220245901639345,37.02,17.22,16,3.0311475409836066,6.44,0.07,Barishal,2022
Kharif 2,1601.92,27.991219512195123,32.47,19.53,0,2.7213008130081304,8.09,0.1,Barishal,2022
Rabi,208.71,20.131916666666665,29.78,10.33,0,1.8484166666666666,5.17,0.04,Barishal,2022
Kharif 1,1663.21,28.106803278688528,33.74,19.66,0,3.6841803278688525,7.13,0.09,Bhola,2022
Kharif 2,2272.77,28.43642276422764,31.57,21.83,0,3.5834959349593496,10.3,0.13,Bhola,2022
Rabi,270.62,21.403833333333335,29.2,13.89,0,2.49725,5.94,0.12,Bhola,2022
Kharif 1,895.25,28.693032786885247,40.21,14.25,47,2.442459016393443,6.82,0.06,Bogura,2022
Kharif 2,913.65,27.936585365853656,34.8,18.46,0,2.2352032520325205,7.91,0.03,Bogura,2022
Rabi,83.29,18.81775,29.65,7.78,0,1.3842500000000002,6.64,0.04,Bogura,2022
Kharif 1,1184.34,28.060081967213115,39.2,14.82,43,2.309754098360656,6.61,0.12,Brahmanbaria,2022
Kharif 2,1124.16,27.68121951219512,33.87,18.72,0,1.6234146341463416,5.66,0.08,Brahmanbaria,2022
Rabi,70.13,19.586666666666666,30.32,9.05,0,1.0854166666666667,3.64,0.01,Brahmanbaria,2022
Kharif 1,897.09,28.29688524590164,38.75,16.37,34,2.7896721311475408,6.68,0.12,Chandpur,2022
Kharif 2,1311.3799999999999,27.853658536585368,32.95,19.15,0,2.3895121951219513,7.82,0.03,Chandpur,2022
Rabi,130.03,19.78575,29.93,9.59,0,1.5768333333333333,4.92,0.03,Chandpur,2022
Kharif 1,342.22,30.54688524590164,43.86,15.18,96,2.443032786885246,6.23,0.03,Chapai Nawabganj,2022
Kharif 2,667.02,28.461138211382114,37.9,17.77,17,2.312439024390244,8.68,0.04,Chapai Nawabganj,2022
Rabi,67.62,18.761833333333335,31.13,7.74,0,1.5725,5.4,0.03,Chapai Nawabganj,2022
Kharif 1,1205.62,27.631311475409834,36.72,15.16,4,2.856229508196721,6.45,0.12,Chattogram,2022
Kharif 2,1450.75,28.04821138211382,34.55,19.76,0,2.3628455284552845,11.27,0.03,Chattogram,2022
Rabi,98.78,20.408583333333336,31.75,9.62,0,1.6609166666666666,4.45,0.08,Chattogram,2022
Kharif 1,392.57,29.830081967213115,44.7,14.82,79,2.6054918032786887,6.9,0.06,Chuadanga,2022
Kharif 2,774.47,27.95178861788618,35.82,17.95,3,2.198455284552846,7.92,0.06,Chuadanga,2022
Rabi,87.14999999999999,19.163083333333336,30.34,7.12,0,1.4136666666666666,4.92,0.06,Chuadanga,2022
Kharif 1,1987.35,27.713196721311476,31.21,19.08,0,3.1152459016393443,6.25,0.16,CoxsBazar,2022
Kharif 2,2423.67,28.44813008130081,31.15,24.88,0,3.3356910569105693,12.16,0.07,CoxsBazar,2022
Rabi,176.62,22.689,29.76,16.47,0,3.0713333333333335,6.37,0.03,CoxsBazar,2022
Kharif 1,1026.98,27.60254098360656,38.63,14.34,31,2.4385245901639343,6.32,0.11,Cumilla,2022
Kharif 2,1132.3799999999999,27.485040650406503,33.75,17.91,0,1.6701626016260163,5.92,0.03,Cumilla,2022
Rabi,73.68,19.19066666666667,30.34,8.36,0,1.0931666666666666,3.32,0.02,Cumilla,2022
Kharif 1,1043.06,28.513934426229508,40.93,15.5,46,2.5375409836065574,6.3,0.09,Dhaka,2022
Kharif 2,1137.55,27.810325203252034,33.68,18.24,0,1.9920325203252034,7.4,0.04,Dhaka,2022
Rabi,82.23,19.610583333333334,30.39,8.94,0,1.2454166666666666,3.9,0.06,Dhaka,2022
Kharif 1,907.84,28.486147540983605,40.66,13.08,52,2.1305737704918033,6.43,0.08,Dinajpur,2022
Kharif 2,881.89,27.738943089430894,34.58,17.61,0,1.9403252032520324,7.11,0.05,Dinajpur,2022
Rabi,75.37,18.047583333333332,29.74,7.23,0,1.3680833333333333,7.31,0.08,Dinajpur,2022
Kharif 1,736.76,28.934262295081968,41.82,16.16,51,2.5120491803278693,6.07,0.04,Faridpur,2022
Kharif 2,1135.85,27.829837398373986,33.44,19.14,0,2.1730081300813007,8.05,0.09,Faridpur,2022
Rabi,106.1,19.4835,30.43,8.4,0,1.4433333333333331,5.01,0.07,Faridpur,2022
Kharif 1,1134.36,27.39,36.32,14.02,10,2.403688524590164,6.22,0.12,Feni,2022
Kharif 2,1338.61,27.654308943089433,33.89,17.96,0,1.9202439024390243,7.3,0.09,Feni,2022
Rabi,89.25,19.2125,30.48,8.14,0,1.37425,3.58,0.08,Feni,2022
