Area,Avg Temp,Avg Humidity,Production,Max Temp,Min Temp,Max Relative Humidity,Min Relative Humidity,EVI,LAI,FPAR,Soil_Moisture_mm,NDVI_Season_Mean,NDVI_Season_Max,NDVI_Season_Min,NDVI_Season_Std,NDVI_Season_Range,NDVI_Season_CV,Avg_Salinity_Index,pH,Organic_Carbon,Nitrogen,Clay,Sand,Silt,Bulk_Density,CN_Ratio,sm_surface,sm_rootzone,Rootzone_Surface_Diff,Moisture_Ratio,Rainfall,Heat_Stress_Days,Wind_Mean,Wind_Max,Rain_Temp_Ratio,LST_C,District,Crop Name,pH_Suitability,Dominant_Soil_Texture,Water_Availability_Cat,Extreme_Heat_Risk,Is_Extreme_Heat,is_extreme_Heat_Stress_Days,is_extreme_Wind_Max,Season,Transplant,Growth,Harvest,Yield
1,25.0,77.08730868580706,0,32.1,16.1,84.85731283012578,69.60431900793617,0.43042996635866987,1.506492200580587,0.5219426322610013,25.040928977120934,0.47197952355014555,0.7233465758233999,0.3030031351844296,0.17133528879895363,0.3904662457743011,0.37868271473818,612.5983887600217,5.887712415178405,18.181607552448277,1.7181769685750738,30.92,26.31,42.77,1.2844568292226632,10.581917861189076,0.24691169165605972,0.2997326312985204,0.01425371956938347,1.0625990691065537,1342.09,0.0,1.6670360821830774,4.523853488513237,42.1745719119601,28.686116014169627,Panchagar,Gourd,Optimal,Loamy,Optimal,Low Risk,0,0,0,Kharif 2,July,Aug To Jan,Jan To March,0.0
1,21.4,69.37854432498665,0,30.0,12.5,74.04274454420505,62.339759437890336,0.5049878145966176,2.4026608436863315,0.6813020057446454,25.388721968794176,0.6126360069160199,0.7703639295374065,0.38397376822223145,0.18934729758002453,0.38570916765742685,0.31731788011688344,504.18149450095325,5.508420021144359,20.46490472479926,2.2552090743595437,28.98,36.58,34.44,1.2180715894377374,9.074504425099072,0.27100800514644435,0.32494614569864233,0.047218878904612085,1.1544957515379688,1354.97,0.017302013640760956,0.1680387808550201,0.5619627147105285,48.91994451122287,27.926896894671064,Bandarban,Oal Kachu,Optimal,Loamy,Optimal,Low Risk,0,0,0,Kharif 2,September,Oct To Dec,Dec To Feb,0.0
1,25.2,79.28086968324331,0,33.3,17.8,85.19261191960503,75.24570634753213,0.29559837492714036,1.2726068442697218,0.4303248724048248,10.886801216898993,0.43477384435971184,0.6274396581058984,0.24365936159655746,0.1797465968492809,0.382081696532428,0.4063945277810591,693.4587043635393,5.924746077407407,15.543517558241613,1.530716854007374,34.0,28.64,37.36,1.325955538143998,10.154404139177744,0.3576493072657419,0.3463416137607477,-0.006511647183544548,1.08098222091301,91.4,0.5669295850528172,1.1493014555223307,3.6555523407236987,0.6566346723977584,24.522725098185965,Sunamganj,Danta Shak,Optimal,Loamy,Optimal,Low Risk,0,0,0,Rabi,March,April To Aug,Sep,0.0
21208,20.2,67.30824235836602,0,24.7,14.8,70.46291615710236,62.08474108190739,0.3308054072718161,1.075613567186851,0.4363661177651114,10.632076958321388,0.4141925985834195,0.6406493546358658,0.2829688318323361,0.1477028360344739,0.340557506111646,0.37105264624542644,985.5408109493931,5.676837817884607,21.02494641492542,1.942612872145631,32.56,25.4,42.04,1.2902777834796513,10.823024348491629,0.22155723753847628,0.2475378032147752,0.04904737654287328,1.3295367884480063,79.21,0.008118057441611013,1.151703851402873,4.16294573584255,4.237096437476325,24.776110353696595,Kishoreganj,Ginger,Optimal,Loamy,Optimal,Low Risk,0,0,0,Rabi,October,Nov To March,March To April,0.0
1,24.9,75.45034267553979,37537,33.2,16.4,80.96407453393711,66.16109561547053,0.33625380992817866,2.4207187528403753,0.5751169456902229,25.217708953899315,0.5175160028614771,0.6265821637613661,0.3686420544283349,0.1126450321645224,0.2576678597970084,0.238869425535013,498.82026615198737,5.765562886189115,32.78169313167036,3.2192991530565602,27.92,22.68,49.4,1.230431916854937,10.182866385854764,0.3395552673515894,0.4241060802299095,0.07768127374905424,1.2732415187355437,1451.65,0.0,2.168833262537651,7.253810987182929,50.50684404311579,26.910281282618413,Bagerhat,Pineapple,Optimal,Loamy,Optimal,Low Risk,0,0,0,Kharif 2,September,Sep To May,June To Aug,37537.0
1,19.8,60.5858151747186,56313,26.7,14.0,70.53411316050844,50.66790242608958,0.31839831662943785,1.3364502792683721,0.47751529022697825,9.68803629410661,0.4374881357932202,0.5243977789058235,0.3396284316660123,0.10224508292114537,0.16348050882646675,0.2800297251794786,742.6103688743991,5.421179489624857,20.323032163972954,2.4195832127867556,34.98,29.55,35.47,1.2463329169287174,8.399393770204702,0.23891462489695817,0.24549834717154545,0.04643754517515357,1.1532487223092234,96.21,0.0,1.482545548459992,4.224672994032283,5.567457518311452,25.3476465327504,Munshiganj,Palmyra Palm,Acidic,Loamy,Optimal,Low Risk,0,0,0,Rabi,September,Oct To Nov,Nov To Feb,56313.0
1,24.7,71.18447960495332,0,29.5,20.0,79.9985172522903,58.622736041328665,0.32764354000758866,0.8791251837933577,0.35069084523318045,22.074914407360104,0.2683986700176195,0.4020780805051668,0.10128129844700552,0.11113811939133923,0.29124300799303676,0.44490229388142677,1073.1043142783155,6.209967957449595,18.04363893885636,1.6955355147363136,34.62,21.87,43.51,1.2995921804462955,10.641852548669542,0.2888481620238235,0.3043834266294197,0.011275273427864769,1.0224675987366991,895.25,43.122446775970715,2.3189737025824146,6.8182677018781,24.537299446964685,29.046205960942952,Bogura,Green Coconut,Optimal,Loamy,Optimal,High Risk,1,1,0,Kharif 1,May,June To August,August To September,0.0
1,18.6,77.1288138442204,16245,30.7,7.7,85.59338264993734,68.6219126737547,0.19102981710777645,1.0258322384511258,0.31589043130903266,25.309437427608568,0.06300854659452311,0.16801857554983135,-0.008514574363949711,0.08145838467966256,0.1793597847677622,1.2286636298150895,794.6373562712972,5.907376418211562,15.507593630025966,1.624864782598128,33.62,29.7,36.68,1.3296797884809757,9.543928698626614,0.28829210110748,0.31931285542316573,0.023525855384613024,1.0627160015412251,1911.12,0.11595778815367397,1.506777439169032,5.598253460261906,65.16985993707445,27.299633531791905,Sunamganj,Cauliflower,Optimal,Loamy,Optimal,Low Risk,0,0,0,Kharif 2,September,Nov To Jan,Feb,16245.0
5642,22.8,79.96814857389343,0,27.8,17.8,89.40682365567547,70.38340397773432,0.30272809897421027,0.8834888466341558,0.336016367542121,18.961719423592463,0.2646145545764419,0.34675131709449886,0.17427794137159228,0.05983426156216803,0.1485140715967983,0.2590136799983486,916.8054504443484,5.7407827368725775,17.17644172121108,1.7827048970862447,25.94,34.34,39.72,1.3196167305817847,9.635044896822375,0.316979940216739,0.35934432137487865,0.04375565121680304,1.1801297705627871,1663.21,1.061047879273114,3.5052881373284857,7.197589083530854,55.252523619955625,29.435830265738673,Patuakhali,Jhinga,Optimal,Loamy,Optimal,Low Risk,0,0,0,Kharif 1,April,May To June,June To Aug,0.0
1,21.0,84.12758430090172,0,38.1,5.4,95.5493376092815,69.42216680307426,0.38589298067310357,1.3278816985671906,0.4503822400985402,13.990248363352391,0.4106122459392618,0.45414080226459863,0.3121715972644987,0.06689580671220416,0.1541679732795694,0.12181445911155489,839.6352021809797,5.945575870630271,21.93990104382501,2.0030936789196745,31.02,16.36,52.62,1.2909350739827306,10.953007976969817,0.25157682660897174,0.28710622483810916,0.022767061728004977,1.2227996795918696,558.92,43.60390198931766,2.491542198800827,6.093769959279504,19.718458321277982,28.461927826527464,Magura,Dalim,Optimal,Silty,Optimal,High Risk,1,1,0,Kharif 1,April,April To May,June,0.0
14910,20.5,74.83881959860717,30931,34.6,5.2,88.18923896182638,61.57746431096399,0.3407913216131771,0.9977129600853808,0.3922940685711618,14.768978907891393,0.27982172008545836,0.3791716536606181,0.20815310151180993,0.0658044674561222,0.18380479035325195,0.2460981296691423,977.6106695699327,6.1274236931820845,18.601518899353557,1.661759867715138,35.84,17.86,46.3,1.292874624402874,11.193866972446505,0.17491489278039876,0.21908210492104024,0.05903420602143209,1.4060410519701023,471.39,55.79001317099153,2.3616084429069404,6.784247034222814,15.95071037030179,30.258567995147356,Rajshahi,Dalim,Optimal,Loamy,Optimal,High Risk,1,1,0,Kharif 1,April,April To May,June,2.0745
1,19.6,65.21538721985729,2093,25.1,15.1,70.50127277598428,59.68947606040588,0.32191327579119167,1.389306484240837,0.5125359685599653,11.265078995185132,0.45177056661868975,0.5177481184484228,0.3653598693356455,0.05810540746480154,0.1169282049849093,0.1496315145342341,670.817206635886,6.094627355015067,16.064325148484958,2.2024104966242604,31.87,29.99,38.14,1.3006221611997189,7.293974112958286,0.1969381662133943,0.2622742338228198,0.04831483146954459,1.2631102171248625,83.51,1.1552340068004734,0.9200415532662685,3.472971137390055,5.289487151611319,25.976969185299733,Moulvibazar,Onion,Optimal,Loamy,Optimal,Low Risk,0,0,0,Rabi,October,Nov To March,March To April,2093.0
7911,19.7,80.70984215073541,0,26.8,15.0,89.71312296375939,70.32182227891761,0.3232236649194794,1.6046221184731708,0.5518558480543403,10.003224122258166,0.4703486378808666,0.5190624305109788,0.38431467502239,0.06451252989435485,0.14443208010701467,0.19911721448141606,629.8907727910214,5.789659487213704,32.050458303855585,3.2263243226598792,29.39,23.63,46.98,1.2212098059949417,9.934047262003784,0.2956326654163637,0.31715716529647064,0.051328936632769495,1.113057768518631,220.43,0.0,1.3442223520363046,4.53936989951152,10.932625563857117,24.909402538463084,Pirojpur,Banana,Optimal,Loamy,Optimal,Low Risk,0,0,0,Rabi,January,Jan To Jan,Jan,0.0
4361,28.7,73.99526333584329,24769,35.1,22.1,87.16974971308953,60.04820384535936,0.33136647033407507,1.1935786409635534,0.44042907230836886,25.374302829591254,0.3470172010063941,0.45053295239267205,0.16522066430803878,0.1278352545384988,0.3127457057588162,0.35818083709709203,908.1547304263236,5.499121508970664,12.936682632663922,1.1905296869633466,40.86,25.68,33.46,1.316312625759707,10.866325110851443,0.2580346888166114,0.2787960060643629,0.031092196690607702,1.1619249232021724,1137.55,1.9873155903739745,1.974179033274276,7.383523296445661,39.596817782622814,29.05435496980401,Dhaka,Green Palmyra,Acidic,Clayey,Optimal,Low Risk,0,0,0,Kharif 2,April,August To October,May,5.6797
1,29.5,75.29710457493098,16584,34.3,25.0,88.77738108090749,61.190716571999566,0.44404426906449335,2.069158349823759,0.586489539091395,25.331318321726044,0.5356169023317496,0.7535124063611709,0.24943087415137596,0.226814550313651,0.4712662296020013,0.40757184190806617,571.2215572352391,5.939212223161613,20.734493234039352,2.039563179539773,31.57,16.51,51.92,1.2879917796937843,10.166144124409074,0.1376506613626682,0.19722951238806669,0.06227303508615923,1.5685528730991087,1451.65,0.0,2.178699593234608,7.743695985183472,54.56192889900324,27.98622659303625,Jhallokati,Mug,Optimal,Silty,Moderate,Low Risk,0,0,0,Kharif 2,February,March To May,May,16584.0
