Area,District,Season,Avg Temp,Avg Humidity,Crop Name,Transplant,Growth,Harvest,Production,Max Temp,Min Temp,Max Relative Humidity,Min Relative Humidity,EVI,LAI,FPAR,Soil_Moisture_mm,NDVI_Season_Mean,NDVI_Season_Max,NDVI_Season_Min,NDVI_Season_Std,NDVI_Season_Range,NDVI_Season_CV,Avg_Salinity_Index,pH,Organic_Carbon,Nitrogen,Clay,Sand,Silt,Bulk_Density,CN_Ratio,pH_Suitability,Dominant_Soil_Texture,sm_surface,sm_rootzone,Rootzone_Surface_Diff,Moisture_Ratio,Water_Availability_Cat,Rainfall,Heat_Stress_Days,Wind_Mean,Wind_Max,Rain_Temp_Ratio,Extreme_Heat_Risk,Is_Extreme_Heat,LST_C,is_extreme_Heat_Stress_Days,is_extreme_Wind_Max,Yield
1973,Jashore,Rabi,25.0,80.0,Banana,January,Jan To Jan,Jan,10150.0,35,15.0,85,75,0.3108385310268696,1.148465042145982,0.4713997293765516,9.605209287127352,0.4849838853013292,0.6067794453589154,0.4167681844969798,0.0839669506198624,0.1900112608619356,0.1731334858016823,652.1753130979866,6.15,19.27,1.81,29.39,19.9,50.71,1.33,10.64,Optimal,Loamy,0.2557,0.3353,0.0797,1.3065,Optimal,127.01,0.0,1.347,4.74,6.57,Low Risk,0,25.038324891149955,0,0,5.144450076026356
642,Lakshmipur,Kharif 1,20.0,80.0,Lady’S Finger,April,May To June,June To Sep,2054.0,30,10.0,85,75,0.2999101611475252,1.840761702169948,0.4579308745215199,15.462304615897516,0.2306600104340929,0.3561816998129432,0.1289476151265251,0.0937929395397695,0.227234084686418,0.4066285237881286,933.014460022504,5.84,24.75,2.65,38.39616038396161,24.537546245375463,37.06629337066294,1.28,9.34,Optimal,Loamy,0.2705,0.2712,0.0007,1.0634,Optimal,897.09,34.0,2.7896721311475408,6.68,31.7,High Risk,1,28.562857962447534,0,0,3.1993769470404985
1869,Chuadanga,Rabi,17.75,55.0,Wheat,December,Jan To March,April,2812.0,20,15.5,65,50,0.3875844574841556,1.375305240885754,0.565759063147694,11.426401848255422,0.5378844794512622,0.6064678529651709,0.4480905156880582,0.0754908007179016,0.1583773372771127,0.1403476092021016,761.9959672086425,6.07,20.18,1.46,38.893889388938895,18.381838183818385,42.72427242724272,1.3,13.81,Optimal,Loamy,0.1682,0.2321,0.0639,1.4424,Moderate,87.14999999999999,0.0,1.4136666666666666,4.92,4.55,Low Risk,0,24.893950735468422,0,0,1.5045478865703583
134,Magura,Kharif 2,27.5,72.5,Patal,August,Sep To Jan,Jan To March,410.0,35,20.0,85,60,0.4219813021660087,1.700459773675784,0.5524213885187671,25.2958751530068,0.4627799200273591,0.7173624754929421,0.2250636941149401,0.2178029388297933,0.492298781378002,0.4706404262676674,717.9134368905294,5.92,22.91,1.96,30.113011301130115,20.69206920692069,49.19491949194919,1.28,11.68,Optimal,Loamy,0.252,0.2876,0.0356,1.1735,Optimal,996.2,0.0,2.1582926829268296,7.83,35.83,Low Risk,0,28.77520229759307,0,0,3.0597014925373136
191856,Faridpur,Kharif 2,26.0,72.5,Aman,June,July To Oct,Nov To Dec,199564.0,40,12.0,85,60,0.3635067159989393,1.4715998945951283,0.5148382524152465,25.33551142707615,0.4238461203187879,0.5571700752994787,0.2343987436039652,0.154787580283514,0.3227713316955135,0.365197586725799,775.9917718550253,6.26,17.25,1.33,33.5033503350335,25.302530253025303,41.1941194119412,1.31,12.96,Optimal,Loamy,0.316,0.3785,0.0625,1.2023,Optimal,1135.85,0.0,2.1730081300813007,8.05,40.81,Low Risk,0,28.109411338313063,0,0,1.0401759653073137
58,Jashore,Rabi,20.0,67.5,Ginger,October,Nov To March,March To April,163.0,25,15.0,75,60,0.3108385310268696,1.148465042145982,0.4713997293765516,9.605209287127352,0.4849838853013292,0.6067794453589154,0.4167681844969798,0.0839669506198624,0.1900112608619356,0.1731334858016823,652.1753130979866,6.15,19.27,1.81,29.39,19.9,50.71,1.33,10.64,Optimal,Loamy,0.2241,0.3183,0.0943,1.503,Optimal,127.01,0.0,1.347,4.74,6.57,Low Risk,0,25.038324891149955,0,0,2.810344827586207
86,Barguna,Kharif 2,21.0,70.0,Palong Shak,August,Sep To Jan,Feb,131.0,30,12.0,75,65,0.3833242551165793,1.7476917678849015,0.543992627336153,24.953698016966264,0.4406860304590843,0.6701243948177539,0.1725115850101264,0.2299133940104384,0.4976128098076274,0.5217170005841264,700.9043525517269,5.71,25.17,2.47,29.164167166566685,25.10497900419916,45.73085382923415,1.27,10.19,Optimal,Loamy,0.4092,0.4451,0.0359,1.0961,Optimal,1785.97,0.0,2.483414634146341,7.86,63.49,Low Risk,0,27.525420447336728,0,0,1.5232558139534884
800,Pirojpur,Kharif 1,34.5,82.5,Jack Fruit,April,April To May,April To June,6790.0,47,22.0,95,70,0.3676248632899017,1.399285678427752,0.4355157440166984,13.114942509391028,0.3480256868677557,0.4034404459856785,0.264165553095138,0.0620887177919317,0.1392748928905405,0.1784026873152167,918.2655124550027,5.79,33.040000000000006,3.2150000000000003,29.020000000000003,23.88,47.1,1.22,7.75,Optimal,Loamy,0.207,0.2406,0.0336,1.2591,Moderate,656.33,42.5,2.48188524590164,5.86,22.73,High Risk,1,28.51703165194237,1,0,8.4875
2964,Tangail,Kharif 1,26.0,72.5,Aus,March,April To July,Aug,2569.0,40,12.0,85,60,0.3508996424533432,1.0100216835372564,0.3638253154289218,19.295412386972487,0.1766776000711772,0.2191926340496671,0.1318871049415015,0.0386502831782179,0.0873055291081656,0.2187616492563127,1027.7592711732273,5.71,26.11,1.62,28.15718428157184,38.3961603839616,33.44665533446655,1.29,16.11,Optimal,Loamy,0.261,0.2809,0.0199,1.1538,Optimal,1038.79,42.5,2.3401639344262297,6.82,36.24,High Risk,1,29.21742401824946,1,0,0.8667341430499326
253,Gazipur,Kharif 2,25.0,72.5,Barbati,September,Oct To Dec,December To April,291.0,30,20.0,85,60,0.3868424830547088,1.5597722784196026,0.519811733766565,25.35474655292436,0.3907379067285911,0.6351801312217112,0.0798820916389187,0.2435531868654238,0.5552980395827926,0.6233159943567935,785.7530389378867,5.75,17.96,1.49,32.53,28.89,38.58,1.3,12.05,Optimal,Loamy,0.2803,0.3138,0.0335,1.1624,Optimal,1137.55,0.0,1.992032520325204,7.4,40.9,Low Risk,0,28.60685176725542,0,0,1.150197628458498
