iter	RMSE
0	0.6837509037
1	0.6737859137
2	0.6638118168
3	0.6544165841
4	0.6452309025
5	0.6368920883
6	0.6288138276
7	0.6212127142
8	0.6134143562
9	0.6066466305
10	0.5998836482
11	0.5931210551
12	0.5867890725
13	0.5805575465
14	0.5733288196
15	0.5673958075
16	0.5617878777
17	0.5568763638
18	0.5519454876
19	0.546626295
20	0.5411073578
21	0.5371727675
22	0.5323478904
23	0.5279972834
24	0.5228984323
25	0.5183230645
26	0.5145311976
27	0.5099161871
28	0.5056874719
29	0.5023043841
30	0.4987186491
31	0.4959311835
32	0.492406644
33	0.4891359775
34	0.4859736745
35	0.4832154729
36	0.480546642
37	0.4779550093
38	0.475075613
39	0.4722206133
40	0.4696527303
41	0.4670356841
42	0.4647055739
43	0.462268314
44	0.4597565409
45	0.4572977389
46	0.4548527045
47	0.452822499
48	0.4505247186
49	0.4480989322
50	0.4464945513
51	0.4447989071
52	0.4428324848
53	0.4415050688
54	0.4395846983
55	0.4381134624
56	0.4366755102
57	0.4356546387
58	0.4335147893
59	0.4322490344
60	0.4307503658
61	0.4296724818
62	0.4284316985
63	0.4272400078
64	0.4261300432
65	0.4250036541
66	0.4233875238
67	0.4217079029
68	0.420138255
69	0.4188066141
70	0.4174633175
71	0.4164528613
72	0.415136112
73	0.4138648733
74	0.4128282834
75	0.4119383517
76	0.4108460679
77	0.4098407257
78	0.4091176282
79	0.4078494561
80	0.4069890504
81	0.406253156
82	0.404944537
83	0.4038887577
84	0.4028960178
85	0.402099672
86	0.4013518025
87	0.4002087107
88	0.3994187051
89	0.3989405417
90	0.3983005134
91	0.397837509
92	0.397211996
93	0.39641126
94	0.3950853483
95	0.3945217865
96	0.3939467369
97	0.3932427444
98	0.3924683947
99	0.3918170153
100	0.3916455854
101	0.3905333399
102	0.3898645194
103	0.3890075161
104	0.3883769941
105	0.3878184145
106	0.3873204821
107	0.3865068057
108	0.3859349701
109	0.384919172
110	0.384512329
111	0.3839534879
112	0.3829969361
113	0.3824873713
114	0.3819910028
115	0.3814276568
116	0.3809663171
117	0.3804965223
118	0.3797378494
119	0.3791141466
120	0.3784924615
121	0.3779186241
122	0.3771691555
123	0.3767991699
124	0.3760268286
125	0.3757606205
126	0.375186913
127	0.3746972145
128	0.3743711127
129	0.3741252907
130	0.3737610241
131	0.3733171836
132	0.3729487419
133	0.3724388433
134	0.37209491
135	0.371634318
136	0.3707181454
137	0.3705235961
138	0.3701553851
139	0.3693499899
140	0.368704435
141	0.3679891685
142	0.3676377554
143	0.3672990075
144	0.3667531117
145	0.3663875531
146	0.3658701019
147	0.3650715161
148	0.3647092875
149	0.3642207323
150	0.3636967488
151	0.3632474835
152	0.3627281011
153	0.3623955435
154	0.3621088114
155	0.3617057802
156	0.3613515622
157	0.360997352
158	0.3606673594
159	0.360343148
160	0.3599174965
161	0.3595703682
162	0.3589293208
163	0.3584558539
164	0.3581096723
165	0.3578599388
166	0.3575727032
167	0.35722542
168	0.3569852855
169	0.3569366251
170	0.3566619342
171	0.3561867346
172	0.3559046658
173	0.3552262463
174	0.3548095598
175	0.354340293
176	0.3539860345
177	0.3538137902
178	0.3535019325
179	0.3532278212
180	0.3528571537
181	0.3524876344
182	0.3521887694
183	0.3518061161
184	0.3515219805
185	0.3512094694
186	0.3509032292
187	0.3508561331
188	0.350517965
189	0.350222302
190	0.3497596313
191	0.3495167966
192	0.3491727163
193	0.3486349288
194	0.3483735211
195	0.3479481164
196	0.3475628724
197	0.3470971236
198	0.3466228189
199	0.3461299875
200	0.3459250952
201	0.3457352409
202	0.3453781887
203	0.3449276725
204	0.3446639591
205	0.3443814886
206	0.3441674367
207	0.3435602571
208	0.3432890103
209	0.3427092406
210	0.3424682943
211	0.3422504097
212	0.3416984889
213	0.3414193434
214	0.3409850702
215	0.3407843922
216	0.3405099969
217	0.3400673188
218	0.339576551
219	0.3393014343
220	0.3389132751
221	0.3382284585
222	0.3381038727
223	0.3379952756
224	0.3375940118
225	0.3372823864
226	0.3370276285
227	0.3368391176
228	0.3366807371
229	0.3363714422
230	0.3361286467
231	0.3356734351
232	0.3354986608
233	0.3351119546
234	0.3345160956
235	0.3342732791
236	0.3338796762
237	0.3337701649
238	0.3333598311
239	0.3330208904
240	0.3326331202
241	0.3320002549
242	0.3316635624
243	0.3313981055
244	0.3310611338
245	0.3304141002
246	0.3301719198
247	0.3296794269
248	0.3293036056
249	0.3289149411
250	0.3285999422
251	0.3284434541
252	0.3281243717
253	0.3279594423
254	0.3275837386
255	0.3273301488
256	0.3269700191
257	0.3268257338
258	0.3264386577
259	0.3261628062
260	0.325890884
261	0.3256883616
262	0.3252624718
263	0.3250361827
264	0.3248905252
265	0.3247152501
266	0.324414497
267	0.3239733806
268	0.323886733
269	0.323573768
270	0.3233717306
271	0.3230625813
272	0.3228831826
273	0.3227419671
274	0.3223991979
275	0.3220428792
276	0.3219416734
277	0.3215702336
278	0.3213600335
279	0.3211664911
280	0.3207377745
281	0.3206421156
282	0.3204276889
283	0.3203273962
284	0.3200717856
285	0.3198276497
286	0.3195233588
287	0.3191999634
288	0.3190526491
289	0.3189204046
290	0.3187052182
291	0.3185368717
292	0.3184490224
293	0.3180929896
294	0.3177643205
295	0.3176477999
296	0.3174108899
297	0.3169961921
298	0.3168255097
299	0.3166091201
300	0.3164404127
301	0.3161233737
302	0.3160401132
303	0.3156906191
304	0.3152608259
305	0.3151393574
306	0.3149265457
307	0.3147913149
308	0.3143650375
309	0.3140084533
310	0.3135266478
311	0.3131982029
312	0.3130007267
313	0.3127862446
314	0.3125119529
315	0.3122419418
316	0.3118277062
317	0.3116969942
318	0.3115258063
319	0.3112875976
320	0.3108320057
321	0.3104727194
322	0.3102031056
323	0.3099501982
324	0.3094819969
325	0.3091607382
326	0.3089928027
327	0.3085743366
328	0.3082150339
329	0.3077208788
330	0.3071806805
331	0.306895706
332	0.3067733907
333	0.306470587
334	0.3063118258
335	0.3060210959
336	0.3054835417
337	0.3053510618
338	0.305171798
339	0.3050064065
340	0.3048408219
341	0.3046974174
342	0.304518173
343	0.3042298507
344	0.304109371
345	0.3037290192
346	0.3034528622
347	0.3031724989
348	0.3028764971
349	0.3027555221
350	0.3025673337
351	0.3022930271
352	0.3020755261
353	0.3020063858
354	0.3019829867
355	0.3017967909
356	0.3016237492
357	0.3013667018
358	0.3013179895
359	0.3010453219
360	0.3006417076
361	0.3005628975
362	0.300175309
363	0.2999772728
364	0.2996230795
365	0.2991743728
366	0.2990068845
367	0.2987248927
368	0.2985234286
369	0.2983298502
370	0.2980556234
371	0.2979819727
372	0.2977634733
373	0.2973811155
374	0.2970370262
375	0.296944587
376	0.2965957592
377	0.2963168155
378	0.2961922749
379	0.2959473599
380	0.2957314045
381	0.295298216
382	0.2948680178
383	0.2944716065
384	0.2944101802
385	0.2943388533
386	0.2940353502
387	0.2939930232
388	0.2937642651
389	0.2935949346
390	0.2931966892
391	0.2929115259
392	0.2924869764
393	0.2923529192
394	0.2921385515
395	0.29178065
396	0.2916167202
397	0.2913757143
398	0.2909793196
399	0.2906595614
400	0.2903198543
401	0.2901573272
402	0.289894344
403	0.2895805607
404	0.2893715904
405	0.289308351
406	0.2892468281
407	0.2889365344
408	0.2889051147
409	0.2888286245
410	0.2885708878
411	0.2882536101
412	0.287971409
413	0.2877203926
414	0.2874953781
415	0.2874748096
416	0.287295564
417	0.2870502692
418	0.2869029358
419	0.2866462369
420	0.2864023671
421	0.2861804296
422	0.2859706793
423	0.2858079313
424	0.2856545382
425	0.2853907415
426	0.2850657095
