iter	Passed	Remaining
0	62	92966
1	128	96351
2	197	98696
3	267	100137
4	332	99475
5	403	100375
6	471	100509
7	537	100303
8	605	100350
9	649	96847
10	712	96462
11	779	96619
12	851	97348
13	907	96328
14	977	96797
15	1048	97235
16	1121	97823
17	1210	99642
18	1283	100047
19	1356	100346
20	1427	100570
21	1470	98784
22	1543	99144
23	1620	99638
24	1699	100253
25	1781	101011
26	1853	101129
27	1926	101293
28	2000	101477
29	2077	101815
30	2149	101868
31	2224	102066
32	2303	102411
33	2383	102762
34	2461	103045
35	2538	103237
36	2615	103430
37	2692	103600
38	2769	103750
39	2845	103861
40	2921	103952
41	2999	104136
42	3075	104223
43	3152	104321
44	3228	104388
45	3301	104351
46	3379	104474
47	3453	104463
48	3533	104649
49	3644	105678
50	3762	106898
51	3935	109589
52	4056	110750
53	4164	111506
54	4268	112143
55	4377	112868
56	4481	113451
57	4544	112983
58	4655	113705
59	4761	114264
60	4866	114799
61	4970	115279
62	5073	115726
63	5177	116178
64	5279	116565
65	5384	116994
66	5486	117337
67	5586	117646
68	5686	117940
69	5787	118238
70	5880	118358
71	5980	118615
72	6079	118840
73	6177	119043
74	6274	119215
75	6373	119424
76	6470	119572
77	6583	120021
78	6689	120325
79	6791	120545
80	6885	120625
81	6979	120690
82	7072	120745
83	7163	120756
84	7256	120798
85	7350	120853
86	7447	120961
87	7539	120972
88	7629	120956
89	7721	120974
90	7811	120951
91	7902	120936
92	7991	120896
93	8079	120850
94	8170	120840
95	8259	120795
96	8349	120766
97	8438	120718
98	8527	120683
99	8618	120659
100	8661	119973
101	8752	119963
102	8844	119963
103	8935	119943
104	9027	119935
105	9126	120020
106	9230	120165
107	9320	120133
108	9416	120170
109	9504	120104
110	9593	120045
111	9682	119994
112	9771	119940
113	9865	119941
114	9953	119875
115	10041	119806
116	10131	119758
117	10222	119724
118	10315	119716
119	10407	119681
120	10499	119657
121	10589	119610
122	10685	119620
123	10775	119569
124	10866	119527
125	10993	119882
126	11102	120025
127	11191	119962
128	11282	119904
129	11371	119837
130	11461	119774
131	11559	119800
132	11650	119743
133	11743	119711
134	11839	119709
135	11929	119645
136	12020	119590
137	12111	119531
138	12201	119465
139	12292	119408
140	12380	119325
141	12469	119254
142	12558	119172
143	12646	119089
144	12737	119027
145	12839	119077
146	12974	119421
147	13063	119340
148	13158	119312
149	13261	119355
150	13352	119284
151	13441	119200
152	13538	119189
153	13628	119113
154	13718	119037
155	13808	118964
156	13902	118921
157	13991	118836
158	14079	118743
159	14168	118659
160	14260	118601
161	14350	118525
162	14437	118423
163	14526	118335
164	14614	118247
165	14705	118173
166	14798	118118
167	14893	118083
168	14989	118052
169	15078	117963
170	15164	117860
171	15255	117788
172	15344	117701
173	15440	117665
174	15530	117586
175	15622	117521
176	15713	117450
177	15804	117377
178	15898	117332
179	15988	117250
180	16078	117169
181	16171	117109
182	16262	117039
183	16352	116955
184	16441	116871
185	16532	116794
186	16622	116711
187	16685	116444
188	16774	116355
189	16863	116270
190	16953	116187
191	17044	116112
192	17136	116046
193	17224	115957
194	17315	115881
195	17403	115787
196	17500	115752
197	17590	115669
198	17689	115649
199	17782	115585
200	17872	115501
201	17962	115424
202	18042	115276
203	18120	115119
204	18199	114966
205	18271	114772
206	18342	114575
207	18412	114369
208	18485	114183
209	18553	113973
210	18638	113862
211	18708	113664
212	18779	113473
213	18845	113251
214	18912	113038
215	18978	112816
216	19070	112752
217	19158	112665
218	19254	112625
219	19349	112578
220	19429	112442
221	19560	112602
222	19676	112676
223	19783	112697
224	19888	112700
225	19992	112702
226	20097	112707
227	20202	112710
228	20308	112715
229	20419	112752
230	20525	112755
231	20627	112740
232	20734	112748
233	20846	112785
234	20950	112775
235	21056	112775
236	21162	112778
237	21290	112895
238	21423	113032
239	21528	113026
240	21650	113102
241	21761	113122
242	21873	113149
243	21987	113180
244	22096	113187
245	22208	113211
246	22322	113239
247	22434	113259
248	22550	113295
249	22664	113324
250	22779	113352
251	22893	113378
252	23004	113386
253	23117	113402
