Area,District,Avg Temp,Avg Humidity,Crop Name,Production,Max Temp,Min Temp,Max Relative Humidity,Min Relative Humidity,EVI,LAI,FPAR,Soil_Moisture_mm,NDVI_Season_Mean,NDVI_Season_Max,NDVI_Season_Min,NDVI_Season_Std,NDVI_Season_Range,NDVI_Season_CV,Avg_Salinity_Index,pH,Organic_Carbon,Nitrogen,Clay,Sand,Silt,Bulk_Density,CN_Ratio,pH_Suitability,Dominant_Soil_Texture,sm_surface,sm_rootzone,Rootzone_Surface_Diff,Moisture_Ratio,Water_Availability_Cat,Rainfall,Heat_Stress_Days,Wind_Mean,Wind_Max,Rain_Temp_Ratio,Extreme_Heat_Risk,Is_Extreme_Heat,LST_C,is_extreme_Heat_Stress_Days,is_extreme_Wind_Max,Season,Transplant,Growth,Harvest,Yield
796,Barishal,15.2,69.0,Chili,13,26.0,15.2,69.0,48.0,0.49858606757117696,1.5415273307503716,0.48065522938555466,24.486282238773377,0.41476606771316116,0.41476606771316116,0.34983032149858434,0.1759849845809591,0.2466071099825377,0.2787738917149497,811.5461840351319,5.75,18.890214170255774,1.3132656037859767,34.79,22.66,42.55,1.3135599402363183,14.384153605940568,Optimal,Loamy,0.17180251924198656,0.26478557371472544,0.05437036481912104,1.5412205530104641,Moderate,208.71,1.5,1.07,8.12,13.73092105263158,Low Risk,0,28.2570302304549,0,0,Rabi,October,Nov To March,March To April,0.016331658291457288
1648,Bagerhat,25.2,79.0,Danta Shak,477,35.0,17.8,79.0,42.0,0.289075726902535,1.4193176807211265,0.32402002298229915,12.694311220536086,0.42542262821900073,0.4797701794934681,0.42542262821900073,0.10653892769598733,0.09104202027308489,0.31483698272375193,700.7578777499288,5.64,21.83212375213872,2.5959332710453884,28.71,27.01,44.28,1.2390649170073376,8.410125173728703,Optimal,Loamy,0.37765204380881173,0.33746166782287285,0.08786487109979244,0.8935782907975325,Optimal,220.43,1.0,3.36,7.82,8.747222222222224,Low Risk,0,28.328105179757003,0,0,Rabi,March,April To Aug,Sep,0.28944174757281554
1467,Feni,30.0,84.0,Ripe Papaya,566,30.0,24.0,84.0,60.0,0.3034318437814453,2.2470182040320372,0.4352673730819761,13.282343137626057,0.3091626889339238,0.3601187405617604,0.2019574750638791,0.12756948798720733,0.2996338072659204,0.33445190051128487,870.0683501886703,5.59,22.087867870660766,2.257984389942037,35.28,29.06,35.66,1.3132700864284501,9.782117170096011,Optimal,Loamy,0.49024495467941187,0.3551810090550535,0.04226811983385504,0.7244970206522955,Optimal,1134.36,36.0,2.69,6.12,37.812,High Risk,0,27.8596496768053,0,0,Kharif 1,April,April To May,April To May,0.3858214042263122
248,Mymensingh,21.2,80.2,Banana,45,25.0,14.9,85.0,60.0,0.30875781733737645,1.0075985406458907,0.47598814491684,8.166044291827472,0.38257269660136656,0.38257269660136656,0.32881737378493514,0.07512923108491548,0.06696194514401277,0.062003234577418534,865.1303911512185,5.55,31.508917552069953,1.8793114813176426,29.31,25.73,44.96,1.244251234752108,16.766202870201212,Optimal,Loamy,0.3363597309304317,0.3774969435349993,0.031676486064116306,1.1223012412656375,Optimal,80.15,0.0,1.81,3.43,3.780660377358491,Low Risk,0,23.763788881022425,0,0,Rabi,January,Jan To Jan,Jan,0.1814516129032258
2508,Bagerhat,36.0,77.4,Guava,22492,36.0,23.9,85.0,51.0,0.3234515498018385,1.476565898892544,0.49503305752658566,12.70380299929006,0.12418761477472884,0.4420127326033589,0.10627744731276789,0.10808829095833689,0.05489861643973559,0.3364190020468938,588.3311792151239,5.58,21.494487562246707,1.6805705152750956,37.96,22.52,39.52,1.2978816211015656,12.7899944494315,Optimal,Loamy,0.14428805146328463,0.3435637989815149,0.014595026942502611,2.3810966708420604,Moderate,656.33,45.0,2.56,6.09,18.23138888888889,High Risk,1,30.27123881922539,1,0,Kharif 1,April,April To May,June,8.968102073365232
5336,Narsingdi,23.0,79.5,Garlic,1694,23.0,17.8,84.0,69.0,0.30901939418368063,1.3951285365207444,0.4754562517823169,9.987932731223168,0.34844495913165446,0.5920072015541408,0.34844495913165446,0.1518581059784598,-0.038154226365442245,0.12587880296416923,1155.954770125863,5.62,15.691729586051823,1.925092556725932,31.62,31.6,36.78,1.3195668944777643,8.151155917790915,Optimal,Loamy,0.6173253504554039,0.3654922323540782,0.09075393039465929,0.5920577084424814,Optimal,1137.55,0.0,1.72,4.15,49.45869565217391,Low Risk,0,26.043253163874372,0,0,Kharif 2,October,Nov To Jan,Feb,0.3174662668665667
897,Pirojpur,24.1,80.4,Danta Shak,986,35.0,23.2,91.0,76.0,0.2642704712040499,1.1721636081785778,0.4529965667440469,10.27236571711559,0.26474219397621074,0.6217261157974775,0.10684684122372717,0.17279399523825456,0.05740837928911355,0.4512716295298982,884.6701141402971,5.81,23.075591606392976,2.053277506630927,33.42,21.78,44.8,1.2786556147159727,11.238418349137827,Optimal,Loamy,0.16856468641176986,0.3294125858524999,0.08040609476631526,1.9542206191859826,Optimal,220.43,0.0,1.05,3.79,9.146473029045643,Low Risk,0,24.868586604714164,0,0,Rabi,March,April To Aug,Sep,1.0992196209587515
233,Rajshahi,26.0,81.1,Green Palmyra,2245,26.0,22.4,85.0,48.0,0.3569200357162636,0.9253500242966366,0.32750326896797577,7.4369671664800165,0.3809126914863592,0.3809126914863592,0.3279655636421218,0.10751936435652848,-0.024813600189264623,0.17741959374971455,821.7142521035138,5.64,22.38852148587118,1.2797065782799388,33.58,25.1,41.32,1.2628977004690651,17.49504289957134,Optimal,Loamy,0.4485278004180332,0.45891495284770545,0.08243348289779988,1.0231583246790752,Optimal,772.89,1.0,0.84,4.14,29.72653846153846,Low Risk,0,26.027340572520817,0,0,Kharif 2,April,August To October,May,9.63519313304721
87027,Faridpur,28.9,79.3,Kolmi Shak,6574,35.0,21.5,85.0,73.0,0.28686227351021915,1.5280981995233187,0.4580445887082592,25.22978788695073,0.3915659233742351,0.6505273718439475,0.3757179283950328,0.11374186166137577,0.40726464784039557,0.1684775235616352,859.2439130829133,5.66,21.321362738028252,2.1487615216187725,30.22,25.24,44.54,1.3188327819328496,9.922628697281294,Optimal,Loamy,0.2111422848038237,0.3648855583715715,0.00840527780006321,1.7281500894555233,Moderate,736.76,0.0,2.29,6.63,25.493425605536334,Low Risk,0,28.034865860559204,0,0,Kharif 1,March,April To Aug,Sep To Oct,0.07553977501235248
236,Rajshahi,25.0,70.5,Radish,1210,30.0,19.7,74.0,69.0,0.5007311474608406,1.4853268528690735,0.5766133197612191,25.58939893165245,0.4923506893701372,0.804274793977284,0.1539490217681045,0.26020163046680317,0.25747492023547724,0.47927644339396014,668.0286664670307,5.92,15.480537127360357,1.6444455626286651,27.56,35.54,36.9,1.2687940624435181,9.413833743827032,Optimal,Loamy,0.2579098309231735,0.23869306277125502,0.024885936571158264,0.9254903619488518,Optimal,772.89,1.0,1.63,8.05,30.915599999999998,Low Risk,0,28.16680411720985,0,0,Kharif 2,October,Nov To Feb,March,5.127118644067797
