Area,District,Season,Avg Temp,Avg Humidity,Crop Name,Transplant,Growth,Harvest,Production,Max Temp,Min Temp,Max Relative Humidity,Min Relative Humidity,EVI,LAI,FPAR,Soil_Moisture_mm,NDVI_Season_Mean,NDVI_Season_Max,NDVI_Season_Min,NDVI_Season_Std,NDVI_Season_Range,NDVI_Season_CV,Avg_Salinity_Index,pH,Organic_Carbon,Nitrogen,Clay,Sand,Silt,Bulk_Density,CN_Ratio,pH_Suitability,Dominant_Soil_Texture,sm_surface,sm_rootzone,Rootzone_Surface_Diff,Moisture_Ratio,Water_Availability_Cat,Rainfall,Heat_Stress_Days,Wind_Mean,Wind_Max,Rain_Temp_Ratio,Extreme_Heat_Risk,Is_Extreme_Heat,LST_C,is_extreme_Heat_Stress_Days,is_extreme_Wind_Max,Yield
428,Nilphamari,Kharif 1,27.5,90.0,Jhinga,April,April To May,Nov To April,0,34.0,11.1,90,85,0.32153151081366016,2.1895259274285963,0.2846248267179795,18.925004275971453,0.3612140091756937,0.36835483688673853,0.032960142503210034,0.08875382476363182,0.3353946943835285,0.2457098077845097,920.2233200818787,6.28,16.808064423329572,1.6784496183487287,29.03,24.8,46.17,1.2533194875860867,10.014041672496235,Optimal,Loamy,0.1078865751669862,0.20375500327119292,0.09586842810420672,1.8886038689783426,Moderate,859.46,52.0,3.32,7.33,31.25309090909091,High Risk,1,27.758868893681775,1,0,0.0
429,Munshiganj,Kharif 1,28.4,82.2,Green Coconut,April,April To May,June To Sep,3583,35.0,24.8,85,59,0.35061708705018396,1.3585521588580662,0.36348636582133675,17.768443066066286,0.3171030732747631,0.3171030732747631,0.10076227360270396,0.1185510437984253,0.21634079967205916,0.3738564958520706,1198.8555158317404,6.23,15.10133764599552,1.790677220687992,32.17,27.99,39.84,1.3081433976028978,8.433310856656494,Optimal,Loamy,0.12887813768066775,0.24098046096641654,0.11210232328574879,1.869831961441856,Moderate,1035.18,52.0,2.9,6.73,36.45,High Risk,1,29.743592026069336,1,0,8.351981351981353
1,Bhola,Kharif 1,21.2,71.6,Kakrol,April,April To May,Feb To March,0,29.0,6.3,85,60,0.3070436191835637,1.0431918457368385,0.22355996856486116,20.25157238160083,0.29145421348832645,0.3008855624212602,0.2245614225257795,0.0765558276880873,0.07632413989548067,0.26266845406629735,1016.5038944052416,5.97,20.850663834151135,2.0216843855968385,30.57,28.15,41.28,1.2947721603525326,10.313510844075513,Optimal,Loamy,0.19644573616977712,0.26331221942045174,0.06686648325067462,1.3403814435192711,Optimal,925.16,62.5,3.06,6.92,43.63962264150943,High Risk,1,32.403279781297606,1,0,0.0
74562,Pabna,Kharif 1,24.8,80.0,Wood Apple,June,April To May,March,355716,24.8,8.0,87,80,0.40281327071336614,0.988010890319174,0.4833321219883704,10.72622033103949,0.2558587287347361,0.33193774117951236,0.004767030739814139,0.12850198295579845,0.3271707104396982,0.5022380263955117,1065.8420549181567,5.71,23.28575152904514,1.3218006385810315,34.93,22.18,42.89,1.2898801618233264,17.616689574339038,Optimal,Loamy,0.31526931955444265,0.38724236747897084,0.07197304792452819,1.2282906818406714,Optimal,1072.03,59.5,2.61,6.73,43.22701612903226,High Risk,1,27.590947271691995,1,0,4.770741128188622
1889,Lalmonirhat,Kharif 1,25.2,83.4,Amra,September,April To May,Feb To March,1457,31.0,9.9,87,81,0.28365840915522916,2.3429438816489596,0.4469148818255818,11.44409414516202,0.3452099727684323,0.368569274307961,0.3452099727684323,0.07455592072231935,0.0233593015395287,0.2159726734555599,862.8677939736064,5.9,17.144462751410998,1.6702172704718559,31.19,27.63,41.18,1.3159251514645869,10.264809887019961,Acidic,Loamy,0.2056863322118064,0.25200959517852434,0.04632326296671793,1.2252131314151509,Optimal,1063.14,40.5,0.22,5.92,42.188095238095244,High Risk,1,28.966999404522507,0,0,0.7713075701429327
1,Feni,Kharif 1,24.7,79.7,Groundnut,July,March To April,February To May,1,42.0,10.7,85,60,0.32278847529638593,1.089973028047052,0.687208288536916,16.013207729681724,0.3608858398483662,0.6403741809183535,0.18287437649901545,0.09065499807685438,0.4574998044193381,0.2512013165020412,826.2491545307424,5.78,25.92502174676701,1.4026100237421697,32.18,25.64,42.18,1.3090506979732852,18.483413998139653,Optimal,Loamy,0.12198002551773089,0.19074559905953636,0.06876557354180547,1.5637445413700932,Optimal,1475.52,23.0,1.6,7.1,59.73765182186235,Moderate Risk,1,30.22567149541648,0,0,1.0
1,Thakurgaon,Kharif 2,25.9,81.8,Beans,September,Oct To Dec,March,2,30.0,25.9,91,61,0.5304417529573711,1.3330296519230185,0.6650350644055818,24.674372130025734,0.34354810503006755,0.7406354420899405,0.06712082520281412,0.15529458485652908,0.6735146168871263,0.45203155710300774,686.3926829199619,5.47,22.36605192498672,1.7446452898099634,31.88,32.31,35.81,1.3264859058417453,12.81982764956363,Optimal,Loamy,0.09738907284212366,0.18647575431642777,0.08908668147430411,1.914750278182867,Optimal,937.74,0.0,2.68,10.65,36.20617760617761,Low Risk,0,26.606834796861303,0,0,2.0
1,Chuadanga,Rabi,21.1,68.0,Danta,November,Oct To Nov,March To April,0,23.0,15.1,77,68,0.38791058860992617,1.3579309120158112,0.5105014350026957,7.035601179216466,0.4190606295048094,0.5875759467899493,0.39851208305055635,0.07053755395760081,0.18906386373939293,0.16832302772263,744.8190720721637,5.75,31.532776312115637,1.6188301224714952,32.68,36.04,31.28,1.2093464649452281,19.478743244519084,Optimal,Loamy,0.146795971676868,0.1720766889227084,0.025280717245840384,1.1722166961194895,Optimal,157.39,0.0,1.94,4.68,7.459241706161136,Low Risk,0,24.523276443429726,0,0,0.0
1,Dhaka,Kharif 1,20.9,76.4,Date Palm,June,April To July,Sep To Feb,1,37.0,20.9,85,69,0.30787431270909954,1.1424580982924182,0.25514499277730573,13.751216446225524,0.35906302271551155,0.4708258509882111,0.3091537299124133,0.10921979707039282,0.16167212107579781,0.30418001899607616,944.1882926005529,6.34,34.81242928053002,3.16964372891229,37.24,27.57,35.19,1.2898672252477237,10.983073259301738,Acidic,Loamy,0.22522876930052613,0.19030210808181683,-0.0349266612187093,0.8449280643535101,Optimal,801.45,63.5,2.82,4.08,38.34688995215311,High Risk,1,28.680791609993893,1,0,1.0
1248,Mymensingh,Kharif 1,20.2,70.1,Kolmi Shak,June,June To August,April To June,3118,35.0,20.2,85,60,0.31609986000630425,1.4958524721551711,0.3382844982006543,13.861224294242035,0.3985679232302901,0.5047039393942621,0.29596863252390354,0.05388569410484869,0.20873530687035852,0.13519827102020415,789.4350300088935,5.66,16.34984746936786,1.5490962975391678,34.87,25.81,39.32,1.302848701230392,10.55444228699053,Optimal,Loamy,0.29752370049150756,0.25016548295429875,-0.04735821753720881,0.8408253948879592,Optimal,629.25,11.5,2.54,6.27,31.150990099009903,Low Risk,0,27.864664768640868,0,0,2.4983974358974357
1,Narsingdi,Rabi,19.6,78.1,Palmyra Palm,April,Dec To March,Jan To March,0,27.0,14.3,85,60,0.3480047347963795,1.4644314434669865,0.44619444988691803,10.388883387659437,0.5682876037362258,0.5737863625158107,0.26059316807948735,0.0731320296265032,0.3131931944363234,0.12868841260251718,749.3182320609328,5.99,29.058428118844425,2.2384927751994206,32.89,21.45,45.66,1.2775410057065273,12.981247221696169,Optimal,Loamy,0.2167752560419349,0.32437335356051067,0.10759809751857577,1.4963578384507181,Optimal,165.48,0.0,1.88,6.36,8.442857142857141,Low Risk,0,26.355323707437105,0,0,0.0
1,Jamalpur,Kharif 1,27.9,83.0,Gourd,April,May To July,April To June,1,44.0,20.6,89,83,0.4249599258098001,1.239529173528913,0.27285352957464565,21.184094727162453,0.32468089283668655,0.32468089283668655,0.14975591018756668,0.1483537844967799,0.17492498264911988,0.4569218200696565,1187.4919259982826,5.74,23.832756760204973,1.7686524869707814,30.29,24.35,45.36,1.3074638663100402,13.475093007685176,Optimal,Clayey,0.12906546580704223,0.7126441724645258,0.5835787066574836,5.521571304983751,Moderate,883.67,43.5,2.26,6.33,31.672759856630826,High Risk,0,31.255559037014574,1,0,1.0
