Area,District,Avg Temp,Avg Humidity,Crop Name,Max Temp,Min Temp,Max Relative Humidity,Min Relative Humidity,EVI,LAI,FPAR,Soil_Moisture_mm,NDVI_Season_Mean,NDVI_Season_Max,NDVI_Season_Min,NDVI_Season_Std,NDVI_Season_Range,NDVI_Season_CV,Avg_Salinity_Index,pH,Organic_Carbon,Nitrogen,Clay,Silt,Bulk_Density,pH_Suitability,Dominant_Soil_Texture,sm_surface,sm_rootzone,Rootzone_Surface_Diff,Water_Availability_Cat,Rainfall,Heat_Stress_Days,Wind_Mean,Wind_Max,Extreme_Heat_Risk,LST_C,Yield,Season,Transplant,Growth,Harvest
2495,Pirojpur,21.2,60.7,Sweet Potato,26.0,14.8,70,49,0.2978261165100747,0.8667670180535645,0.4378686741882349,11.897276469133365,0.4214819341115736,0.4314151051963733,0.3875711383647756,0.096655592423292,0.1092142193006646,0.0084500816657689,596.9739323178693,5.57,21.443109063978195,1.6265863179630995,34.65,37.43,1.2993855660401676,Optimal,Loamy,0.1330568410971605,0.309043989473509,0.0975757431272384,Optimal,220.43,0.5,0.96,6.07,Low Risk,24.19431198767482,3.648496993987976,Rabi,November,Dec To March,April
2543,Bandarban,29.4,70.2,Cauliflower,30.0,23.7,73,44,0.4406849243381989,1.2012417993068156,0.7655294658113564,25.58278695910437,0.4705263045254647,0.6380010808608357,0.1922490299839336,0.2738991588922893,0.3734747609551039,0.4268423040165425,711.0429071498975,6.0,22.0380125098465,1.2007182554411993,35.48,39.0,1.2907742175130583,Optimal,Loamy,0.1242359507881979,0.3009849705077393,0.0564258515908875,Optimal,1354.97,0.5,2.38,10.24,Low Risk,27.654266672066637,4.77388910735352,Kharif 2,September,Nov To Jan,Feb
1944,Moulvibazar,30.0,69.2,Lentil,36.0,19.7,80,42,0.4581149479167969,1.1983543958779357,0.5591972011521816,25.795666742133783,0.4319952268876775,0.6271568625852115,-0.0686139240942936,0.283314263379295,0.2910688957917466,0.3981933261624065,472.06400727706045,5.87,23.931614625003817,1.3379111497308316,32.68,43.51,1.2782396238038034,Optimal,Loamy,0.5537245690299648,0.3215420134637634,0.0603368493822063,Moderate,1626.4,16.0,2.35,9.33,Moderate Risk,26.88311465609637,1.0781893004115226,Kharif 2,October,Nov To Feb,Feb To March
1,Feni,25.7,69.1,Safeda,43.0,7.6,80,60,0.3056421474542853,0.9057909538576888,0.4387791775467118,25.14715469334776,0.3432487790455703,0.4450865116724153,0.2055408652268398,0.1202353335711896,0.5102474898174921,0.06603278217993,925.3012001938384,5.63,30.874015435691508,1.992315520014988,36.83,37.75,1.3106987174047662,Optimal,Loamy,0.1407462745534067,0.3991894057606343,-0.0091643850231403,Optimal,1134.36,1.0,1.14,7.01,High Risk,25.11551930574819,1.0,Kharif 1,April,April To May,Jan To March
1,Netrokona,24.8,75.9,Palmyra Palm,35.0,14.5,90,65,0.2952431606487219,2.075523433253502,0.499375785903028,25.770370360363597,0.4609889911244659,0.6698351160788244,0.242280642291014,0.2537906452450439,0.4524692390492815,0.4248310946670929,525.4363582391302,5.5,22.316759578228734,1.2667561514348158,32.49,48.41,1.29882897297981,Optimal,Loamy,0.1979451919150549,0.3061534947560697,0.0691329761707834,Optimal,80.15,8.0,2.53,24.46,Low Risk,27.583546109208843,7.0,Rabi,September,Oct To Nov,Nov To Feb
1,Coxsbazar,27.7,63.0,Sugarcane,30.0,23.6,63,42,0.3901967061529815,2.151646870550998,0.5177688366757284,25.507328267721984,0.3893660292116827,0.780901496308084,0.0517347706683854,0.1694728563479202,0.3454734486932556,0.4183164012900853,749.9084891301502,5.85,21.57320254935404,1.9074395485329247,30.74,36.69,1.3228871296578315,Optimal,Loamy,0.2721043632134631,0.3597619586827247,0.0550385104314758,Moderate,2423.67,1.5,3.21,7.22,Low Risk,27.668256541189272,0.0,Kharif 2,October,Nov To Aug,Aug To Sep
1,Chandpur,26.8,70.0,Radish,36.0,25.2,70,65,0.2551592351432161,1.1990888771490855,0.5043920759803248,25.628383976520784,0.4719572777345738,0.5724283748062131,0.1323796555646337,0.1319557729656719,0.4649322276560912,0.3002505905513375,717.2226632162927,6.08,28.77814900307802,1.6899358986219646,33.31,43.03,1.308342587024658,Optimal,Loamy,0.213244767597332,0.3124137180258691,0.133629752801995,Moderate,1311.38,0.5,2.0,25.99,Low Risk,27.56178264967324,8.0,Kharif 2,October,Nov To Feb,March
2253,Dhaka,22.4,85.0,Wheat,26.0,22.4,85,81,0.3167139903684594,0.8032401634201096,0.4003556629457504,23.41101020142838,0.2562703642128106,0.2562703642128106,0.1791751212619113,0.1175064185334416,0.3181456854993838,0.1239900593746366,854.8512380326451,6.01,23.775069339896863,2.510763042761101,38.04,35.03,1.2680451694214865,Optimal,Loamy,0.130078860256988,0.2291321931287749,0.1138827410936931,Optimal,82.23,0.5,1.35,4.84,Moderate Risk,24.745666447602364,1.438526409232135,Rabi,December,Jan To March,April
667,Noakhali,27.8,73.8,Cabbage,30.0,9.6,90,46,0.5064777598123132,1.4576637239892374,0.7244357645573745,24.6433201199278,0.3764762709443264,0.4860312971659903,0.1242638652245362,0.1332425475987682,0.2226126749288584,0.339696167705215,860.9549858276164,6.04,20.539527930793817,2.0198591193118687,34.5,37.34,1.2931894141016944,Optimal,Loamy,0.2161232353838118,0.2554345972854234,0.0492184261529639,Moderate,1533.16,4.5,2.21,15.71,Low Risk,28.83468515697343,2.41079460269865,Kharif 2,September,Oct To Jan,Feb
1,Madaripur,24.6,79.0,Carrot,30.0,15.7,90,79,0.3316340780378538,1.0053425988149547,0.4272051409212245,8.33729924888193,0.2531424699267071,0.2531424699267071,0.0708182252127909,0.1280468747980606,0.3124126398261556,0.34294448466977,658.6913122856881,6.23,15.178125925073727,3.171787698297101,32.32,43.55,1.3026919278593156,Optimal,Loamy,0.2341951184481858,0.2749177960285605,0.0270510560832721,Moderate,1238.15,0.0,2.26,8.52,Low Risk,27.993008222878,4.0,Kharif 2,October,Nov To Feb,March
1574,Bagerhat,25.2,65.0,Radish,35.0,19.8,65,64,0.3628926863607312,1.966256762535764,0.7255210973371294,25.433711003480745,0.4650695799675645,0.6266195818598027,0.1368933864168072,0.1980698880168456,0.4924039011598048,0.3593488556027818,568.1658531437032,6.26,13.603456047980965,1.8796314841208055,31.07,42.67,1.2720466312639889,Optimal,Loamy,0.4180282090552992,0.2909681827979492,0.0397848608789498,Optimal,1451.65,1.0,1.76,8.43,Low Risk,28.687033404281,4.284625158831004,Kharif 2,October,Nov To Feb,March
