Area,AP Ratio,District,Season,Avg Temp,Crop Name,Transplant,Growth,Harvest,Production,Min Relative Humidity,Year,EVI,LAI,FPAR,LST_Kelvin,Soil_Moisture_mm,NDVI_Season_Mean,NDVI_Season_Max,NDVI_Season_Min,NDVI_Season_Std,NDVI_Season_Range,NDVI_Season_CV,Avg_Salinity_Index,pH,Organic_Carbon,Nitrogen,Clay,Sand,Silt,Bulk_Density,CN_Ratio,pH_Suitability,Compaction_Risk,Dominant_Soil_Texture,sm_surface,sm_rootzone,Rootzone_Surface_Diff,Moisture_Ratio,Water_Availability_Cat,Rainfall,Heat_Stress_Days,Wind_Mean,Wind_Max,Wind_Min,Rain_Temp_Ratio,Extreme_Heat_Risk,Is_Extreme_Heat,is_extreme_Heat_Stress_Days,is_extreme_Wind_Max,Yield,Temp_Range,Drought_Index
1,6.0,Mymensingh,Kharif 2,30.0,Jamrul,June,July to August,June  to September,6,70,2022,0.4106339130402252,1.4748403173334657,5.057316705379154,301.6496706149745,-7492.914102170085,0.4772785243649096,0.6661036234448312,0.1389876607018474,0.236589897802256,0.5271159627429838,0.4957061458339745,722.0789151781311,5.73,16.23,1.49,31.27,29.94,38.8,1.31,10.89,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3778,0.3725,-0.0052,0.9837,Optimal,1391.11,0.0,1.5408130081300817,5.49,0.03,50.58,Low Risk,0,0,0,6.0,10.0,0.5
1,1.0,Bogura,Kharif 1,27.5,Malta,June,June to August,August to September,1,80,2022,0.3135492365724523,0.9588678271602764,3.5346077446403745,302.10831469026914,21.623602122603792,0.2695753116880148,0.3974557819503149,0.1186313763339489,0.1146683263696878,0.278824405616366,0.4253665725235102,1086.6998506354364,6.18,17.93,1.68,35.2,21.52,43.28,1.3,10.67,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3063,0.3207,0.0144,1.0526,Optimal,895.25,42.5,2.442459016393443,6.82,0.06,31.2,High Risk,1,1,0,1.0,15.0,0.4375
1,21.0,Sylhet,Kharif 1,27.5,Malta,June,June to August,August to September,21,80,2022,0.1868528494397071,0.7101077169662329,2.4313949178353487,301.52271203406684,24.628947614362872,0.1045169528541355,0.2401914716423759,0.021092634797125,0.1050547455486178,0.2190988368452509,1.0051455068273265,1019.7318102325816,5.61,19.98,1.81,28.45,42.62,28.93,1.24,11.03,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.4416,0.4462,0.0046,1.008,Optimal,2078.94,15.0,1.5492622950819672,4.69,0.09,75.86,Moderate Risk,0,0,0,14.153395061728393,15.0,0.4375
1,12.0,Sylhet,Kharif 1,20.5,Date Palm,April,No Need to Do,Feb to March,12,60,2022,0.1868528494397071,0.7101077169662329,2.4313949178353487,301.52271203406684,24.628947614362872,0.1045169528541355,0.2401914716423759,0.021092634797125,0.1050547455486178,0.2190988368452509,1.0051455068273265,1019.7318102325816,5.61,19.98,1.81,28.45,42.62,28.93,1.24,11.03,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2441,0.2815,0.0374,1.1911,Optimal,2078.94,15.0,1.5492622950819672,4.69,0.09,75.86,Moderate Risk,0,0,0,9.28552890834909,29.0,0.5833333333333334
1,1.0,Feni,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,1,70,2022,0.3665906769782119,1.1537637397187268,4.103794430631279,302.561120319793,16.78831163380378,0.2297341345425387,0.3420579380209889,0.0507026668147709,0.1321343045015581,0.2913552712062179,0.5751618267989319,1211.038877783889,5.67,20.91,1.66,35.16,25.97,38.87,1.29,12.59,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2487,0.2782,0.0294,1.1956,Optimal,1134.36,10.0,2.403688524590164,6.22,0.12,41.41,Moderate Risk,0,0,0,1.0,33.0,0.5428571428571428
1,2.0,Pirojpur,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,2,70,2022,0.3676248632899017,1.399285678427752,4.355157440166984,301.66703165194235,13.114942509391028,0.3480256868677557,0.4034404459856785,0.264165553095138,0.0620887177919317,0.1392748928905405,0.1784026873152167,918.2655124550027,5.79,33.040000000000006,3.2150000000000003,29.02,23.88,47.1,1.22,7.75,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2655,0.2999,0.0344,1.195,Optimal,656.33,42.5,2.48188524590164,5.86,0.04,22.73,High Risk,1,1,0,2.0,33.0,0.5428571428571428
1,4.0,Munshiganj,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,4,70,2022,0.3317521444981284,1.140735825380015,3.80843923220785,302.41762310628,14.839407407536791,0.2820729865555412,0.3805900028922174,0.1254731884929805,0.1094906672468311,0.2551168143992369,0.3881643137254902,1017.2962471629957,5.44,20.42,2.42,35.02,29.59,35.41,1.25,8.43,Acidic (Chua),Low,Loamy (Thịt/Phù Sa),0.2462,0.2671,0.0209,1.1457,Optimal,896.28,41.0,2.7607377049180326,6.78,0.13,31.49,High Risk,1,0,0,4.0,33.0,0.5428571428571428
1,3.0,Noakhali,Kharif 1,24.0,Safeda,April,No Need to Do,Jan to March,3,60,2022,0.3175458470826783,1.6321282104985515,4.167741732070979,302.2793504191985,19.92480629619872,0.2317849420819408,0.3485228861940609,0.1125262690416429,0.1108842442473148,0.235996617152418,0.4783927862238563,892.7393467460697,5.79,23.52,1.72,33.46,29.05,37.49,1.31,13.67,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.1347,0.1878,0.053,1.4626,Moderate,1243.4,0.0,4.176393442622951,8.21,0.16,44.3,Low Risk,0,0,0,3.0,28.0,0.6333333333333333
1,4.0,Bhola,Kharif 1,24.0,Safeda,April,No Need to Do,Jan to March,4,60,2022,0.2564676969903233,1.2035349237855488,3.942883823985219,301.08124480602925,18.25341006993674,0.1937122601154376,0.2246323016939531,0.1700006675577468,0.0229865281816801,0.0546316341362063,0.1186632594549353,925.6032514459698,5.57,31.05,2.48,30.53,27.14,42.37,1.27,12.52,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.1467,0.21,0.0633,1.515,Moderate,1663.21,0.0,3.684180327868853,7.13,0.09,59.17,Low Risk,0,0,0,4.0,28.0,0.6333333333333333
1,5.0,Sirajganj,Kharif 1,24.0,Safeda,April,No Need to Do,Jan to March,5,60,2022,0.2883424254592767,0.8434874516179025,3.243103238375398,301.4346498654085,19.1867737579304,0.1939391519162513,0.2438028677727265,0.1381345270632336,0.055318296172112,0.1056683407094929,0.285235320591688,1122.7924980279338,5.87,16.81,1.53,30.62,29.44,39.96,1.34,10.98,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.1316,0.1896,0.058,1.4669,Moderate,1038.79,42.5,2.3401639344262297,6.82,0.09,36.24,High Risk,1,1,0,5.0,28.0,0.6333333333333333
1,4.0,Kurigram,Kharif 2,30.0,Green Palmyra,April,No Need to Do,May,4,60,2022,0.3258621221780649,1.3571575004473733,4.627946234084336,300.5540816950037,-7492.911328463224,0.3614042529426158,0.4923091315654682,0.1600381274417598,0.1489942289448691,0.3322710041237083,0.4122647360448373,792.4069629086493,5.63,18.2,1.97,32.46,34.49,33.03,1.31,9.23,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2848,0.2994,0.0146,1.0454,Optimal,993.02,0.0,1.8404878048780489,5.77,0.08,35.74,Low Risk,0,0,0,4.0,10.0,0.5833333333333334
1,20.0,Moulvibazar,Kharif 2,30.0,Green Palmyra,April,No Need to Do,May,20,60,2022,0.425724750754737,2.165224589475353,5.805774738929674,301.24948580555593,-7492.91741978459,0.4415576337667176,0.6199927514832799,0.2298372609953658,0.1655338697866212,0.3901554904879141,0.3748862144552474,576.5795702892858,6.08,16.13,2.15,32.01,29.74,38.23,1.3,7.5,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2255,0.2502,0.0247,1.1234,Optimal,1626.4,2.0,1.23,5.03,0.02,58.31,Moderate Risk,0,0,0,20.0,10.0,0.5833333333333334
1,1.0,Narsingdi,Kharif 2,18.0,Carrot,Oct,Nov to Feb,March,1,47,2022,0.3736190418944162,1.624586962141645,5.310816972668427,301.560318868846,-7492.915616444734,0.4026551945490048,0.582228604206656,0.2212477349859281,0.1480809397218583,0.3609808692207279,0.3677611557643428,736.8481399688881,5.47,21.69,1.54,35.94,30.81,33.25,1.25,14.08,Acidic (Chua),Low,Loamy (Thịt/Phù Sa),0.2477,0.2891,0.0414,1.2295,Optimal,1137.55,0.0,1.992032520325204,7.4,0.04,40.9,Low Risk,0,0,0,1.0,6.0,0.44680851063829785
1,4.0,Netrokona,Rabi,20.0,Palmyra Palm,Sep,Oct to Nov,Nov to Feb,4,50,2022,0.3024013460578561,0.9591586195146072,4.133275989385573,298.1153807730973,-2495.472886672341,0.3908023738102877,0.638234140226114,0.2328478871514515,0.1744941460699309,0.4053862530746625,0.44650226754927,753.6723847278678,5.92,19.91,1.93,36.51,29.44,34.05,1.29,10.31,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2828,0.3045,0.0216,1.0928,Optimal,80.15,0.0,1.1035,4.02,0.01,4.17,Low Risk,0,0,0,4.0,10.0,0.5
1,13.0,Nilphamari,Rabi,20.0,Palmyra Palm,Sep,Oct to Nov,Nov to Feb,13,50,2022,0.2903801219134016,1.060522285402843,4.672834835709876,297.1387731746752,-2495.773404794608,0.4304357677307694,0.604066391741781,0.3232946510636419,0.1274774173261423,0.2807717406781391,0.2961589786048574,871.4976966085044,6.0,15.44,1.64,29.14,32.45,38.4,1.31,9.41,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2198,0.2125,-0.0072,0.9872,Moderate,73.57000000000001,0.0,1.2875,7.48,0.03,4.09,Low Risk,0,0,0,13.0,10.0,0.5
1,19.0,Thakurgaon,Rabi,20.0,Palmyra Palm,Sep,Oct to Nov,Nov to Feb,19,50,2022,0.3118617378729527,1.0869665711823873,4.918835293556897,297.8752745786292,-2495.33052670239,0.457864104232248,0.5465011801065398,0.3186676286823571,0.1055506918786437,0.2278335514241827,0.2305284273280876,830.8890306064766,5.85,20.19,1.81,30.97,32.95,36.08,1.3,11.15,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2538,0.2761,0.0222,1.1086,Optimal,82.23,0.0,1.2454166666666666,3.9,0.06,4.19,Low Risk,0,0,0,19.0,10.0,0.5
1,1.0,Lakshmipur,Kharif 2,27.5,Patal,Aug,Sep to Jan,Jan to March,1,60,2022,0.3631640708196994,2.4183504530287765,6.210714949534056,300.6273146480235,-7493.105147019739,0.3677392935288108,0.5368424127097657,0.1735118910859101,0.1903712729427844,0.3633305216238556,0.5176799876781991,741.7048165468992,5.84,24.75,2.65,38.4,24.54,37.07,1.28,9.34,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2586,0.2784,0.0198,1.1356,Optimal,1311.38,0.0,2.389512195121952,7.82,0.03,47.08,Low Risk,0,0,0,1.0,15.0,0.5833333333333334
1,2.0,Jhenaidah,Kharif 2,26.5,Pineapple,Sep,Sep to May,June to Aug,2,70,2022,0.4638790288307386,1.771819157415158,5.673132335075849,302.18858403031936,-7492.910794122145,0.5025062107773226,0.7437649112435227,0.3220885598782582,0.1986776556458701,0.4216763513652645,0.3953735324754241,683.9099685457547,6.21,20.84,1.65,30.96,16.69,52.35,1.26,12.62,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2303,0.2667,0.0364,1.2077,Optimal,996.2,0.0,2.1582926829268296,7.83,0.11,35.83,Low Risk,0,0,0,2.0,17.0,0.5
1,1.0,Moulvibazar,Kharif 2,27.5,Gram,Aug,Sep to Oct,Nov,1,45,2022,0.425724750754737,2.165224589475353,5.805774738929674,301.24948580555593,-7492.91741978459,0.4415576337667176,0.6199927514832799,0.2298372609953658,0.1655338697866212,0.3901554904879141,0.3748862144552474,576.5795702892858,6.08,16.13,2.15,32.01,29.74,38.23,1.3,7.5,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3674,0.3901,0.0228,1.0635,Optimal,1626.4,2.0,1.23,5.03,0.02,58.31,Moderate Risk,0,0,0,1.0,15.0,0.7777777777777778
2,3.5,Moulvibazar,Rabi,20.5,Maize 2,Dec,Jan  to  March,April,7,50,2022,0.3166658956172926,1.4328504058900282,5.123944042903871,299.0728167931308,-2494.600208064441,0.4671694138083858,0.5076200516171026,0.3743598588192403,0.0623427484124923,0.1332601927978622,0.133447838342565,687.8283992225483,6.08,16.13,2.15,32.01,29.74,38.23,1.3,7.5,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.1836,0.2417,0.0581,1.3598,Moderate,83.51,0.0,0.9328333333333332,3.7,0.01,4.37,Low Risk,0,0,0,3.5,13.0,0.54
