Area,AP Ratio,District,Season,Avg Temp,Crop Name,Transplant,Growth,Harvest,Production,Min Relative Humidity,LST_Kelvin,Soil_Moisture_mm,NDVI_Season_Std,NDVI_Season_CV,Avg_Salinity_Index,pH,Clay,Sand,Bulk_Density,CN_Ratio,pH_Suitability,Compaction_Risk,Dominant_Soil_Texture,sm_rootzone,Rootzone_Surface_Diff,Water_Availability_Cat,Heat_Stress_Days,Wind_Mean,Wind_Max,Wind_Min,Rain_Temp_Ratio,Extreme_Heat_Risk,is_extreme_Wind_Max,Yield,Temp_Range,Drought_Index,Satellite_Info_1,Satellite_Info_2,Soil_Nutrient_Index,Heavy_Rain_Event
1,6.0,Mymensingh,Kharif 2,30.0,Jamrul,June,July to August,June  to September,6,70,301.6496706149745,-7492.914102170085,0.236589897802256,0.4957061458339745,722.0789151781311,5.73,31.27,29.94,1.31,10.89,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3725,-0.0052,Optimal,0.0,1.5408130081300817,5.49,0.03,50.58,Low Risk,0,6.0,10.0,0.5,1.8396177247652847,2.111989460835772,-1.1597349023648824,1
1,1.0,Bogura,Kharif 1,27.5,Malta,June,June to August,August to September,1,80,302.10831469026914,21.623602122603792,0.1146683263696878,0.4253665725235102,1086.6998506354364,6.18,35.2,21.52,1.3,10.67,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3207,0.0144,Optimal,42.5,2.442459016393443,6.82,0.06,31.2,High Risk,0,1.0,15.0,0.4375,-2.153183467701252,0.7075917008512003,-0.6760207239667326,1
1,21.0,Sylhet,Kharif 1,27.5,Malta,June,June to August,August to September,21,80,301.52271203406684,24.628947614362872,0.1050547455486178,1.0051455068273265,1019.7318102325816,5.61,28.45,42.62,1.24,11.03,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.4462,0.0046,Optimal,15.0,1.5492622950819672,4.69,0.09,75.86,Moderate Risk,0,14.153395061728393,15.0,0.4375,-5.216839282959376,0.6971976985288855,-0.2194137775898042,1
1,12.0,Sylhet,Kharif 1,20.5,Date Palm,April,No Need to Do,Feb to March,12,60,301.52271203406684,24.628947614362872,0.1050547455486178,1.0051455068273265,1019.7318102325816,5.61,28.45,42.62,1.24,11.03,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2815,0.0374,Optimal,15.0,1.5492622950819672,4.69,0.09,75.86,Moderate Risk,0,9.28552890834909,29.0,0.5833333333333334,-5.216839282959376,0.6971976985288855,-0.2194137775898042,1
1,1.0,Feni,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,1,70,302.561120319793,16.78831163380378,0.1321343045015581,0.5751618267989319,1211.038877783889,5.67,35.16,25.97,1.29,12.59,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2782,0.0294,Optimal,10.0,2.403688524590164,6.22,0.12,41.41,Moderate Risk,0,1.0,33.0,0.5428571428571428,-1.8940902403293909,1.3874714562322357,-0.2793896545918674,1
1,2.0,Pirojpur,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,2,70,301.66703165194235,13.114942509391028,0.0620887177919317,0.1784026873152167,918.2655124550027,5.79,29.02,23.88,1.22,7.75,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2999,0.0344,Optimal,42.5,2.48188524590164,5.86,0.04,22.73,High Risk,0,2.0,33.0,0.5428571428571428,-0.5689489877782272,-0.8082678765237662,3.4267975907503105,1
1,4.0,Munshiganj,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,4,70,302.41762310628,14.839407407536791,0.1094906672468311,0.3881643137254902,1017.2962471629957,5.44,35.02,29.59,1.25,8.43,Acidic (Chua),Low,Loamy (Thịt/Phù Sa),0.2671,0.0209,Optimal,41.0,2.7607377049180326,6.78,0.13,31.49,High Risk,0,4.0,33.0,0.5428571428571428,-1.7820651467418769,0.5803589198711898,0.6226459636965409,1
1,3.0,Noakhali,Kharif 1,24.0,Safeda,April,No Need to Do,Jan to March,3,60,302.2793504191985,19.92480629619872,0.1108842442473148,0.4783927862238563,892.7393467460697,5.79,33.46,29.05,1.31,13.67,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.1878,0.053,Moderate,0.0,4.176393442622951,8.21,0.16,44.3,Low Risk,0,3.0,28.0,0.6333333333333333,-1.6529366468035145,0.6424961002701116,0.1670797779918249,1
1,4.0,Bhola,Kharif 1,24.0,Safeda,April,No Need to Do,Jan to March,4,60,301.08124480602925,18.25341006993674,0.0229865281816801,0.1186632594549353,925.6032514459698,5.57,30.53,27.14,1.27,12.52,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.21,0.0633,Moderate,0.0,3.684180327868853,7.13,0.09,59.17,Low Risk,0,4.0,28.0,0.6333333333333333,-3.20605850295511,-0.9890475479465896,2.2053602775339534,1
1,5.0,Sirajganj,Kharif 1,24.0,Safeda,April,No Need to Do,Jan to March,5,60,301.4346498654085,19.1867737579304,0.055318296172112,0.285235320591688,1122.7924980279338,5.87,30.62,29.44,1.34,10.98,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.1896,0.058,Moderate,42.5,2.3401639344262297,6.82,0.09,36.24,High Risk,0,5.0,28.0,0.6333333333333333,-3.608334211948392,-0.4237402514342654,-1.0264332601421282,1
1,4.0,Kurigram,Kharif 2,30.0,Green Palmyra,April,No Need to Do,May,4,60,300.5540816950037,-7492.911328463224,0.1489942289448691,0.4122647360448373,792.4069629086493,5.63,32.46,34.49,1.31,9.23,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2994,0.0146,Optimal,0.0,1.8404878048780489,5.77,0.08,35.74,Low Risk,0,4.0,10.0,0.5833333333333334,-0.3011624699377863,0.7127066354239922,-0.2670805270454509,1
1,20.0,Moulvibazar,Kharif 2,30.0,Green Palmyra,April,No Need to Do,May,20,60,301.24948580555593,-7492.91741978459,0.1655338697866212,0.3748862144552474,576.5795702892858,6.08,32.01,29.74,1.3,7.5,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2502,0.0247,Optimal,2.0,1.23,5.03,0.02,58.31,Moderate Risk,0,20.0,10.0,0.5833333333333334,2.584960789250076,1.021075224026161,-0.330268778472907,1
1,1.0,Narsingdi,Kharif 2,18.0,Carrot,Oct,Nov to Feb,March,1,47,301.560318868846,-7492.915616444734,0.1480809397218583,0.3677611557643428,736.8481399688881,5.47,35.94,30.81,1.25,14.08,Acidic (Chua),Low,Loamy (Thịt/Phù Sa),0.2891,0.0414,Optimal,0.0,1.992032520325204,7.4,0.04,40.9,Low Risk,0,1.0,6.0,0.4468085106382978,1.220851711769181,0.7014477541464318,-0.3222700051055954,1
1,4.0,Netrokona,Rabi,20.0,Palmyra Palm,Sep,Oct to Nov,Nov to Feb,4,50,298.1153807730973,-2495.472886672341,0.1744941460699309,0.44650226754927,753.6723847278678,5.92,36.51,29.44,1.29,10.31,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3045,0.0216,Optimal,0.0,1.1035,4.02,0.01,4.17,Low Risk,0,4.0,10.0,0.5,-0.1081267072118993,0.645001036746861,-0.0759431695087267,0
1,13.0,Nilphamari,Rabi,20.0,Palmyra Palm,Sep,Oct to Nov,Nov to Feb,13,50,297.1387731746752,-2495.773404794608,0.1274774173261423,0.2961589786048574,871.4976966085044,6.0,29.14,32.45,1.31,9.41,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2125,-0.0072,Moderate,0.0,1.2875,7.48,0.03,4.09,Low Risk,0,13.0,10.0,0.5,0.2553417058288194,-0.716339166760312,-1.079924326687568,0
1,19.0,Thakurgaon,Rabi,20.0,Palmyra Palm,Sep,Oct to Nov,Nov to Feb,19,50,297.8752745786292,-2495.33052670239,0.1055506918786437,0.2305284273280876,830.8890306064766,5.85,30.97,32.95,1.3,11.15,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2761,0.0222,Optimal,0.0,1.2454166666666666,3.9,0.06,4.19,Low Risk,0,19.0,10.0,0.5,0.3512674380935472,-1.0218858295271924,-0.1896617295769261,0
1,1.0,Lakshmipur,Kharif 2,27.5,Patal,Aug,Sep to Jan,Jan to March,1,60,300.6273146480235,-7493.105147019739,0.1903712729427844,0.5176799876781991,741.7048165468992,5.84,38.4,24.54,1.28,9.34,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2784,0.0198,Optimal,0.0,2.389512195121952,7.82,0.03,47.08,Low Risk,0,1.0,15.0,0.5833333333333334,1.866414288695387,1.0694391285080525,1.5300984434907778,1
1,2.0,Jhenaidah,Kharif 2,26.5,Pineapple,Sep,Sep to May,June to Aug,2,70,302.18858403031936,-7492.910794122145,0.1986776556458701,0.3953735324754241,683.9099685457547,6.21,30.96,16.69,1.26,12.62,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2667,0.0364,Optimal,0.0,2.1582926829268296,7.83,0.11,35.83,Low Risk,0,2.0,17.0,0.5,3.3629277471653976,0.7324241925185622,-0.3020893337143854,1
