AP Ratio,District,Season,Avg Temp,Crop Name,Transplant,Growth,Harvest,Min Relative Humidity,Soil_Moisture_mm,pH,Clay,Sand,Bulk_Density,CN_Ratio,pH_Suitability,Compaction_Risk,Dominant_Soil_Texture,sm_rootzone,Rootzone_Surface_Diff,Water_Availability_Cat,Heat_Stress_Days,Wind_Max,Wind_Min,Rain_Temp_Ratio,Extreme_Heat_Risk,is_extreme_Wind_Max,Yield,Temp_Range,Satellite_Info_1,Satellite_Info_2,Soil_Nutrient_Index,Heavy_Rain_Event,LST_Adjusted
6.0,Mymensingh,Kharif 2,30.0,Jamrul,June,July to August,June  to September,70,-7492.914102170085,5.73,31.27,29.94,1.31,10.89,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3725,-0.0052,Optimal,0.0,5.49,0.03,50.58,Low Risk,0,6.0,10.0,1.8396177247652847,2.111989460835772,-1.1597349023648824,1,-0.017409719552631486
1.0,Bogura,Kharif 1,27.5,Malta,June,June to August,August to September,80,21.623602122603792,6.18,35.2,21.52,1.3,10.67,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3207,0.0144,Optimal,42.5,6.82,0.06,31.2,High Risk,0,1.0,15.0,-2.153183467701252,0.7075917008512003,-0.6760207239667326,1,0.4412343557419831
21.0,Sylhet,Kharif 1,27.5,Malta,June,June to August,August to September,80,24.628947614362872,5.61,28.45,42.62,1.24,11.03,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.4462,0.0046,Optimal,15.0,4.69,0.09,75.86,Moderate Risk,0,14.153395061728393,15.0,-5.216839282959376,0.6971976985288855,-0.2194137775898042,1,-0.14436830046031446
12.0,Sylhet,Kharif 1,20.5,Date Palm,April,No Need to Do,Feb to March,60,24.628947614362872,5.61,28.45,42.62,1.24,11.03,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2815,0.0374,Optimal,15.0,4.69,0.09,75.86,Moderate Risk,0,9.28552890834909,29.0,-5.216839282959376,0.6971976985288855,-0.2194137775898042,1,-0.14436830046031446
1.0,Feni,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,70,16.78831163380378,5.67,35.16,25.97,1.29,12.59,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2782,0.0294,Optimal,10.0,6.22,0.12,41.41,Moderate Risk,0,1.0,33.0,-1.8940902403293909,1.3874714562322357,-0.2793896545918674,1,0.8940399852658629
2.0,Pirojpur,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,70,13.114942509391028,5.79,29.02,23.88,1.22,7.75,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2999,0.0344,Optimal,42.5,5.86,0.04,22.73,High Risk,0,2.0,33.0,-0.5689489877782272,-0.8082678765237662,3.4267975907503105,1,-4.868258480428267e-05
4.0,Munshiganj,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,70,14.839407407536791,5.44,35.02,29.59,1.25,8.43,Acidic (Chua),Low,Loamy (Thịt/Phù Sa),0.2671,0.0209,Optimal,41.0,6.78,0.13,31.49,High Risk,0,4.0,33.0,-1.7820651467418769,0.5803589198711898,0.6226459636965409,1,0.7505427717528619
3.0,Noakhali,Kharif 1,24.0,Safeda,April,No Need to Do,Jan to March,60,19.92480629619872,5.79,33.46,29.05,1.31,13.67,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.1878,0.053,Moderate,0.0,8.21,0.16,44.3,Low Risk,0,3.0,28.0,-1.6529366468035145,0.6424961002701116,0.1670797779918249,1,0.6122700846713656
4.0,Bhola,Kharif 1,24.0,Safeda,April,No Need to Do,Jan to March,60,18.25341006993674,5.57,30.53,27.14,1.27,12.52,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.21,0.0633,Moderate,0.0,7.13,0.09,59.17,Low Risk,0,4.0,28.0,-3.20605850295511,-0.9890475479465896,2.2053602775339534,1,-0.5858355284979098
5.0,Sirajganj,Kharif 1,24.0,Safeda,April,No Need to Do,Jan to March,60,19.1867737579304,5.87,30.62,29.44,1.34,10.98,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.1896,0.058,Moderate,42.5,6.82,0.09,36.24,High Risk,0,5.0,28.0,-3.608334211948392,-0.4237402514342654,-1.0264332601421282,1,-0.23243046911863985
4.0,Kurigram,Kharif 2,30.0,Green Palmyra,April,No Need to Do,May,60,-7492.911328463224,5.63,32.46,34.49,1.31,9.23,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2994,0.0146,Optimal,0.0,5.77,0.08,35.74,Low Risk,0,4.0,10.0,-0.3011624699377863,0.7127066354239922,-0.2670805270454509,1,-1.1129986395234823
20.0,Moulvibazar,Kharif 2,30.0,Green Palmyra,April,No Need to Do,May,60,-7492.91741978459,6.08,32.01,29.74,1.3,7.5,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2502,0.0247,Optimal,2.0,5.03,0.02,58.31,Moderate Risk,0,20.0,10.0,2.584960789250076,1.021075224026161,-0.330268778472907,1,-0.41759452897122173
1.0,Narsingdi,Kharif 2,18.0,Carrot,Oct,Nov to Feb,March,47,-7492.915616444734,5.47,35.94,30.81,1.25,14.08,Acidic (Chua),Low,Loamy (Thịt/Phù Sa),0.2891,0.0414,Optimal,0.0,7.4,0.04,40.9,Low Risk,0,1.0,6.0,1.220851711769181,0.7014477541464318,-0.3222700051055954,1,-0.10676146568113154
4.0,Netrokona,Rabi,20.0,Palmyra Palm,Sep,Oct to Nov,Nov to Feb,50,-2495.472886672341,5.92,36.51,29.44,1.29,10.31,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3045,0.0216,Optimal,0.0,4.02,0.01,4.17,Low Risk,0,4.0,10.0,-0.1081267072118993,0.645001036746861,-0.0759431695087267,0,-0.20208026446499616
13.0,Nilphamari,Rabi,20.0,Palmyra Palm,Sep,Oct to Nov,Nov to Feb,50,-2495.773404794608,6.0,29.14,32.45,1.31,9.41,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2125,-0.0072,Moderate,0.0,7.48,0.03,4.09,Low Risk,0,13.0,10.0,0.2553417058288194,-0.716339166760312,-1.079924326687568,0,-1.1786878628871023
19.0,Thakurgaon,Rabi,20.0,Palmyra Palm,Sep,Oct to Nov,Nov to Feb,50,-2495.33052670239,5.85,30.97,32.95,1.3,11.15,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2761,0.0222,Optimal,0.0,3.9,0.06,4.19,Low Risk,0,19.0,10.0,0.3512674380935472,-1.0218858295271924,-0.1896617295769261,0,-0.4421864589330653
1.0,Lakshmipur,Kharif 2,27.5,Patal,Aug,Sep to Jan,Jan to March,60,-7493.105147019739,5.84,38.4,24.54,1.28,9.34,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2784,0.0198,Optimal,0.0,7.82,0.03,47.08,Low Risk,0,1.0,15.0,1.866414288695387,1.0694391285080525,1.5300984434907778,1,-1.0397656865036424
2.0,Jhenaidah,Kharif 2,26.5,Pineapple,Sep,Sep to May,June to Aug,70,-7492.910794122145,6.21,30.96,16.69,1.26,12.62,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2667,0.0364,Optimal,0.0,7.83,0.11,35.83,Low Risk,0,2.0,17.0,3.3629277471653976,0.7324241925185622,-0.3020893337143854,1,0.5215036957922052
1.0,Moulvibazar,Kharif 2,27.5,Gram,Aug,Sep to Oct,Nov,45,-7492.91741978459,6.08,32.01,29.74,1.3,7.5,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3901,0.0228,Optimal,2.0,5.03,0.02,58.31,Moderate Risk,0,1.0,15.0,2.584960789250076,1.021075224026161,-0.330268778472907,1,-0.41759452897122173
3.5,Moulvibazar,Rabi,20.5,Maize 2,Dec,Jan  to  March,April,50,-2494.600208064441,6.08,32.01,29.74,1.3,7.5,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2417,0.0581,Moderate,0.0,3.7,0.01,4.37,Low Risk,0,3.5,13.0,0.6661247430412655,-1.840451934896208,-0.330268778472907,0,0.7553557555685302
13.0,Sunamganj,Kharif 2,30.0,Jamrul,June,July to August,June  to September,70,-7492.922429056725,5.89,33.84,29.64,1.33,9.78,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.4171,-0.0003,Optimal,0.0,5.89,0.1,69.31,Low Risk,0,13.0,10.0,-5.085266010179653,0.5684178204578517,-1.2076847204063133,1,-1.1369943456758733
1.0,Kurigram,Kharif 1,27.5,Malta,June,June to August,August to September,80,23.70364085097172,5.63,32.46,34.49,1.31,9.23,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3813,0.0136,Optimal,17.0,6.81,0.04,57.18,High Risk,0,1.0,15.0,-4.36715872549444,0.472291078486112,-0.2670805270454509,1,-0.9465398636961595
6.0,Sirajganj,Kharif 1,27.5,Malta,June,June to August,August to September,80,19.1867737579304,5.87,30.62,29.44,1.34,10.98,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3216,0.0142,Optimal,42.5,6.82,0.09,36.24,High Risk,0,6.0,15.0,-3.608334211948392,-0.4237402514342654,-1.0264332601421282,1,-0.23243046911863985
0.5,Tangail,Kharif 2,30.0,Mug,Feb,March to May,May,60,-7492.910629714639,5.71,28.16,38.4,1.29,16.11,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2192,0.0356,Moderate,0.0,7.64,0.06,40.63,Low Risk,0,0.5,10.0,0.9730302989833426,1.4677956282851654,0.4061984056350668,1,-0.12740501291426654
0.5,Noakhali,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,70,19.92480629619872,5.79,33.46,29.05,1.31,13.67,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2688,0.0226,Optimal,0.0,8.21,0.16,44.3,Low Risk,0,0.5,33.0,-1.6529366468035145,0.6424961002701116,0.1670797779918249,1,0.6122700846713656
