District,Season,Crop Name,Transplant,Growth,Harvest,Min Temp,NDVI_Season_Min,NDVI_Season_Range,pH_Suitability,Dominant_Soil_Texture,Rootzone_Surface_Diff,Water_Availability_Cat,Heat_Stress_Days,Wind_Min,Rain_Temp_Ratio,Extreme_Heat_Risk,Yield
Bagerhat,Rabi,Wheat,December,Jan To March,April,15.5,0.4540554389640537,0.117132185228627,Optimal,Loamy,0.0886625,Optimal,0.6931471805599453,0.04,11.23,Low Risk,0.7722007722007722
Bagerhat,Rabi,Maize 2,December,Jan To March,April,14.0,0.4540554389640537,0.117132185228627,Optimal,Loamy,0.0886625,Optimal,0.6931471805599453,0.04,11.23,Low Risk,2.2470308788598574
Bagerhat,Rabi,Boro,November,Dec To March,April,12.0,0.4540554389640537,0.117132185228627,Optimal,Loamy,0.0886625,Optimal,0.6931471805599453,0.04,11.23,Low Risk,1.847881242307772
Bagerhat,Rabi,Sweet Potato,November,Dec To March,April,17.0,0.4540554389640537,0.117132185228627,Optimal,Loamy,0.0886625,Optimal,0.6931471805599453,0.04,11.23,Low Risk,3.508771929824561
Bagerhat,Kharif 1,Mango,April,April To May,April To June,27.0,0.2093828623516599,0.0983022327007182,Optimal,Loamy,0.0669,Optimal,3.7954891891721947,0.04,22.73,High Risk,4.994778067885117
Bagerhat,Kharif 1,Jack Fruit,April,April To May,April To June,22.0,0.2093828623516599,0.0983022327007182,Optimal,Loamy,0.0669,Optimal,3.7954891891721947,0.04,22.73,High Risk,26.71578947368421
Bagerhat,Kharif 1,Ripe Papaya,April,April To May,April To May,25.0,0.2093828623516599,0.0983022327007182,Optimal,Loamy,0.0802,Optimal,3.7954891891721947,0.04,22.73,High Risk,11.4
Bagerhat,Kharif 1,Aus,March,April To July,Aug,12.0,0.2093828623516599,0.0983022327007182,Optimal,Loamy,0.0689,Optimal,3.7954891891721947,0.04,22.73,High Risk,1.118843608498781
Bagerhat,Rabi,Karala,February,March To July,Aug To Sep,24.0,0.4540554389640537,0.117132185228627,Optimal,Loamy,0.068,Optimal,0.6931471805599453,0.04,11.23,Low Risk,1.3863636363636365
Bagerhat,Kharif 2,Sugarcane,October,Nov To Aug,Aug To Sep,20.0,0.36797252036576,0.2535123825970506,Optimal,Loamy,0.0673,Optimal,0.6931471805599453,0.04,52.27,Low Risk,10.719483568075118
Bagerhat,Kharif 1,Green Papaya,June,June To August,August To September,20.0,0.2093828623516599,0.0983022327007182,Optimal,Loamy,0.0416,Optimal,3.7954891891721947,0.04,22.73,High Risk,17.27710843373494
Bagerhat,Kharif 1,Amra,June,June To August,August To September,20.0,0.2093828623516599,0.0983022327007182,Optimal,Loamy,0.0416,Optimal,3.7954891891721947,0.04,22.73,High Risk,6.700598802395209
Bagerhat,Kharif 1,Wood Apple,May,June To August,August To September,20.0,0.2093828623516599,0.0983022327007182,Optimal,Loamy,0.0423,Optimal,3.7954891891721947,0.04,22.73,High Risk,1.0
