B,Cu,EC,Fe,Feature_ID,K,Mn,N,OC,P,S,Scan_Lat,Scan_Lon,Zn,pH,village
0.98,0.76,0.22,1.08,29_524_shc_2024-25.15771,191.0,2.86,178.0,0.31,17.0,14.0,15.851999999999977,75.60100000000297,0.46,7.8,Hebballi
1.27,0.33,0.2,1.78,29_524_shc_2024-25.15762,214.0,6.49,261.0,0.45,13.0,33.7,15.852999999999977,75.60100000000297,0.29,7.6,Hebballi
0.99,1.11,0.3,2.68,29_524_shc_2024-25.10104,146.0,5.44,206.0,0.36,45.0,26.5,15.853999999999976,75.65500000000323,0.45,6.9,Neeralagi
0.56,0.86,0.26,4.0,29_524_shc_2024-25.10106,213.0,3.48,275.0,0.48,12.0,19.0,15.853999999999976,75.65500000000323,0.24,6.8,Neeralagi
0.88,1.31,0.24,3.65,29_524_shc_2024-25.12948,123.0,8.03,206.0,0.36,30.0,15.7,15.853999999999976,75.65500000000323,0.43,7.3,Neeralagi
0.84,0.54,0.28,2.26,29_524_shc_2024-25.12949,225.0,3.8,275.0,0.48,13.0,21.0,15.853999999999976,75.65500000000323,0.37,7.4,Neeralagi
0.59,1.07,0.27,3.0,29_524_shc_2024-25.12950,180.0,2.87,263.0,0.46,16.0,22.7,15.853999999999976,75.65500000000323,0.54,7.0,Neeralagi
0.59,0.37,0.22,3.15,29_524_shc_2024-25.13010,168.0,3.87,252.0,0.44,12.0,22.0,15.853999999999976,75.65500000000323,0.3,6.7,Neeralagi
0.87,0.44,0.3,2.1,29_524_shc_2024-25.13046,213.0,3.76,263.0,0.46,13.0,19.0,15.853999999999976,75.65500000000323,0.4,7.3,Neeralagi
0.64,1.21,0.32,4.0,29_524_shc_2024-25.13060,157.0,3.76,252.0,0.44,13.0,22.7,15.853999999999976,75.65500000000323,0.5,7.5,Neeralagi
0.57,0.76,0.33,3.86,29_524_shc_2024-25.13062,191.0,2.87,263.0,0.46,12.0,22.7,15.853999999999976,75.65500000000323,0.36,6.9,Neeralagi
0.71,1.07,0.36,3.7,29_524_shc_2024-25.15722,146.0,4.0,281.0,0.49,12.0,26.0,15.853999999999976,75.65500000000323,0.4,7.2,Neeralagi
0.49,0.68,0.16,0.48,29_524_shc_2024-25.9735,180.0,1.89,263.0,0.46,18.0,26.5,15.854999999999976,75.53800000000267,0.29,6.7,Kittali
0.55,0.36,0.11,0.63,29_524_shc_2024-25.9942,112.0,1.73,155.0,0.27,22.0,21.5,15.854999999999976,75.53800000000267,0.37,6.2,Kittali
0.49,0.27,0.1,0.55,29_524_shc_2024-25.17336,78.0,1.68,178.0,0.31,10.0,12.5,15.854999999999976,75.53800000000267,0.29,6.1,Kittali
2.73,0.26,0.08,0.84,29_524_shc_2024-25.1725,34.0,1.73,83.0,0.14,5.0,16.2,15.822000000000005,75.72999999999826,0.26,6.4,Dhanakashirur
5.08,0.48,0.12,0.94,29_524_shc_2024-25.10404,157.0,1.88,149.0,0.26,15.0,3.75,15.822000000000005,75.72999999999826,0.29,6.7,Dhanakashirur
0.76,0.47,0.15,3.46,29_524_shc_2024-25.10195,225.0,2.87,310.0,0.54,17.0,19.0,15.824000000000005,75.74399999999822,0.37,7.8,Belur
0.69,0.37,0.13,2.08,29_524_shc_2024-25.13027,247.0,3.0,332.0,0.58,18.0,20.2,15.824000000000005,75.74399999999822,0.5,7.4,Belur
0.78,0.37,0.38,3.0,29_524_shc_2024-25.13055,169.0,4.0,321.0,0.56,18.0,19.0,15.824000000000005,75.74399999999822,0.46,7.7,Belur
0.81,0.5,0.15,2.08,29_524_shc_2024-25.13075,258.0,5.21,298.0,0.52,22.0,14.5,15.824000000000005,75.74399999999822,0.47,7.5,Belur
2.14,0.73,0.11,0.37,29_524_shc_2024-25.18816,146.0,1.38,120.0,0.21,21.0,12.2,15.824000000000005,75.73399999999825,0.29,6.2,Dhanakashirur
0.66,0.32,0.12,0.86,29_524_shc_2024-25.19276,157.0,3.05,79.0,0.13,38.0,12.5,15.824000000000005,75.73399999999825,0.18,6.2,Dhanakashirur
1.08,0.68,0.1,0.48,29_524_shc_2024-25.10505,112.0,2.08,120.0,0.21,63.0,7.0,15.828000000000007,75.73799999999824,0.18,6.2,Belur
2.29,0.26,0.25,0.88,29_524_shc_2024-25.10701,180.0,2.18,161.0,0.28,15.0,4.5,15.828000000000007,75.73799999999824,0.26,7.8,Belur
3.22,0.56,0.13,0.58,29_524_shc_2024-25.19275,90.0,1.55,79.0,0.13,27.0,10.2,15.828000000000007,75.73799999999824,0.48,6.9,Belur
3.47,0.39,0.14,0.48,29_524_shc_2024-25.19273,90.0,1.65,161.0,0.28,11.0,4.5,15.828000000000007,75.73599999999824,0.47,7.2,Belur
1.5,0.4,0.12,0.94,29_524_shc_2024-25.5995,112.0,1.77,138.0,0.24,35.0,29.0,15.830000000000007,75.74399999999822,0.58,7.1,Belur
1.53,0.3,0.11,0.77,29_524_shc_2024-25.7611,101.0,1.77,138.0,0.24,18.0,10.0,15.830000000000007,75.74399999999822,0.48,8.1,Belur
1.4,0.38,0.12,0.84,29_524_shc_2024-25.11642,123.0,1.68,91.0,0.16,21.0,9.5,15.830000000000007,75.74399999999822,0.37,7.7,Belur
