Year,District,Season,Crops,Soil_Type,Irrigation,Area,Avg_Temperature,Total_Rainfall,Avg_Wind_Speed,NDVI,Yield,Price
2004,Mangalore,Kharif,Coconut,Alluvial,Drip,1279,23.360082191780823,1473.22,12.33547397260274,0.4820666666666667,2570.0,200000
2004,Mangalore,Kharif,Coconut,Alluvial,Drip,13283,23.360082191780823,1473.22,12.33547397260274,0.4820666666666667,27170.0,4847
2004,Mangalore,Kharif,Coconut,Alluvial,Drip,52119,23.360082191780823,1473.22,12.33547397260274,0.4820666666666667,114744.0,51239
2004,Mangalore,Kharif,Coconut,Alluvial,Drip,725,23.360082191780823,1473.22,12.33547397260274,0.4820666666666667,1402.0,216396
2004,Mangalore,Kharif,Coconut,Alluvial,Drip,12885,23.360082191780823,1473.22,12.33547397260274,0.4820666666666667,23456.0,2644
2004,Mangalore,Kharif,Coconut,Alluvial,Drip,51179,23.360082191780823,1473.22,12.33547397260274,0.4820666666666667,107809.0,44235
2004,Mangalore,Kharif,Coconut,Alluvial,Drip,468,23.360082191780823,1473.22,12.33547397260274,0.4820666666666667,1132.0,203317
2004,Mangalore,Kharif,Coconut,Alluvial,Drip,11841,23.360082191780823,1473.22,12.33547397260274,0.4820666666666667,23960.0,2134
2004,Mangalore,Kharif,Coconut,Alluvial,Drip,50975,23.360082191780823,1473.22,12.33547397260274,0.4820666666666667,126487.0,45186
2004,Mangalore,Kharif,Coconut,Alluvial,Drip,206,23.360082191780823,1473.22,12.33547397260274,0.4820666666666667,804.0,238542
2004,Mangalore,Kharif,Coconut,Alluvial,Drip,10922,23.360082191780823,1473.22,12.33547397260274,0.4820666666666667,30362.0,1516
2004,Mangalore,Kharif,Coconut,Alluvial,Drip,51390,23.360082191780823,1473.22,12.33547397260274,0.4820666666666667,124492.0,57259
2004,Mangalore,Kharif,Coconut,Alluvial,Drip,177,23.360082191780823,1473.22,12.33547397260274,0.4820666666666667,792.0,234779
2004,Mangalore,Kharif,Coconut,Alluvial,Drip,10723,23.360082191780823,1473.22,12.33547397260274,0.4820666666666667,34153.0,1493
2004,Kodagu,Kharif,Coconut,Alluvial,Drip,51709,23.613278688524588,2792.12,6.525934426229509,0.5597888888888889,132551.0,64409
2004,Kodagu,Kharif,Coconut,Alluvial,Drip,146,23.613278688524588,2792.12,6.525934426229509,0.5597888888888889,338.0,249978
2004,Kodagu,Kharif,Coconut,Alluvial,Drip,10910,23.613278688524588,2792.12,6.525934426229509,0.5597888888888889,22966.0,637
2004,Kodagu,Kharif,Coconut,Alluvial,Drip,51355,23.613278688524588,2792.12,6.525934426229509,0.5597888888888889,131763.0,43311
2004,Kodagu,Kharif,Coconut,Alluvial,Drip,160,23.613278688524588,2792.12,6.525934426229509,0.5597888888888889,404.0,24848
2004,Kodagu,Kharif,Coconut,Alluvial,Drip,10912,23.613278688524588,2792.12,6.525934426229509,0.5597888888888889,24184.0,761
2004,Kodagu,Kharif,Coconut,Alluvial,Drip,51353,23.613278688524588,2792.12,6.525934426229509,0.5597888888888889,124387.0,45608
2004,Kodagu,Kharif,Coconut,Alluvial,Drip,142,23.613278688524588,2792.12,6.525934426229509,0.5597888888888889,343.0,234581
2004,Kodagu,Kharif,Coconut,Alluvial,Drip,10505,23.613278688524588,2792.12,6.525934426229509,0.5597888888888889,23099.0,646
2004,Kodagu,Kharif,Coconut,Alluvial,Drip,51040,23.613278688524588,2792.12,6.525934426229509,0.5597888888888889,117825.84,43562
2004,Kodagu,Kharif,Coconut,Alluvial,Drip,154,23.613278688524588,2792.12,6.525934426229509,0.5597888888888889,336.0,200000
