District,Latitude,Longitude,Date,Temp_Avg_C,Wind_Speed_10m_ms,Wind_Speed_50m_ms,Wind_Direction_10m_deg,Precipitation_mm,Wind_Speed_10m_kmh
Bagalkote,16.1691,75.694,2004-01-01,22.85,3.24,5.41,100.4,0.0,11.664000000000001
Bagalkote,16.1691,75.694,2004-01-02,22.42,3.35,5.6,111.9,0.0,12.06
Bagalkote,16.1691,75.694,2004-01-03,21.94,3.6,5.96,113.7,0.0,12.96
Bagalkote,16.1691,75.694,2004-01-04,21.31,3.93,6.34,120.3,0.0,14.148000000000001
Bagalkote,16.1691,75.694,2004-01-05,21.29,4.02,6.1,115.8,0.0,14.472
Bagalkote,16.1691,75.694,2004-01-06,22.53,3.9,5.84,122.9,0.0,14.04
Bagalkote,16.1691,75.694,2004-01-07,22.92,4.28,6.19,122.0,0.0,15.408000000000001
Bagalkote,16.1691,75.694,2004-01-08,22.31,5.21,7.87,93.1,0.0,18.756
Bagalkote,16.1691,75.694,2004-01-09,21.02,5.01,7.58,87.6,0.0,18.036
Bagalkote,16.1691,75.694,2004-01-10,20.71,4.1,6.44,94.3,0.0,14.76
Bagalkote,16.1691,75.694,2004-01-11,20.79,3.66,5.77,91.2,0.0,13.176
Bagalkote,16.1691,75.694,2004-01-12,21.27,3.54,5.47,96.1,0.0,12.744
Bagalkote,16.1691,75.694,2004-01-13,21.75,3.41,5.23,99.6,0.0,12.276000000000002
Bagalkote,16.1691,75.694,2004-01-14,22.97,2.41,3.59,99.3,0.0,8.676
Bagalkote,16.1691,75.694,2004-01-15,23.11,3.29,5.2,107.8,0.0,11.844000000000001
Bagalkote,16.1691,75.694,2004-01-16,23.12,3.79,6.19,111.2,0.0,13.644
Bagalkote,16.1691,75.694,2004-01-17,23.19,3.22,5.34,121.0,0.0,11.592
Bagalkote,16.1691,75.694,2004-01-18,23.36,2.12,3.18,142.0,0.0,7.632000000000001
Bagalkote,16.1691,75.694,2004-01-19,23.89,2.23,3.44,122.4,0.0,8.028
Bagalkote,16.1691,75.694,2004-01-20,23.46,3.63,5.61,140.0,0.0,13.068
Bagalkote,16.1691,75.694,2004-01-21,23.85,1.9,2.87,199.3,0.0,6.84
Bagalkote,16.1691,75.694,2004-01-22,24.68,2.18,3.17,234.2,0.0,7.848000000000001
Bagalkote,16.1691,75.694,2004-01-23,24.52,2.26,3.47,289.3,0.0,8.136
Bagalkote,16.1691,75.694,2004-01-24,24.66,1.6,2.59,0.6,0.0,5.760000000000001
Bagalkote,16.1691,75.694,2004-01-25,25.11,3.21,4.54,240.5,0.05,11.556000000000001
Bagalkote,16.1691,75.694,2004-01-26,23.35,2.46,3.68,286.7,0.71,8.856
Bagalkote,16.1691,75.694,2004-01-27,23.3,3.22,4.95,86.7,0.0,11.592
Bagalkote,16.1691,75.694,2004-01-28,25.33,3.39,4.78,132.8,0.0,12.204
Bagalkote,16.1691,75.694,2004-01-29,26.07,2.31,3.14,258.0,0.03,8.316
Bagalkote,16.1691,75.694,2004-01-30,24.59,2.68,3.98,270.6,0.07,9.648000000000001
Bagalkote,16.1691,75.694,2004-01-31,24.13,3.11,4.64,261.2,0.01,11.196
Bagalkote,16.1691,75.694,2004-02-01,24.34,2.22,3.34,314.5,0.0,7.992000000000001
Bagalkote,16.1691,75.694,2004-02-02,24.22,3.86,5.62,112.4,0.67,13.895999999999999
Bagalkote,16.1691,75.694,2004-02-03,25.32,3.46,5.36,98.4,0.05,12.456
Bagalkote,16.1691,75.694,2004-02-04,26.01,2.57,3.76,117.2,0.0,9.251999999999999
Bagalkote,16.1691,75.694,2004-02-05,26.95,2.18,3.15,339.1,0.0,7.848000000000001
