State,Station_ID,Date,Year,Month,Precipitation_mm,Attributes
Alabama,GHCND:US1ALAT0014,2015-01-01T00:00:00,2015,01,95.8,"1,,,N"
Alabama,GHCND:US1ALBB0006,2015-01-01T00:00:00,2015,01,121.2,",a,,N"
Alabama,GHCND:US1ALBL0003,2015-01-01T00:00:00,2015,01,120.0,"1,,,N"
Alabama,GHCND:US1ALBL0005,2015-01-01T00:00:00,2015,01,123.8,",,,N"
Alabama,GHCND:US1ALBL0006,2015-01-01T00:00:00,2015,01,101.8,",,,N"
Alabama,GHCND:US1ALBL0007,2015-01-01T00:00:00,2015,01,131.8,"1,,,N"
Alabama,GHCND:US1ALBL0009,2015-01-01T00:00:00,2015,01,110.2,"2,,,N"
Alabama,GHCND:US1ALBL0013,2015-01-01T00:00:00,2015,01,105.4,",,,N"
Alabama,GHCND:US1ALBL0020,2015-01-01T00:00:00,2015,01,97.5,",,,N"
Alabama,GHCND:US1ALBL0021,2015-01-01T00:00:00,2015,01,37.1,"4,a,,N"
Alabama,GHCND:US1ALBW0001,2015-01-01T00:00:00,2015,01,104.3,",,,N"
Alabama,GHCND:US1ALBW0003,2015-01-01T00:00:00,2015,01,105.9,",,,N"
Alabama,GHCND:US1ALBW0004,2015-01-01T00:00:00,2015,01,102.1,",a,,N"
Alabama,GHCND:US1ALBW0008,2015-01-01T00:00:00,2015,01,123.0,",,,N"
Alabama,GHCND:US1ALBW0009,2015-01-01T00:00:00,2015,01,121.5,"2,,,N"
Alabama,GHCND:US1ALBW0013,2015-01-01T00:00:00,2015,01,112.3,",,,N"
Alabama,GHCND:US1ALBW0026,2015-01-01T00:00:00,2015,01,104.4,"3,,,N"
Alabama,GHCND:US1ALBW0027,2015-01-01T00:00:00,2015,01,108.2,",,,N"
Alabama,GHCND:US1ALBW0031,2015-01-01T00:00:00,2015,01,115.0,"3,,,N"
Alabama,GHCND:US1ALBW0045,2015-01-01T00:00:00,2015,01,112.5,"3,,,N"
Alabama,GHCND:US1ALBW0053,2015-01-01T00:00:00,2015,01,136.2,"2,,,N"
Alabama,GHCND:US1ALBW0058,2015-01-01T00:00:00,2015,01,102.6,",a,,N"
Alabama,GHCND:US1ALBW0059,2015-01-01T00:00:00,2015,01,142.3,"3,,,N"
Alabama,GHCND:US1ALBW0060,2015-01-01T00:00:00,2015,01,98.3,"4,,,N"
Alabama,GHCND:US1ALBW0065,2015-01-01T00:00:00,2015,01,111.3,",,,N"
Alabama,GHCND:US1ALBW0066,2015-01-01T00:00:00,2015,01,115.3,"1,,,N"
Alabama,GHCND:US1ALBW0071,2015-01-01T00:00:00,2015,01,99.7,",,,N"
Alabama,GHCND:US1ALCE0001,2015-01-01T00:00:00,2015,01,103.9,"2,a,,N"
Alabama,GHCND:US1ALCF0004,2015-01-01T00:00:00,2015,01,74.6,",a,,N"
Alabama,GHCND:US1ALCK0003,2015-01-01T00:00:00,2015,01,123.9,",,,N"
Alabama,GHCND:US1ALCK0004,2015-01-01T00:00:00,2015,01,114.1,"2,,,N"
Alabama,GHCND:US1ALCK0005,2015-01-01T00:00:00,2015,01,114.0,",,,N"
Alabama,GHCND:US1ALCM0003,2015-01-01T00:00:00,2015,01,94.5,",a,,N"
Alabama,GHCND:US1ALCM0004,2015-01-01T00:00:00,2015,01,90.2,",,,N"
Alabama,GHCND:US1ALCM0006,2015-01-01T00:00:00,2015,01,111.2,",,,N"
Alabama,GHCND:US1ALCM0016,2015-01-01T00:00:00,2015,01,120.7,"3,,,N"
Alabama,GHCND:US1ALCN0009,2015-01-01T00:00:00,2015,01,136.9,",,,N"
Alabama,GHCND:US1ALCS0003,2015-01-01T00:00:00,2015,01,113.5,"3,,,N"
Alabama,GHCND:US1ALCS0008,2015-01-01T00:00:00,2015,01,107.7,",,,N"
Alabama,GHCND:US1ALCT0001,2015-01-01T00:00:00,2015,01,128.0,",,,N"
Alabama,GHCND:US1ALCT0004,2015-01-01T00:00:00,2015,01,115.3,",,,N"
Alabama,GHCND:US1ALCT0005,2015-01-01T00:00:00,2015,01,110.8,",,,N"
Alabama,GHCND:US1ALCT0010,2015-01-01T00:00:00,2015,01,91.2,",,,N"
Alabama,GHCND:US1ALCT0012,2015-01-01T00:00:00,2015,01,86.3,"2,,,N"
Alabama,GHCND:US1ALCT0014,2015-01-01T00:00:00,2015,01,115.0,",,,N"
Alabama,GHCND:US1ALCT0019,2015-01-01T00:00:00,2015,01,117.4,"4,,,N"
Alabama,GHCND:US1ALDK0008,2015-01-01T00:00:00,2015,01,109.4,",a,,N"
