State,Station_ID,Date,Year,Month,Precipitation_mm,Attributes
Arizona,GHCND:US1AZAP0002,2015-01-01T00:00:00,2015,01,61.8,",,,N"
Arizona,GHCND:US1AZCH0008,2015-01-01T00:00:00,2015,01,60.4,",,,N"
Arizona,GHCND:US1AZCH0012,2015-01-01T00:00:00,2015,01,37.2,",,,N"
Arizona,GHCND:US1AZCH0015,2015-01-01T00:00:00,2015,01,62.1,"1,,,N"
Arizona,GHCND:US1AZCH0017,2015-01-01T00:00:00,2015,01,49.5,",,,N"
Arizona,GHCND:US1AZCH0022,2015-01-01T00:00:00,2015,01,70.1,",,,N"
Arizona,GHCND:US1AZCH0027,2015-01-01T00:00:00,2015,01,75.7,"1,,,N"
Arizona,GHCND:US1AZCH0039,2015-01-01T00:00:00,2015,01,59.0,"1,,,N"
Arizona,GHCND:US1AZCH0050,2015-01-01T00:00:00,2015,01,35.3,",,,N"
Arizona,GHCND:US1AZCH0052,2015-01-01T00:00:00,2015,01,58.7,",,,N"
Arizona,GHCND:US1AZCH0057,2015-01-01T00:00:00,2015,01,48.4,"1,,,N"
Arizona,GHCND:US1AZCN0002,2015-01-01T00:00:00,2015,01,84.4,",,,N"
Arizona,GHCND:US1AZCN0003,2015-01-01T00:00:00,2015,01,88.9,"4,,,N"
Arizona,GHCND:US1AZCN0014,2015-01-01T00:00:00,2015,01,53.9,",,,N"
Arizona,GHCND:US1AZCN0019,2015-01-01T00:00:00,2015,01,42.5,"3,,,N"
Arizona,GHCND:US1AZCN0020,2015-01-01T00:00:00,2015,01,87.5,",,,N"
Arizona,GHCND:US1AZCN0021,2015-01-01T00:00:00,2015,01,52.4,",,,N"
Arizona,GHCND:US1AZCN0022,2015-01-01T00:00:00,2015,01,52.3,",,,N"
Arizona,GHCND:US1AZGH0002,2015-01-01T00:00:00,2015,01,29.4,",,,N"
Arizona,GHCND:US1AZGL0001,2015-01-01T00:00:00,2015,01,87.2,",,,N"
Arizona,GHCND:US1AZGL0003,2015-01-01T00:00:00,2015,01,109.6,"3,,,N"
Arizona,GHCND:US1AZMH0001,2015-01-01T00:00:00,2015,01,17.7,",,,N"
Arizona,GHCND:US1AZMH0004,2015-01-01T00:00:00,2015,01,27.6,"1,,,N"
Arizona,GHCND:US1AZMH0006,2015-01-01T00:00:00,2015,01,25.4,",,,N"
Arizona,GHCND:US1AZMH0013,2015-01-01T00:00:00,2015,01,16.3,"3,,,N"
Arizona,GHCND:US1AZMH0022,2015-01-01T00:00:00,2015,01,36.5,",,,N"
Arizona,GHCND:US1AZMR0006,2015-01-01T00:00:00,2015,01,12.7,"4,,,N"
Arizona,GHCND:US1AZMR0010,2015-01-01T00:00:00,2015,01,47.5,",,,N"
Arizona,GHCND:US1AZMR0016,2015-01-01T00:00:00,2015,01,54.4,",,,N"
Arizona,GHCND:US1AZMR0017,2015-01-01T00:00:00,2015,01,44.3,",,,N"
Arizona,GHCND:US1AZMR0024,2015-01-01T00:00:00,2015,01,29.1,"1,,,N"
Arizona,GHCND:US1AZMR0025,2015-01-01T00:00:00,2015,01,20.4,",,,N"
Arizona,GHCND:US1AZMR0026,2015-01-01T00:00:00,2015,01,28.8,",,,N"
Arizona,GHCND:US1AZMR0031,2015-01-01T00:00:00,2015,01,36.7,"1,,,N"
Arizona,GHCND:US1AZMR0032,2015-01-01T00:00:00,2015,01,20.1,",,,N"
Arizona,GHCND:US1AZMR0034,2015-01-01T00:00:00,2015,01,23.5,",,,N"
Arizona,GHCND:US1AZMR0035,2015-01-01T00:00:00,2015,01,19.4,",,,N"
Arizona,GHCND:US1AZMR0039,2015-01-01T00:00:00,2015,01,30.9,"1,,,N"
Arizona,GHCND:US1AZMR0041,2015-01-01T00:00:00,2015,01,25.1,",,,N"
Arizona,GHCND:US1AZMR0045,2015-01-01T00:00:00,2015,01,43.3,"1,,,N"
Arizona,GHCND:US1AZMR0046,2015-01-01T00:00:00,2015,01,18.8,",,,N"
Arizona,GHCND:US1AZMR0048,2015-01-01T00:00:00,2015,01,28.2,",,,N"
Arizona,GHCND:US1AZMR0057,2015-01-01T00:00:00,2015,01,26.2,"2,a,,N"
