State,Station_ID,Date,Year,Month,Precipitation_mm,Attributes
Colorado,GHCND:US1COAD0022,2015-01-01T00:00:00,2015,01,8.7,",,,N"
Colorado,GHCND:US1COAD0051,2015-01-01T00:00:00,2015,01,4.4,",,,N"
Colorado,GHCND:US1COAD0076,2015-01-01T00:00:00,2015,01,3.0,",,,N"
Colorado,GHCND:US1COAD0082,2015-01-01T00:00:00,2015,01,5.1,",,,N"
Colorado,GHCND:US1COAD0087,2015-01-01T00:00:00,2015,01,0.0,",,,N"
Colorado,GHCND:US1COAD0094,2015-01-01T00:00:00,2015,01,7.9,",,,N"
Colorado,GHCND:US1COAD0098,2015-01-01T00:00:00,2015,01,7.1,",,,N"
Colorado,GHCND:US1COAD0100,2015-01-01T00:00:00,2015,01,5.7,",,,N"
Colorado,GHCND:US1COAD0119,2015-01-01T00:00:00,2015,01,6.6,"5,,,N"
Colorado,GHCND:US1COAD0120,2015-01-01T00:00:00,2015,01,4.1,",,,N"
Colorado,GHCND:US1COAD0123,2015-01-01T00:00:00,2015,01,3.4,",,,N"
Colorado,GHCND:US1COAD0127,2015-01-01T00:00:00,2015,01,9.0,",,,N"
Colorado,GHCND:US1COAD0145,2015-01-01T00:00:00,2015,01,8.1,",,,N"
Colorado,GHCND:US1COAD0149,2015-01-01T00:00:00,2015,01,3.6,",,,N"
Colorado,GHCND:US1COAD0153,2015-01-01T00:00:00,2015,01,3.9,"1,,,N"
Colorado,GHCND:US1COAD0154,2015-01-01T00:00:00,2015,01,8.6,"4,,,N"
Colorado,GHCND:US1COAD0162,2015-01-01T00:00:00,2015,01,4.3,",,,N"
Colorado,GHCND:US1COAD0179,2015-01-01T00:00:00,2015,01,6.7,"1,,,N"
Colorado,GHCND:US1COAD0183,2015-01-01T00:00:00,2015,01,4.1,",,,N"
Colorado,GHCND:US1COAD0204,2015-01-01T00:00:00,2015,01,4.1,",,,N"
Colorado,GHCND:US1COAM0001,2015-01-01T00:00:00,2015,01,5.2,",,,N"
Colorado,GHCND:US1COAM0010,2015-01-01T00:00:00,2015,01,12.3,",,,N"
Colorado,GHCND:US1COAM0021,2015-01-01T00:00:00,2015,01,10.2,",,,N"
Colorado,GHCND:US1COAM0029,2015-01-01T00:00:00,2015,01,16.7,"1,a,,N"
Colorado,GHCND:US1COAM0031,2015-01-01T00:00:00,2015,01,5.7,"1,,,N"
Colorado,GHCND:US1COAM0032,2015-01-01T00:00:00,2015,01,16.3,",,,N"
Colorado,GHCND:US1COAM0033,2015-01-01T00:00:00,2015,01,15.0,",a,,N"
Colorado,GHCND:US1COAR0043,2015-01-01T00:00:00,2015,01,8.8,",,,N"
Colorado,GHCND:US1COAR0072,2015-01-01T00:00:00,2015,01,8.2,",,,N"
Colorado,GHCND:US1COAR0085,2015-01-01T00:00:00,2015,01,13.0,",,,N"
Colorado,GHCND:US1COAR0099,2015-01-01T00:00:00,2015,01,12.3,"2,,,N"
Colorado,GHCND:US1COAR0105,2015-01-01T00:00:00,2015,01,13.0,",,,N"
Colorado,GHCND:US1COAR0137,2015-01-01T00:00:00,2015,01,9.3,",,,N"
Colorado,GHCND:US1COAR0164,2015-01-01T00:00:00,2015,01,9.7,"1,,,N"
Colorado,GHCND:US1COAR0179,2015-01-01T00:00:00,2015,01,15.6,",,,N"
Colorado,GHCND:US1COAR0186,2015-01-01T00:00:00,2015,01,10.9,",,,N"
Colorado,GHCND:US1COAR0207,2015-01-01T00:00:00,2015,01,19.9,",,,N"
Colorado,GHCND:US1COAR0211,2015-01-01T00:00:00,2015,01,8.1,"2,,,N"
Colorado,GHCND:US1COAR0214,2015-01-01T00:00:00,2015,01,12.2,",,,N"
Colorado,GHCND:US1COAR0225,2015-01-01T00:00:00,2015,01,14.6,"3,,,N"
Colorado,GHCND:US1COAR0240,2015-01-01T00:00:00,2015,01,7.5,",,,N"
Colorado,GHCND:US1COAR0249,2015-01-01T00:00:00,2015,01,14.6,"1,,,N"
Colorado,GHCND:US1COAR0259,2015-01-01T00:00:00,2015,01,11.0,"3,a,,N"
Colorado,GHCND:US1COAR0260,2015-01-01T00:00:00,2015,01,5.4,"3,,,N"
Colorado,GHCND:US1COAR0270,2015-01-01T00:00:00,2015,01,10.5,",,,N"
Colorado,GHCND:US1COAR0273,2015-01-01T00:00:00,2015,01,15.6,",,,N"
