State,Station_ID,Date,Year,Month,Precipitation_mm,Attributes
West Virginia,GHCND:US1WVBB0001,2015-01-01T00:00:00,2015,01,59.7,"5,a,,N"
West Virginia,GHCND:US1WVBN0002,2015-01-01T00:00:00,2015,01,53.9,",,,N"
West Virginia,GHCND:US1WVBY0002,2015-01-01T00:00:00,2015,01,59.6,",,,N"
West Virginia,GHCND:US1WVBY0006,2015-01-01T00:00:00,2015,01,53.9,",,,N"
West Virginia,GHCND:US1WVCB0002,2015-01-01T00:00:00,2015,01,57.0,",,,N"
West Virginia,GHCND:US1WVCB0011,2015-01-01T00:00:00,2015,01,50.0,",a,,N"
West Virginia,GHCND:US1WVDD0001,2015-01-01T00:00:00,2015,01,65.6,",,,N"
West Virginia,GHCND:US1WVDD0002,2015-01-01T00:00:00,2015,01,70.5,",,,N"
West Virginia,GHCND:US1WVDD0004,2015-01-01T00:00:00,2015,01,58.6,"1,,,N"
West Virginia,GHCND:US1WVGB0002,2015-01-01T00:00:00,2015,01,49.4,",,,N"
West Virginia,GHCND:US1WVGL0003,2015-01-01T00:00:00,2015,01,62.2,"1,,,N"
West Virginia,GHCND:US1WVHM0002,2015-01-01T00:00:00,2015,01,45.4,"2,,,N"
West Virginia,GHCND:US1WVHS0006,2015-01-01T00:00:00,2015,01,57.3,"1,,,N"
West Virginia,GHCND:US1WVHY0002,2015-01-01T00:00:00,2015,01,49.8,",,,N"
West Virginia,GHCND:US1WVJC0003,2015-01-01T00:00:00,2015,01,50.5,",,,N"
West Virginia,GHCND:US1WVJF0003,2015-01-01T00:00:00,2015,01,70.4,",,,N"
West Virginia,GHCND:US1WVJF0006,2015-01-01T00:00:00,2015,01,67.9,"2,,,N"
West Virginia,GHCND:US1WVJF0007,2015-01-01T00:00:00,2015,01,60.3,"4,,,N"
West Virginia,GHCND:US1WVKN0001,2015-01-01T00:00:00,2015,01,58.6,",,,N"
West Virginia,GHCND:US1WVKN0009,2015-01-01T00:00:00,2015,01,51.8,",,,N"
West Virginia,GHCND:US1WVKN0018,2015-01-01T00:00:00,2015,01,52.3,",,,N"
West Virginia,GHCND:US1WVKN0021,2015-01-01T00:00:00,2015,01,65.3,"3,,,N"
West Virginia,GHCND:US1WVLN0003,2015-01-01T00:00:00,2015,01,45.3,"2,,,N"
West Virginia,GHCND:US1WVLW0004,2015-01-01T00:00:00,2015,01,82.5,",,,N"
West Virginia,GHCND:US1WVMA0007,2015-01-01T00:00:00,2015,01,81.2,",,,N"
West Virginia,GHCND:US1WVNC0004,2015-01-01T00:00:00,2015,01,74.0,",,,N"
West Virginia,GHCND:US1WVRL0006,2015-01-01T00:00:00,2015,01,65.1,",,,N"
West Virginia,GHCND:US1WVTY0003,2015-01-01T00:00:00,2015,01,64.0,",,,N"
West Virginia,GHCND:US1WVWT0001,2015-01-01T00:00:00,2015,01,65.5,",,,N"
West Virginia,GHCND:USC00189570,2015-01-01T00:00:00,2015,01,51.4,"3,,,7"
West Virginia,GHCND:USC00337857,2015-01-01T00:00:00,2015,01,50.9,",,,7"
West Virginia,GHCND:USC00460102,2015-01-01T00:00:00,2015,01,55.0,",,,7"
West Virginia,GHCND:USC00460202,2015-01-01T00:00:00,2015,01,36.3,"2,,,7"
West Virginia,GHCND:USC00460509,2015-01-01T00:00:00,2015,01,71.3,",,,7"
West Virginia,GHCND:USC00460527,2015-01-01T00:00:00,2015,01,80.1,",,,7"
West Virginia,GHCND:USC00460580,2015-01-01T00:00:00,2015,01,62.4,",,,7"
West Virginia,GHCND:USC00460925,2015-01-01T00:00:00,2015,01,45.0,",,,7"
West Virginia,GHCND:USC00460939,2015-01-01T00:00:00,2015,01,83.0,",,,7"
West Virginia,GHCND:USC00461215,2015-01-01T00:00:00,2015,01,73.9,",,,7"
West Virginia,GHCND:USC00461220,2015-01-01T00:00:00,2015,01,55.9,",,,7"
West Virginia,GHCND:USC00461282,2015-01-01T00:00:00,2015,01,61.6,",,,7"
West Virginia,GHCND:USC00461290,2015-01-01T00:00:00,2015,01,66.9,"3,,,7"
West Virginia,GHCND:USC00461324,2015-01-01T00:00:00,2015,01,92.7,",,,7"
West Virginia,GHCND:USC00461397,2015-01-01T00:00:00,2015,01,89.0,",,,7"
West Virginia,GHCND:USC00461579,2015-01-01T00:00:00,2015,01,55.1,",,,7"
West Virginia,GHCND:USC00461677,2015-01-01T00:00:00,2015,01,59.0,"3,,,7"
West Virginia,GHCND:USC00462211,2015-01-01T00:00:00,2015,01,117.1,",,,7"
West Virginia,GHCND:USC00462522,2015-01-01T00:00:00,2015,01,67.5,"1,,,7"
West Virginia,GHCND:USC00462717,2015-01-01T00:00:00,2015,01,81.6,",,,7"
West Virginia,GHCND:USC00462920,2015-01-01T00:00:00,2015,01,68.3,"1,,,7"
West Virginia,GHCND:USC00463251,2015-01-01T00:00:00,2015,01,85.2,",,,7"
West Virginia,GHCND:USC00463361,2015-01-01T00:00:00,2015,01,42.4,"3,,,7"
West Virginia,GHCND:USC00463544,2015-01-01T00:00:00,2015,01,52.4,"2,,,7"
West Virginia,GHCND:USC00463648,2015-01-01T00:00:00,2015,01,54.6,",,,7"
West Virginia,GHCND:USC00463798,2015-01-01T00:00:00,2015,01,82.9,",,,7"
West Virginia,GHCND:USC00463940,2015-01-01T00:00:00,2015,01,57.7,"2,,,7"
West Virginia,GHCND:USC00464200,2015-01-01T00:00:00,2015,01,44.2,"4,,,7"
West Virginia,GHCND:USC00464397,2015-01-01T00:00:00,2015,01,57.2,",,,7"
West Virginia,GHCND:USC00464840,2015-01-01T00:00:00,2015,01,41.9,",,,7"
West Virginia,GHCND:USC00465224,2015-01-01T00:00:00,2015,01,61.1,",,,7"
West Virginia,GHCND:USC00465353,2015-01-01T00:00:00,2015,01,34.7,",,,7"
West Virginia,GHCND:USC00465365,2015-01-01T00:00:00,2015,01,43.9,",,,7"
West Virginia,GHCND:USC00465563,2015-01-01T00:00:00,2015,01,65.6,",,,7"
West Virginia,GHCND:USC00465600,2015-01-01T00:00:00,2015,01,44.2,",,,7"
West Virginia,GHCND:USC00465626,2015-01-01T00:00:00,2015,01,77.4,"5,,,7"
West Virginia,GHCND:USC00465706,2015-01-01T00:00:00,2015,01,62.4,",,,7"
West Virginia,GHCND:USC00465875,2015-01-01T00:00:00,2015,01,64.5,",,,7"
West Virginia,GHCND:USC00465963,2015-01-01T00:00:00,2015,01,64.0,",,,7"
West Virginia,GHCND:USC00466163,2015-01-01T00:00:00,2015,01,47.5,"2,a,,7"
West Virginia,GHCND:USC00466248,2015-01-01T00:00:00,2015,01,76.1,",,,7"
West Virginia,GHCND:USC00466284,2015-01-01T00:00:00,2015,01,60.5,",,,7"
West Virginia,GHCND:USC00466325,2015-01-01T00:00:00,2015,01,57.2,",,,7"
West Virginia,GHCND:USC00466442,2015-01-01T00:00:00,2015,01,64.8,"1,,,7"
West Virginia,GHCND:USC00466600,2015-01-01T00:00:00,2015,01,51.4,",,,7"
West Virginia,GHCND:USC00466867,2015-01-01T00:00:00,2015,01,83.9,",,,7"
West Virginia,GHCND:USC00466912,2015-01-01T00:00:00,2015,01,56.4,",,,7"
West Virginia,GHCND:USC00466952,2015-01-01T00:00:00,2015,01,50.1,",,,7"
West Virginia,GHCND:USC00467018,2015-01-01T00:00:00,2015,01,57.6,",,,7"
West Virginia,GHCND:USC00467207,2015-01-01T00:00:00,2015,01,48.7,",,,7"
West Virginia,GHCND:USC00467287,2015-01-01T00:00:00,2015,01,49.4,",,,7"
West Virginia,GHCND:USC00467372,2015-01-01T00:00:00,2015,01,44.3,"2,,,7"
West Virginia,GHCND:USC00467552,2015-01-01T00:00:00,2015,01,37.6,"5,,,7"
West Virginia,GHCND:USC00467649,2015-01-01T00:00:00,2015,01,86.9,",,,7"
West Virginia,GHCND:USC00467730,2015-01-01T00:00:00,2015,01,57.4,",,,7"
West Virginia,GHCND:USC00467743,2015-01-01T00:00:00,2015,01,58.5,"1,,,7"
West Virginia,GHCND:USC00467785,2015-01-01T00:00:00,2015,01,75.0,",,,7"
West Virginia,GHCND:USC00467852,2015-01-01T00:00:00,2015,01,53.0,",,,7"
West Virginia,GHCND:USC00468191,2015-01-01T00:00:00,2015,01,53.1,",,,7"
West Virginia,GHCND:USC00468308,2015-01-01T00:00:00,2015,01,105.4,",,,7"
West Virginia,GHCND:USC00468384,2015-01-01T00:00:00,2015,01,51.5,",,,7"
West Virginia,GHCND:USC00468522,2015-01-01T00:00:00,2015,01,72.2,",,,7"
West Virginia,GHCND:USC00468614,2015-01-01T00:00:00,2015,01,48.0,",a,,7"
West Virginia,GHCND:USC00468662,2015-01-01T00:00:00,2015,01,50.3,"4,,,7"
West Virginia,GHCND:USC00468777,2015-01-01T00:00:00,2015,01,81.6,",,,7"
West Virginia,GHCND:USC00468986,2015-01-01T00:00:00,2015,01,60.4,"1,,,7"
West Virginia,GHCND:USC00469281,2015-01-01T00:00:00,2015,01,42.2,",,,7"
West Virginia,GHCND:USC00469458,2015-01-01T00:00:00,2015,01,62.6,",,,7"
West Virginia,GHCND:USC00469482,2015-01-01T00:00:00,2015,01,125.8,",,,7"
West Virginia,GHCND:USC00469522,2015-01-01T00:00:00,2015,01,55.7,",,,7"
West Virginia,GHCND:USC00469610,2015-01-01T00:00:00,2015,01,59.6,"2,,,7"
West Virginia,GHCND:USC00469683,2015-01-01T00:00:00,2015,01,34.3,",,,7"
West Virginia,GHCND:USW00003733,2015-01-01T00:00:00,2015,01,99.4,",,,R"
West Virginia,GHCND:USW00003802,2015-01-01T00:00:00,2015,01,62.3,",,,W"
West Virginia,GHCND:USW00003804,2015-01-01T00:00:00,2015,01,56.6,",,,W"
West Virginia,GHCND:USW00003859,2015-01-01T00:00:00,2015,01,37.7,",,,W"
West Virginia,GHCND:USW00003860,2015-01-01T00:00:00,2015,01,55.2,",,,W"
West Virginia,GHCND:USW00003872,2015-01-01T00:00:00,2015,01,56.7,",,,W"
West Virginia,GHCND:USW00013729,2015-01-01T00:00:00,2015,01,77.0,",,,W"
West Virginia,GHCND:USW00013734,2015-01-01T00:00:00,2015,01,57.4,",,,W"
West Virginia,GHCND:USW00013736,2015-01-01T00:00:00,2015,01,65.0,",,,W"
West Virginia,GHCND:USW00013866,2015-01-01T00:00:00,2015,01,56.9,",,,W"
West Virginia,GHCND:USW00013867,2015-01-01T00:00:00,2015,01,60.7,",,,7"
West Virginia,GHCND:USW00014894,2015-01-01T00:00:00,2015,01,51.5,",,,W"
West Virginia,GHCND:US1WVBN0002,2015-02-01T00:00:00,2015,02,94.9,"1,,,N"
West Virginia,GHCND:US1WVBY0002,2015-02-01T00:00:00,2015,02,26.3,",,,N"
West Virginia,GHCND:US1WVBY0006,2015-02-01T00:00:00,2015,02,26.1,",,,N"
West Virginia,GHCND:US1WVCB0002,2015-02-01T00:00:00,2015,02,75.5,",,,N"
West Virginia,GHCND:US1WVCB0011,2015-02-01T00:00:00,2015,02,64.0,",,,N"
West Virginia,GHCND:US1WVDD0001,2015-02-01T00:00:00,2015,02,56.3,",,,N"
West Virginia,GHCND:US1WVDD0002,2015-02-01T00:00:00,2015,02,62.6,",,,N"
West Virginia,GHCND:US1WVDD0004,2015-02-01T00:00:00,2015,02,59.0,"2,,,N"
West Virginia,GHCND:US1WVGB0002,2015-02-01T00:00:00,2015,02,69.3,",,,N"
West Virginia,GHCND:US1WVGL0003,2015-02-01T00:00:00,2015,02,61.6,"3,,,N"
West Virginia,GHCND:US1WVHM0002,2015-02-01T00:00:00,2015,02,17.9,"1,,,N"
West Virginia,GHCND:US1WVHM0004,2015-02-01T00:00:00,2015,02,18.8,",,,N"
West Virginia,GHCND:US1WVHS0006,2015-02-01T00:00:00,2015,02,66.1,",,,N"
West Virginia,GHCND:US1WVHY0002,2015-02-01T00:00:00,2015,02,28.0,",,,N"
West Virginia,GHCND:US1WVJC0003,2015-02-01T00:00:00,2015,02,56.7,",,,N"
West Virginia,GHCND:US1WVJF0003,2015-02-01T00:00:00,2015,02,38.7,",,,N"
West Virginia,GHCND:US1WVJF0006,2015-02-01T00:00:00,2015,02,34.5,",,,N"
West Virginia,GHCND:US1WVKN0001,2015-02-01T00:00:00,2015,02,76.0,",a,,N"
West Virginia,GHCND:US1WVKN0009,2015-02-01T00:00:00,2015,02,80.5,",,,N"
West Virginia,GHCND:US1WVKN0018,2015-02-01T00:00:00,2015,02,77.7,",,,N"
West Virginia,GHCND:US1WVKN0021,2015-02-01T00:00:00,2015,02,40.1,"5,,,N"
West Virginia,GHCND:US1WVLW0004,2015-02-01T00:00:00,2015,02,77.9,"1,,,N"
West Virginia,GHCND:US1WVMA0007,2015-02-01T00:00:00,2015,02,54.1,",,,N"
West Virginia,GHCND:US1WVMG0005,2015-02-01T00:00:00,2015,02,36.8,"2,a,,N"
West Virginia,GHCND:US1WVNC0004,2015-02-01T00:00:00,2015,02,92.0,",,,N"
West Virginia,GHCND:US1WVRL0006,2015-02-01T00:00:00,2015,02,92.4,",,,N"
West Virginia,GHCND:US1WVTY0003,2015-02-01T00:00:00,2015,02,51.6,",,,N"
West Virginia,GHCND:US1WVWD0007,2015-02-01T00:00:00,2015,02,49.8,"1,,,N"
West Virginia,GHCND:US1WVWT0001,2015-02-01T00:00:00,2015,02,67.9,",,,N"
West Virginia,GHCND:USC00337857,2015-02-01T00:00:00,2015,02,23.7,",,,7"
West Virginia,GHCND:USC00460102,2015-02-01T00:00:00,2015,02,66.6,",,,7"
West Virginia,GHCND:USC00460509,2015-02-01T00:00:00,2015,02,84.1,",,,7"
West Virginia,GHCND:USC00460527,2015-02-01T00:00:00,2015,02,70.2,",,,7"
West Virginia,GHCND:USC00460580,2015-02-01T00:00:00,2015,02,102.3,",,,7"
West Virginia,GHCND:USC00460925,2015-02-01T00:00:00,2015,02,118.3,",,,7"
West Virginia,GHCND:USC00460939,2015-02-01T00:00:00,2015,02,99.4,",,,7"
West Virginia,GHCND:USC00461215,2015-02-01T00:00:00,2015,02,97.8,",,,7"
West Virginia,GHCND:USC00461220,2015-02-01T00:00:00,2015,02,58.2,",,,7"
West Virginia,GHCND:USC00461282,2015-02-01T00:00:00,2015,02,61.3,",,,7"
West Virginia,GHCND:USC00461290,2015-02-01T00:00:00,2015,02,42.2,",,,7"
West Virginia,GHCND:USC00461324,2015-02-01T00:00:00,2015,02,6.6,"1,,,7"
West Virginia,GHCND:USC00461397,2015-02-01T00:00:00,2015,02,90.3,",,,7"
West Virginia,GHCND:USC00461579,2015-02-01T00:00:00,2015,02,76.0,",,,7"
West Virginia,GHCND:USC00461677,2015-02-01T00:00:00,2015,02,57.9,",,,7"
West Virginia,GHCND:USC00462211,2015-02-01T00:00:00,2015,02,101.4,",,,7"
West Virginia,GHCND:USC00462522,2015-02-01T00:00:00,2015,02,116.0,",,,7"
West Virginia,GHCND:USC00462717,2015-02-01T00:00:00,2015,02,80.9,",,,7"
West Virginia,GHCND:USC00462920,2015-02-01T00:00:00,2015,02,44.4,",,,7"
West Virginia,GHCND:USC00463251,2015-02-01T00:00:00,2015,02,102.9,",,,7"
West Virginia,GHCND:USC00463361,2015-02-01T00:00:00,2015,02,34.7,"1,,,7"
West Virginia,GHCND:USC00463544,2015-02-01T00:00:00,2015,02,61.4,"1,,,7"
West Virginia,GHCND:USC00463648,2015-02-01T00:00:00,2015,02,74.1,",,,7"
West Virginia,GHCND:USC00463798,2015-02-01T00:00:00,2015,02,92.3,",,,7"
West Virginia,GHCND:USC00463940,2015-02-01T00:00:00,2015,02,63.5,"2,,,7"
West Virginia,GHCND:USC00464200,2015-02-01T00:00:00,2015,02,54.6,",,,7"
West Virginia,GHCND:USC00464397,2015-02-01T00:00:00,2015,02,53.7,"1,,,7"
West Virginia,GHCND:USC00464840,2015-02-01T00:00:00,2015,02,22.5,",,,7"
West Virginia,GHCND:USC00465224,2015-02-01T00:00:00,2015,02,81.7,",,,7"
West Virginia,GHCND:USC00465353,2015-02-01T00:00:00,2015,02,110.1,",,,7"
West Virginia,GHCND:USC00465365,2015-02-01T00:00:00,2015,02,69.9,",,,7"
West Virginia,GHCND:USC00465563,2015-02-01T00:00:00,2015,02,93.6,",,,7"
West Virginia,GHCND:USC00465600,2015-02-01T00:00:00,2015,02,93.5,",,,7"
West Virginia,GHCND:USC00465706,2015-02-01T00:00:00,2015,02,14.0,",,,7"
West Virginia,GHCND:USC00465875,2015-02-01T00:00:00,2015,02,86.3,",,,7"
West Virginia,GHCND:USC00465963,2015-02-01T00:00:00,2015,02,51.9,",,,7"
West Virginia,GHCND:USC00466163,2015-02-01T00:00:00,2015,02,23.4,"3,a,,7"
West Virginia,GHCND:USC00466248,2015-02-01T00:00:00,2015,02,67.3,",,,7"
West Virginia,GHCND:USC00466284,2015-02-01T00:00:00,2015,02,87.2,",,,7"
West Virginia,GHCND:USC00466325,2015-02-01T00:00:00,2015,02,75.4,",,,7"
West Virginia,GHCND:USC00466442,2015-02-01T00:00:00,2015,02,21.0,"4,,,7"
West Virginia,GHCND:USC00466600,2015-02-01T00:00:00,2015,02,133.6,",,,7"
West Virginia,GHCND:USC00466867,2015-02-01T00:00:00,2015,02,84.2,",,,7"
West Virginia,GHCND:USC00466912,2015-02-01T00:00:00,2015,02,64.6,",,,7"
West Virginia,GHCND:USC00466952,2015-02-01T00:00:00,2015,02,27.0,",,,7"
West Virginia,GHCND:USC00467018,2015-02-01T00:00:00,2015,02,31.7,"1,,,7"
West Virginia,GHCND:USC00467207,2015-02-01T00:00:00,2015,02,86.8,",,,7"
West Virginia,GHCND:USC00467287,2015-02-01T00:00:00,2015,02,24.9,",,,7"
West Virginia,GHCND:USC00467372,2015-02-01T00:00:00,2015,02,106.6,"2,,,7"
West Virginia,GHCND:USC00467552,2015-02-01T00:00:00,2015,02,62.5,"2,,,7"
West Virginia,GHCND:USC00467649,2015-02-01T00:00:00,2015,02,88.2,"1,,,7"
West Virginia,GHCND:USC00467730,2015-02-01T00:00:00,2015,02,19.4,",,,7"
West Virginia,GHCND:USC00467743,2015-02-01T00:00:00,2015,02,70.1,",,,7"
West Virginia,GHCND:USC00467785,2015-02-01T00:00:00,2015,02,27.5,",,,7"
West Virginia,GHCND:USC00467852,2015-02-01T00:00:00,2015,02,72.2,",a,,7"
West Virginia,GHCND:USC00467918,2015-02-01T00:00:00,2015,02,65.1,",,,7"
West Virginia,GHCND:USC00468191,2015-02-01T00:00:00,2015,02,72.3,",,,7"
West Virginia,GHCND:USC00468308,2015-02-01T00:00:00,2015,02,167.8,",,,7"
West Virginia,GHCND:USC00468384,2015-02-01T00:00:00,2015,02,63.0,",,,7"
West Virginia,GHCND:USC00468522,2015-02-01T00:00:00,2015,02,63.5,",,,7"
West Virginia,GHCND:USC00468614,2015-02-01T00:00:00,2015,02,96.2,"1,,,7"
West Virginia,GHCND:USC00468662,2015-02-01T00:00:00,2015,02,81.1,"3,,,7"
West Virginia,GHCND:USC00468777,2015-02-01T00:00:00,2015,02,73.2,",,,7"
West Virginia,GHCND:USC00468986,2015-02-01T00:00:00,2015,02,53.6,",,,7"
West Virginia,GHCND:USC00469281,2015-02-01T00:00:00,2015,02,21.5,",,,7"
West Virginia,GHCND:USC00469458,2015-02-01T00:00:00,2015,02,56.8,",,,7"
West Virginia,GHCND:USC00469482,2015-02-01T00:00:00,2015,02,99.0,",,,7"
West Virginia,GHCND:USC00469522,2015-02-01T00:00:00,2015,02,85.1,",,,7"
West Virginia,GHCND:USC00469610,2015-02-01T00:00:00,2015,02,104.6,"2,,,7"
West Virginia,GHCND:USW00003733,2015-02-01T00:00:00,2015,02,92.7,",,,R"
West Virginia,GHCND:USW00003802,2015-02-01T00:00:00,2015,02,52.1,",,,W"
