B,Category,Cu,Cycle_Year,DISTRICT,DISTRICT_L,EC,Feature_ID,K,Mn,N,OC,P,S,STATE,STATE_LGD,Scan_Lat,Scan_Lon,TEHSIL,VILLAGE,Zn,fe,pH
0.89,Sufficient,0.55,2017-19,BAGALKOT,524,0.17,29_524_shc_2017-19.299,279.56,2.06,321.0,0.56,16.245,63.0,KARNATAKA,29,15.83600000000001,75.72799999999826,BADAMI,DHANAK SIRUR,0.185,0.25,8.1
0.41,Deficient,0.84,2017-19,BAGALKOT,524,0.17,29_524_shc_2017-19.317,457.76,4.01,487.25,0.83,17.02,33.0,KARNATAKA,29,15.84000000000001,75.76399999999818,BADAMI,JALIHAL,0.3,0.69,7.6
0.4,Deficient,1.11,2017-19,BAGALKOT,524,0.15,29_524_shc_2017-19.306,355.05,3.92,263.7,0.44,22.19,35.25,KARNATAKA,29,15.844000000000012,75.74599999999822,BADAMI,BELUR,0.38,0.46,7.8
0.3,Deficient,1.28,2017-19,BAGALKOT,524,0.23,29_524_shc_2017-19.232,320.06,7.47,349.67,0.61,13.65,47.25,KARNATAKA,29,15.846000000000013,75.60999999999854,BADAMI,HEBBALLI,0.29,0.75,7.7
0.715,Sufficient,0.52,2017-19,BAGALKOT,524,0.2,29_524_shc_2017-19.257,458.1,1.59,389.795,0.68,9.144,33.0,KARNATAKA,29,15.846000000000013,75.65799999999842,BADAMI,JAKNUR,0.45,0.24,8.0
0.69,Sufficient,3.07,2017-19,BAGALKOT,524,0.09,29_524_shc_2017-19.268,164.92,4.06,435.65,0.76,40.131,36.75,KARNATAKA,29,15.846000000000013,75.67999999999837,BADAMI,KATARKI,1.01,0.68,7.5
0.5,Sufficient,0.98,2017-19,BAGALKOT,524,0.21,29_524_shc_2017-19.202,375.525,7.06,338.21,0.59,17.2,53.75,KARNATAKA,29,15.852000000000015,75.55199999999867,BADAMI,KITALI,0.3,0.59,7.8
0.53,Sufficient,1.39,2017-19,BAGALKOT,524,0.21,29_524_shc_2017-19.187,249.75,7.92,286.62,0.5,23.21,31.0,KARNATAKA,29,15.860000000000017,75.52799999999873,BADAMI,KALASA,0.3,0.73,7.8
0.8,Sufficient,0.63,2017-19,BAGALKOT,524,0.17,29_524_shc_2017-19.303,284.18,3.23,309.54,0.54,14.56,51.25,KARNATAKA,29,15.86800000000002,75.73999999999823,BADAMI,CHIK NASBI,0.21,0.33,7.9
0.34,Deficient,0.845,2017-19,BAGALKOT,524,0.14,29_524_shc_2017-19.286,266.625,6.67,389.8,0.63,24.58,51.86,KARNATAKA,29,15.87000000000002,75.7099999999983,BADAMI,CHOLACHAGUD,0.48,1.18,7.6
0.77,Sufficient,0.69,2017-19,BAGALKOT,524,0.11,29_524_shc_2017-19.213,371.36,2.7,303.81,0.53,32.1,22.5,KARNATAKA,29,15.874000000000022,75.57599999999861,BADAMI,BELVALKOP,0.18,0.35,8.5
0.95,Sufficient,1.295,2017-19,BAGALKOT,524,0.23,29_524_shc_2017-19.168,346.61,2.74,237.89,0.415,14.47,19.75,KARNATAKA,29,15.882000000000025,75.50199999999879,BADAMI,GOVINKOPPA,0.34,0.39,8.7
0.7,Sufficient,1.154,2017-19,BAGALKOT,524,0.14,29_524_shc_2017-19.205,212.18,6.81,298.08,0.52,23.2,31.0,KARNATAKA,29,15.888000000000027,75.55999999999865,BADAMI,BANKNARI,0.31,0.57,7.8
0.84,Sufficient,0.32,2017-19,BAGALKOT,524,0.17,29_524_shc_2017-19.308,194.18,4.015,120.38,0.21,14.605,67.375,KARNATAKA,29,15.890000000000027,75.74799999999821,BADAMI,NAVALHOLI,0.46,0.45,8.1
0.55,Sufficient,0.64,2017-19,BAGALKOT,524,0.135,29_524_shc_2017-19.254,356.29,4.305,229.29,0.39,29.0,19.65,KARNATAKA,29,15.894000000000029,75.65399999999843,BADAMI,YERGOP,0.3,0.915,7.66
0.7,Sufficient,0.83,2017-19,BAGALKOT,524,0.13,29_524_shc_2017-19.149,255.26,4.79,257.95,0.45,22.66,26.5,KARNATAKA,29,15.89800000000003,75.46799999999887,BADAMI,ALUR,0.3,0.59,8.3
0.69,Sufficient,0.86,2017-19,BAGALKOT,524,0.16,29_524_shc_2017-19.141,316.01,6.5,298.54,0.52,62.699,42.0,KARNATAKA,29,15.902000000000031,75.4539999999989,BADAMI,HAGNUR,0.37,0.54,8.1
0.28,Deficient,0.58,2017-19,BAGALKOT,524,0.18,29_524_shc_2017-19.234,303.8,2.84,464.1,0.39,26.4,15.23,KARNATAKA,29,15.902000000000031,75.61599999999852,BADAMI,MUTTALGERI,0.47,1.58,7.73
0.89,Sufficient,0.54,2017-19,BAGALKOT,524,0.32,29_524_shc_2017-19.176,211.5,1.52,212.1,0.37,9.373,30.5,KARNATAKA,29,15.902000000000031,75.51599999999875,BADAMI,KULGERI,0.18,0.32,8.81
0.21,Deficient,1.24,2017-19,BAGALKOT,524,0.18,29_524_shc_2017-19.217,129.1,3.25,620.9,0.25,23.39,16.48,KARNATAKA,29,15.906000000000033,75.5819999999986,BADAMI,ALADKATTI,0.46,1.61,8.07
0.8,Sufficient,0.46,2017-19,BAGALKOT,524,0.23,29_524_shc_2017-19.481,298.125,1.42,298.08,0.52,18.1,41.0,KARNATAKA,29,15.906000000000033,76.1399999999973,HUNGUND,CHIK KODAGALI,0.2,0.48,8.2
0.395,Deficient,0.895,2017-19,BAGALKOT,524,0.2,29_524_shc_2017-19.134,366.188,6.75,240.76,0.42,21.66,44.25,KARNATAKA,29,15.910000000000034,75.44399999999892,BADAMI,KARALKOP,0.345,0.65,7.8
0.94,Sufficient,0.56,2017-19,BAGALKOT,524,0.12,29_524_shc_2017-19.165,189.7,2.26,143.31,0.25,7.28,7.5,KARNATAKA,29,15.916000000000036,75.48999999999882,BADAMI,CHIRALKOP,0.2,0.63,7.68
