Khu vực,Tiểu bang,Lượng mưa trung bình,Nhiệt độ trung bình của năm,Tỷ lệ đất được tưới tiêu,Tổng lượng phân bón tiêu thụ trong năm,Loại cây ở khu vực đó,Năng suất trung bình của khu vực
Mangalore,Karnataka,2903.1,27.0,Drip,0.0,Coconut,2570.0
Mangalore,Karnataka,2996.6,27.0,Drip,0.0,Coconut,1402.0
Mangalore,Karnataka,3522.8,27.2,Drip,0.0,Coconut,1132.0
Mangalore,Karnataka,3729.8,27.0,Drip,0.0,Coconut,804.0
Mangalore,Karnataka,2746.2,27.0,Drip,0.0,Coconut,792.0
Kodagu,Karnataka,3360.0,27.2,Drip,0.0,Coconut,338.0
Kodagu,Karnataka,3605.4,27.1,Drip,0.0,Coconut,404.0
Kodagu,Karnataka,3512.4,26.8,Drip,0.0,Coconut,343.0
Kodagu,Karnataka,3296.0,37.0,Drip,0.0,Coconut,336.0
Kasaragodu,Karnataka,3550.0,38.0,Drip,0.0,Coconut,316.0
Kasaragodu,Karnataka,3654.0,39.0,Drip,0.0,Coconut,382.0
Kasaragodu,Karnataka,3105.0,42.0,Drip,0.0,Coconut,291.0
Raichur,Karnataka,2903.1,27.0,Basin,0.0,Coconut,7157.0
Raichur,Karnataka,2903.1,27.0,Basin,0.0,Coconut,8700.0
Raichur,Karnataka,2996.6,27.0,Basin,0.0,Coconut,8838.0
Raichur,Karnataka,2996.6,27.0,Basin,0.0,Coconut,8954.0
Raichur,Karnataka,3522.8,27.2,Basin,0.0,Coconut,9230.0
Raichur,Karnataka,3360.0,27.2,Basin,0.0,Coconut,114.0
Raichur,Karnataka,3360.0,27.2,Basin,0.0,Coconut,3.0
Raichur,Karnataka,3360.0,27.2,Basin,0.0,Coconut,95.0
Gulbarga,Karnataka,3605.4,27.1,Basin,0.0,Coconut,19.0
Gulbarga,Karnataka,3605.4,27.1,Basin,0.0,Coconut,54.0
Gulbarga,Karnataka,3605.4,27.1,Basin,0.0,Coconut,13.0
Gulbarga,Karnataka,3512.4,26.8,Basin,0.0,Coconut,123.0
Gulbarga,Karnataka,3512.4,26.8,Basin,0.0,Coconut,19.0
Gulbarga,Karnataka,3512.4,26.8,Basin,0.0,Coconut,32.0
Gulbarga,Karnataka,3296.0,37.0,Basin,0.0,Coconut,8.0
Gulbarga,Karnataka,3296.0,37.0,Basin,0.0,Coconut,50.0
Gulbarga,Karnataka,3296.0,37.0,Basin,0.0,Coconut,10.0
Gulbarga,Karnataka,3550.0,38.0,Basin,0.0,Coconut,29.0
Gulbarga,Karnataka,3550.0,38.0,Basin,0.0,Coconut,44.0
Gulbarga,Karnataka,3550.0,38.0,Basin,0.0,Coconut,33.0
Gulbarga,Karnataka,3654.0,39.0,Basin,0.0,Coconut,14.0
Gulbarga,Karnataka,3654.0,39.0,Basin,0.0,Coconut,56.0
Gulbarga,Karnataka,3654.0,39.0,Basin,0.0,Coconut,26.0
Gulbarga,Karnataka,3522.8,27.2,Spray,0.0,Coconut,2783.0
Gulbarga,Karnataka,3522.8,27.2,Spray,0.0,Coconut,1533.0
Gulbarga,Karnataka,3729.8,27.0,Spray,0.0,Coconut,1647.0
Gulbarga,Karnataka,3729.8,27.0,Spray,0.0,Coconut,975.0
Gulbarga,Karnataka,3729.8,27.0,Spray,0.0,Coconut,2.0
Gulbarga,Karnataka,2746.2,27.0,Spray,0.0,Coconut,836.0
Gulbarga,Karnataka,2746.2,27.0,Spray,0.0,Coconut,806.0
Gulbarga,Karnataka,2746.2,27.0,Spray,0.0,Coconut,880.0
Gulbarga,Karnataka,3360.0,27.2,Spray,0.0,Coconut,770.0
Gulbarga,Karnataka,3360.0,27.2,Spray,0.0,Coconut,395.0
Gulbarga,Karnataka,3360.0,27.2,Spray,0.0,Coconut,187.0
Gulbarga,Karnataka,3605.4,27.1,Spray,0.0,Coconut,187.0
Gulbarga,Karnataka,3605.4,27.1,Spray,0.0,Coconut,121.0
Gulbarga,Karnataka,3605.4,27.1,Spray,0.0,Coconut,103.0
Gulbarga,Karnataka,3512.4,26.8,Spray,0.0,Coconut,71.0
Gulbarga,Karnataka,3512.4,26.8,Spray,0.0,Coconut,3961.0
