Area,AP Ratio,District,Season,Avg Temp,Avg Humidity,Crop Name,Transplant,Growth,Harvest,Production,Max Temp,Min Temp,Min Relative Humidity,Max Relative Humidity,EVI,LAI,FPAR,LST_Kelvin,Soil_Moisture_mm,NDVI_Season_Mean,NDVI_Season_Max,NDVI_Season_Min,NDVI_Season_Std,NDVI_Season_Range,NDVI_Season_CV,Avg_Salinity_Index,pH,Organic_Carbon,Nitrogen,Clay,Sand,Silt,Bulk_Density,Latitude,Longitude,CN_Ratio,pH_Suitability,Dominant_Soil_Texture,sm_surface,sm_rootzone,Rootzone_Surface_Diff,Moisture_Ratio,Water_Availability_Cat,Rainfall,Temp_Mean,Temp_Max,Temp_Min,Heat_Stress_Days,Wind_Mean,Wind_Max,Wind_Min,Temp_Range,Wind_Range,Rain_Temp_Ratio,Extreme_Heat_Risk,Is_Extreme_Heat,Yield
1,6.0,Mymensingh,Kharif 2,30.0,80.0,Jamrul,June,July to August,June  to September,6,35,25.0,70,90,0.41,1.47,5.06,301.65,-7492.91,0.48,0.67,0.14,0.24,0.53,0.5,722.08,5.73,16.23,1.49,31.27,29.94,38.8,1.31,24.89,90.38,10.89,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.38,0.37,-0.01,0.98,Optimal,1391.11,27.5,34.86,18.34,0,1.54,5.49,0.03,16.52,5.46,50.58,Low Risk,0,6.0
1,1.0,Bogura,Kharif 1,27.5,85.0,Malta,June,June to August,August to September,1,35,20.0,80,90,0.31,0.96,3.53,302.11,21.62,0.27,0.4,0.12,0.11,0.28,0.43,1086.7,6.18,17.93,1.68,35.2,21.52,43.28,1.3,24.85,89.37,10.67,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.31,0.32,0.01,1.05,Optimal,895.25,28.69,40.21,14.25,47,2.44,6.82,0.06,25.96,6.76,31.2,High Risk,1,1.0
1,21.0,Sylhet,Kharif 1,27.5,85.0,Malta,June,June to August,August to September,21,35,20.0,80,90,0.19,0.71,2.43,301.52,24.63,0.1,0.24,0.02,0.11,0.22,1.01,1019.73,5.61,19.98,1.81,28.45,42.62,28.93,1.24,24.74,91.69,11.03,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.44,0.45,0.0,1.01,Optimal,2078.94,27.4,36.89,13.58,15,1.55,4.69,0.09,23.31,4.6,75.86,Moderate Risk,0,21.0
1,12.0,Sylhet,Kharif 1,20.5,72.5,Date Palm,April,No need to do,Feb to March,12,35,6.0,60,85,0.19,0.71,2.43,301.52,24.63,0.1,0.24,0.02,0.11,0.22,1.01,1019.73,5.61,19.98,1.81,28.45,42.62,28.93,1.24,24.74,91.69,11.03,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.24,0.28,0.04,1.19,Optimal,2078.94,27.4,36.89,13.58,15,1.55,4.69,0.09,23.31,4.6,75.86,Moderate Risk,0,12.0
1,1.0,Feni,Kharif 1,21.5,82.5,Dalim,April,No need to do,Throuout The year,1,38,5.0,70,95,0.37,1.15,4.1,302.56,16.79,0.23,0.34,0.05,0.13,0.29,0.58,1211.04,5.67,20.91,1.66,35.16,25.97,38.87,1.29,23.01,91.4,12.59,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.25,0.28,0.03,1.2,Optimal,1134.36,27.39,36.32,14.02,10,2.4,6.22,0.12,22.3,6.1,41.41,Moderate Risk,0,1.0
1,2.0,Pirojpur,Kharif 1,21.5,82.5,Dalim,April,No need to do,Throuout The year,2,38,5.0,70,95,0.37,1.4,4.36,301.67,13.11,0.35,0.4,0.26,0.06,0.14,0.18,918.27,5.79,33.57,4.33,29.02,23.88,47.1,1.22,22.51,90.01,7.75,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.27,0.3,0.03,1.2,Optimal,656.33,28.88,41.26,16.01,54,2.48,5.86,0.04,25.25,5.82,22.73,High Risk,1,2.0
1,4.0,Munshiganj,Kharif 1,21.5,82.5,Dalim,April,No need to do,Throuout The year,4,38,5.0,70,95,0.33,1.14,3.81,302.42,14.84,0.28,0.38,0.13,0.11,0.26,0.39,1017.3,5.44,20.42,2.42,35.02,29.59,35.41,1.25,23.55,90.53,8.43,Acidic (Chua),Loamy (Thịt/Phù sa),0.25,0.27,0.02,1.15,Optimal,896.28,28.46,40.07,15.89,41,2.76,6.78,0.13,24.18,6.65,31.49,High Risk,1,4.0
1,3.0,Noakhali,Kharif 1,24.0,70.0,Safeda,April,No need to do,Jan to March,3,38,10.0,60,80,0.32,1.63,4.17,302.28,19.92,0.23,0.35,0.11,0.11,0.24,0.48,892.74,5.79,23.52,1.72,33.46,29.05,37.49,1.31,22.25,91.17,13.67,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.13,0.19,0.05,1.46,Moderate,1243.4,28.07,32.74,18.65,0,4.18,8.21,0.16,14.09,8.05,44.3,Low Risk,0,3.0
1,4.0,Bhola,Kharif 1,24.0,70.0,Safeda,April,No need to do,Jan to March,4,38,10.0,60,80,0.26,1.2,3.94,301.08,18.25,0.19,0.22,0.17,0.02,0.05,0.12,925.6,5.57,31.05,2.48,30.53,27.14,42.37,1.27,22.14,90.79,12.52,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.15,0.21,0.06,1.52,Moderate,1663.21,28.11,33.74,19.66,0,3.68,7.13,0.09,14.08,7.04,59.17,Low Risk,0,4.0
1,5.0,Sirajganj,Kharif 1,24.0,70.0,Safeda,April,No need to do,Jan to March,5,38,10.0,60,80,0.29,0.84,3.24,301.43,19.19,0.19,0.24,0.14,0.06,0.11,0.29,1122.79,5.87,16.81,1.53,30.62,29.44,39.96,1.34,24.46,89.71,10.98,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.13,0.19,0.06,1.47,Moderate,1038.79,28.66,41.07,15.07,48,2.34,6.82,0.09,26.0,6.73,36.24,High Risk,1,5.0
1,4.0,Kurigram,Kharif 2,30.0,75.0,Green Palmyra,April,No need to do,May,4,35,25.0,60,90,0.33,1.36,4.63,300.55,-7492.91,0.36,0.49,0.16,0.15,0.33,0.41,792.41,5.63,18.2,1.97,32.46,34.49,33.03,1.31,25.81,89.64,9.23,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.28,0.3,0.01,1.05,Optimal,993.02,27.78,34.92,17.93,0,1.84,5.77,0.08,16.99,5.69,35.74,Low Risk,0,4.0
1,20.0,Moulvibazar,Kharif 2,30.0,75.0,Green Palmyra,April,No need to do,May,20,35,25.0,60,90,0.43,2.17,5.81,301.25,-7492.92,0.44,0.62,0.23,0.17,0.39,0.37,576.58,6.08,16.13,2.15,32.01,29.74,38.23,1.3,24.49,91.76,7.5,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.23,0.25,0.02,1.12,Optimal,1626.4,27.89,35.28,17.48,2,1.23,5.03,0.02,17.8,5.01,58.31,Moderate Risk,0,20.0
1,0.0,Magura,Kharif 2,17.5,67.5,Tobacco,Oct,Nov to Feb,Feb to April,0,20,15.0,50,85,0.42,1.7,5.52,301.93,-7492.93,0.46,0.72,0.23,0.22,0.49,0.47,717.91,5.92,22.91,1.96,30.11,20.69,49.19,1.28,23.49,89.42,11.68,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.22,0.27,0.05,1.29,Optimal,996.2,27.8,34.21,18.74,0,2.16,7.83,0.11,15.47,7.72,35.83,Low Risk,0,0.0
1,1.0,Narsingdi,Kharif 2,18.0,66.5,Carrot,Oct,Nov to Feb,March,1,21,15.0,47,86,0.37,1.62,5.31,301.56,-7492.92,0.4,0.58,0.22,0.15,0.36,0.37,736.85,5.47,21.69,1.54,35.94,30.81,33.25,1.25,23.92,90.72,14.08,Acidic (Chua),Loamy (Thịt/Phù sa),0.25,0.29,0.04,1.23,Optimal,1137.55,27.81,33.68,18.24,0,1.99,7.4,0.04,15.44,7.36,40.9,Low Risk,0,1.0
1,4.0,Netrokona,Rabi,20.0,60.0,Palmyra Palm,Sep,Oct to Nov,Nov to Feb,4,25,15.0,50,70,0.3,0.96,4.13,298.12,-2495.47,0.39,0.64,0.23,0.17,0.41,0.45,753.67,5.92,19.91,1.93,36.51,29.44,34.05,1.29,24.89,90.73,10.31,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.28,0.3,0.02,1.09,Optimal,80.15,19.22,29.93,7.98,0,1.1,4.02,0.01,21.95,4.01,4.17,Low Risk,0,4.0
1,13.0,Nilphamari,Rabi,20.0,60.0,Palmyra Palm,Sep,Oct to Nov,Nov to Feb,13,25,15.0,50,70,0.29,1.06,4.67,297.14,-2495.77,0.43,0.6,0.32,0.13,0.28,0.3,871.5,6.0,15.44,1.64,29.14,32.45,38.4,1.31,25.93,88.85,9.41,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.22,0.21,-0.01,0.99,Moderate,73.57,17.97,29.3,7.09,0,1.29,7.48,0.03,22.21,7.45,4.09,Low Risk,0,13.0
1,19.0,Thakurgaon,Rabi,20.0,60.0,Palmyra Palm,Sep,Oct to Nov,Nov to Feb,19,25,15.0,50,70,0.31,1.09,4.92,297.88,-2495.33,0.46,0.55,0.32,0.11,0.23,0.23,830.89,5.85,20.19,1.81,30.97,32.95,36.08,1.3,23.77,90.36,11.15,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.25,0.28,0.02,1.11,Optimal,82.23,19.61,30.39,8.94,0,1.25,3.9,0.06,21.45,3.84,4.19,Low Risk,0,19.0
1,1.0,Lakshmipur,Kharif 2,27.5,72.5,Patal,Aug,Sep to Jan,Jan to March,1,35,20.0,60,85,0.36,2.66,6.21,300.63,-7493.11,0.37,0.54,0.17,0.19,0.36,0.52,741.7,5.84,24.75,2.65,38.4,24.54,37.07,1.28,22.94,90.83,9.34,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.26,0.28,0.02,1.14,Optimal,1311.38,27.85,32.95,19.15,0,2.39,7.82,0.03,13.8,7.79,47.08,Low Risk,0,1.0
1,2.0,Jhenaidah,Kharif 2,26.5,75.0,Pineapple,Sep,Sep to May,June to Aug,2,35,18.0,70,80,0.46,1.77,5.67,302.19,-7492.91,0.5,0.74,0.32,0.2,0.42,0.4,683.91,6.21,20.84,1.65,30.96,16.69,52.35,1.26,23.54,89.17,12.62,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.23,0.27,0.04,1.21,Optimal,996.2,27.8,34.21,18.74,0,2.16,7.83,0.11,15.47,7.72,35.83,Low Risk,0,2.0
1,1.0,Moulvibazar,Kharif 2,27.5,35.0,Gram,Aug,Sep to Oct,Nov,1,35,20.0,25,45,0.43,2.17,5.81,301.25,-7492.92,0.44,0.62,0.23,0.17,0.39,0.37,576.58,6.08,16.13,2.15,32.01,29.74,38.23,1.3,24.49,91.76,7.5,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.37,0.39,0.02,1.06,Optimal,1626.4,27.89,35.28,17.48,2,1.23,5.03,0.02,17.8,5.01,58.31,Moderate Risk,0,1.0
2,0.0,Lakshmipur,Rabi,21.0,62.5,Cheena,Nov,Dec to Feb,Feb to April,0,25,17.0,40,85,0.28,2.03,5.6,297.96,-2495.22,0.36,0.43,0.26,0.08,0.17,0.21,709.79,5.84,24.75,2.65,38.4,24.54,37.07,1.28,22.94,90.83,9.34,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.19,0.23,0.04,1.29,Moderate,130.03,19.79,29.93,9.59,0,1.58,4.92,0.03,20.34,4.89,6.57,Low Risk,0,0.0
2,3.5,Moulvibazar,Rabi,20.5,60.0,Maize 2,Dec,Jan  to  March,April,7,27,14.0,50,70,0.32,1.43,5.12,299.07,-2494.6,0.47,0.51,0.37,0.06,0.13,0.13,687.83,6.08,16.13,2.15,32.01,29.74,38.23,1.3,24.49,91.76,7.5,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.18,0.24,0.06,1.36,Moderate,83.51,19.11,30.34,8.06,0,0.93,3.7,0.01,22.28,3.69,4.37,Low Risk,0,3.5
2,13.0,Sunamganj,Kharif 2,30.0,80.0,Jamrul,June,July to August,June  to September,26,35,25.0,70,90,0.16,1.01,3.13,300.53,-7492.92,0.07,0.18,0.01,0.08,0.17,1.21,786.88,5.89,15.26,1.56,33.84,29.64,36.52,1.33,25.07,91.4,9.78,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.42,0.42,-0.0,1.0,Optimal,1911.12,27.57,34.39,18.74,0,1.5,5.89,0.1,15.65,5.79,69.31,Low Risk,0,13.0
2,1.0,Kurigram,Kharif 1,27.5,85.0,Malta,June,June to August,August to September,2,35,20.0,80,90,0.24,0.72,2.71,300.72,23.7,0.18,0.25,0.05,0.09,0.2,0.5,969.65,5.63,18.2,1.97,32.46,34.49,33.03,1.31,25.81,89.64,9.23,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.37,0.38,0.01,1.03,Optimal,1572.26,27.49,37.59,13.55,17,2.04,6.81,0.04,24.04,6.77,57.18,High Risk,0,1.0
2,6.0,Sirajganj,Kharif 1,27.5,85.0,Malta,June,June to August,August to September,12,35,20.0,80,90,0.29,0.84,3.24,301.43,19.19,0.19,0.24,0.14,0.06,0.11,0.29,1122.79,5.87,16.81,1.53,30.62,29.44,39.96,1.34,24.46,89.71,10.98,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.31,0.32,0.01,1.05,Optimal,1038.79,28.66,41.07,15.07,48,2.34,6.82,0.09,26.0,6.73,36.24,High Risk,1,6.0
