iter	Passed	Remaining
0	2	444
1	3	350
2	5	340
3	7	376
4	9	370
5	10	349
6	12	351
7	14	336
8	15	326
9	16	316
10	17	308
11	19	301
12	20	294
13	21	290
14	23	285
15	24	280
16	25	278
17	27	274
18	28	271
19	29	268
20	31	265
21	32	261
22	33	258
23	34	253
24	35	251
25	37	249
26	38	245
27	39	243
28	41	241
29	42	239
30	43	237
31	44	235
32	55	282
33	57	279
34	58	277
35	60	273
36	61	269
37	62	266
38	63	263
39	64	259
40	66	256
41	67	252
42	68	249
43	70	248
44	72	248
45	73	245
46	74	242
47	76	241
48	77	239
49	78	235
50	79	233
51	81	231
52	82	228
53	83	225
54	84	223
55	85	220
56	86	218
57	88	215
58	89	213
59	90	210
60	91	208
61	92	206
62	93	204
63	95	202
64	96	199
65	97	197
66	98	196
67	100	194
68	101	192
69	102	189
70	103	187
71	104	186
72	105	184
73	106	181
74	107	179
75	108	177
76	110	176
77	111	174
78	112	172
79	114	171
80	115	169
81	116	168
82	117	166
83	118	164
84	120	162
85	121	161
86	122	159
87	123	157
88	125	155
89	126	154
90	127	152
91	128	150
92	129	148
93	130	147
94	131	145
95	132	144
96	134	142
97	135	141
98	136	139
99	137	137
100	138	136
101	140	134
102	141	133
103	142	131
104	143	129
105	144	128
106	145	126
107	146	125
108	1108	158109	1109	159110	1110	160111	1111	162112	1112	163113	1113	164114	1114	166	122
115	167	121
116	168	119
117	171	119
118	173	117
119	174	116
120	175	114
121	177	113
122	178	112
123	180	110
124	181	108
125	183	107
126	184	106
127	185	104
128	187	102
129	188	101
130	190	100
131	191	98
132	192	97
133	193	95
134	195	93
135	196	92
136	197	90
137	198	89
138	200	87
139	201	86
140	202	84
141	203	83
142	204	81
143	206	80
144	207	78
145	208	77
146	210	75
147	211	74
148	212	72
149	213	71
150	215	69
151	216	68
152	217	66
153	219	65
154	220	63
155	221	62
156	223	61
157	224	59
158	226	58
159	227	56
160	228	55
161	230	53
162	231	52
163	232	51
164	233	49
165	235	48
166	236	46
167	237	45
168	238	43
169	240	42
170	241	40
171	242	39
172	243	38
173	244	36
174	246	35
175	247	33
176	248	32
177	249	30
178	250	29
179	251	27
180	252	26
181	253	25
182	254	23
183	255	22
184	256	20
185	257	19
186	258	17
187	259	16
188	259	15
189	260	13
190	261	12
191	262	10
192	263	9
193	264	8
194	265	6
195	266	5
196	267	4
197	267	2
198	269	1
199	270	0
