State_Code,Year,pH,EC_dS_m,Water_Holding_Cap,Organic_Matter_Pct,CEC,Bulk_Density,Clay_Pct,Sand_Pct,CaCO3_Pct
AK,2015,5.27,0.551,0.227,34.34,32.5,0.79,6.3,37.9,0
AK,2016,5.29,0.516,0.229,34.19,32.6,0.81,6.3,37.9,0
AK,2017,5.23,0.481,0.228,34.3,32.4,0.79,6.3,37.9,0
AK,2018,5.23,0.526,0.227,34.44,32.3,0.81,6.3,37.9,0
AK,2019,5.27,0.479,0.228,34.35,32.5,0.81,6.3,37.9,0
AK,2020,5.25,0.431,0.234,34.27,32.4,0.8,6.3,37.9,0
AK,2021,5.29,0.461,0.226,34.31,32.4,0.81,6.3,37.9,0
AK,2022,5.26,0.436,0.227,34.41,32.8,0.8,6.3,37.9,0
AK,2023,5.24,0.481,0.23,34.39,32.4,0.8,6.3,37.9,0
AK,2024,5.33,0.491,0.23,34.33,32.4,0.8,6.3,37.9,0
AK,2025,5.28,0.54,0.23,34.32,32.3,0.79,6.3,37.9,0
AL,2015,5.23,0.258,0.142,1.27,16.1,1.48,23.7,44.7,0
AL,2016,5.21,0.251,0.13,1.26,15.8,1.48,23.7,44.7,0
AL,2017,5.23,0.29,0.146,1.25,15.9,1.45,23.7,44.7,0
AL,2018,5.26,0.263,0.139,1.21,15.6,1.46,23.7,44.7,0
AL,2019,5.21,0.266,0.143,1.26,15.6,1.46,23.7,44.7,0
AL,2020,5.21,0.244,0.136,1.21,15.9,1.45,23.7,44.7,0
AL,2021,5.26,0.242,0.141,1.24,16.0,1.46,23.7,44.7,0
AL,2022,5.24,0.243,0.136,1.33,15.9,1.45,23.7,44.7,0
AL,2023,5.2,0.267,0.137,1.16,15.7,1.44,23.7,44.7,0
AL,2024,5.23,0.243,0.145,1.32,15.8,1.47,23.7,44.7,0
AL,2025,5.2,0.264,0.139,1.33,15.6,1.47,23.7,44.7,0
AR,2015,5.42,0.264,0.142,2.09,15.1,1.41,21.5,36.7,0
AR,2016,5.48,0.203,0.14,1.98,14.7,1.42,21.5,36.7,0
AR,2017,5.41,0.205,0.144,2.16,15.0,1.42,21.5,36.7,0
AR,2018,5.46,0.184,0.145,2.04,14.9,1.41,21.5,36.7,0
AR,2019,5.39,0.172,0.137,2.08,14.7,1.41,21.5,36.7,0
AR,2020,5.41,0.222,0.143,2.09,14.8,1.42,21.5,36.7,0
AR,2021,5.46,0.172,0.143,2.05,15.0,1.43,21.5,36.7,0
AR,2022,5.47,0.199,0.14,2.11,14.9,1.43,21.5,36.7,0
AR,2023,5.46,0.183,0.145,2.03,15.0,1.42,21.5,36.7,0
AR,2024,5.45,0.211,0.14,2.13,15.2,1.42,21.5,36.7,0
AR,2025,5.44,0.207,0.141,1.97,14.6,1.41,21.5,36.7,0
AZ,2015,7.75,1.432,0.111,1.26,14.2,1.39,20.2,52.2,5
AZ,2016,7.71,1.416,0.106,1.22,14.0,1.38,20.2,52.2,5
AZ,2017,7.74,1.446,0.115,1.41,14.0,1.39,20.2,52.2,5
AZ,2018,7.76,1.357,0.106,1.27,14.3,1.39,20.2,52.2,5
AZ,2019,7.72,1.429,0.11,1.38,14.3,1.39,20.2,52.2,5
AZ,2020,7.76,1.445,0.107,1.4,14.0,1.39,20.2,52.2,5
AZ,2021,7.73,1.379,0.109,1.36,13.7,1.39,20.2,52.2,5
AZ,2022,7.74,1.455,0.11,1.26,14.2,1.4,20.2,52.2,5
AZ,2023,7.73,1.432,0.11,1.32,13.9,1.41,20.2,52.2,5
AZ,2024,7.81,1.41,0.111,1.29,14.2,1.39,20.2,52.2,5
AZ,2025,7.75,1.441,0.115,1.22,13.7,1.38,20.2,52.2,5
CA,2015,6.58,0.79,0.13,5.87,17.2,1.36,18.6,51.7,0
CA,2016,6.6,0.745,0.131,6.0,16.9,1.35,18.6,51.7,0
CA,2017,6.61,0.752,0.127,5.78,16.7,1.37,18.6,51.7,0
CA,2018,6.66,0.731,0.126,5.81,16.6,1.34,18.6,51.7,0
CA,2019,6.64,0.747,0.136,5.89,16.8,1.35,18.6,51.7,0
CA,2020,6.57,0.771,0.128,5.87,17.0,1.36,18.6,51.7,0
CA,2021,6.64,0.782,0.127,5.88,16.9,1.36,18.6,51.7,0
CA,2022,6.61,0.733,0.124,5.89,17.1,1.39,18.6,51.7,0
CA,2023,6.61,0.785,0.128,5.9,16.6,1.36,18.6,51.7,0
CA,2024,6.64,0.799,0.126,5.94,16.9,1.35,18.6,51.7,0
CA,2025,6.66,0.772,0.136,5.89,16.7,1.36,18.6,51.7,0
CO,2015,7.09,0.75,0.145,7.27,18.7,1.29,21.2,46.5,2
CO,2016,7.03,0.672,0.139,7.34,18.8,1.31,21.2,46.5,2
CO,2017,7.05,0.659,0.149,7.43,18.5,1.3,21.2,46.5,2
CO,2018,7.07,0.643,0.145,7.28,18.2,1.32,21.2,46.5,2
CO,2019,7.09,0.739,0.141,7.21,18.6,1.3,21.2,46.5,2
CO,2020,7.04,0.714,0.134,7.37,18.7,1.31,21.2,46.5,2
CO,2021,7.05,0.693,0.149,7.28,18.7,1.3,21.2,46.5,2
CO,2022,7.02,0.703,0.137,7.12,18.8,1.33,21.2,46.5,2
CO,2023,7.02,0.662,0.136,7.35,18.4,1.3,21.2,46.5,2
CO,2024,7.08,0.766,0.145,7.25,18.7,1.33,21.2,46.5,2
CO,2025,7.1,0.699,0.149,7.28,18.8,1.32,21.2,46.5,2
CT,2015,5.66,1.466,0.141,13.63,12.2,1.21,7.2,49.5,0
CT,2016,5.69,1.484,0.139,13.62,12.5,1.21,7.2,49.5,0
CT,2017,5.67,1.477,0.139,13.65,12.4,1.21,7.2,49.5,0
CT,2018,5.64,1.47,0.14,13.57,12.5,1.18,7.2,49.5,0
CT,2019,5.67,1.44,0.139,13.64,12.5,1.2,7.2,49.5,0
CT,2020,5.71,1.477,0.138,13.58,12.4,1.22,7.2,49.5,0
CT,2021,5.66,1.518,0.137,13.66,12.3,1.21,7.2,49.5,0
CT,2022,5.71,1.502,0.137,13.65,12.5,1.19,7.2,49.5,0
CT,2023,5.58,1.51,0.135,13.53,12.3,1.21,7.2,49.5,0
CT,2024,5.69,1.448,0.136,13.68,12.3,1.23,7.2,49.5,0
CT,2025,5.67,1.434,0.132,13.56,12.6,1.22,7.2,49.5,0
DE,2015,5.63,1.523,0.171,7.24,11.5,1.4,12.1,47.3,0
DE,2016,5.65,1.528,0.169,7.21,11.8,1.42,12.1,47.3,0
DE,2017,5.58,1.559,0.168,7.32,11.7,1.4,12.1,47.3,0
DE,2018,5.64,1.477,0.172,7.16,11.4,1.38,12.1,47.3,0
DE,2019,5.65,1.571,0.176,7.15,11.5,1.39,12.1,47.3,0
DE,2020,5.69,1.522,0.175,7.18,11.9,1.42,12.1,47.3,0
DE,2021,5.63,1.514,0.167,7.16,11.5,1.4,12.1,47.3,0
DE,2022,5.62,1.497,0.169,7.24,11.6,1.4,12.1,47.3,0
DE,2023,5.63,1.478,0.175,7.06,11.7,1.4,12.1,47.3,0
DE,2024,5.67,1.551,0.169,7.1,11.8,1.43,12.1,47.3,0
DE,2025,5.65,1.529,0.171,7.1,11.6,1.42,12.1,47.3,0
FL,2015,5.51,1.069,0.099,5.34,12.6,1.46,5.3,88.7,1
FL,2016,5.54,1.069,0.094,5.39,12.9,1.43,5.3,88.7,1
FL,2017,5.53,1.097,0.098,5.26,13.0,1.43,5.3,88.7,1
FL,2018,5.56,1.155,0.093,5.25,12.8,1.41,5.3,88.7,1
FL,2019,5.51,1.099,0.095,5.27,12.7,1.45,5.3,88.7,1
FL,2020,5.52,1.063,0.098,5.35,12.5,1.41,5.3,88.7,1
FL,2021,5.52,1.1,0.092,5.2,12.5,1.43,5.3,88.7,1
FL,2022,5.48,1.099,0.099,5.28,12.8,1.41,5.3,88.7,1
FL,2023,5.54,1.028,0.097,5.34,12.7,1.42,5.3,88.7,1
FL,2024,5.54,1.105,0.099,5.3,12.9,1.42,5.3,88.7,1
FL,2025,5.53,1.1,0.098,5.28,12.8,1.42,5.3,88.7,1
GA,2015,5.26,0.166,0.129,1.26,6.5,1.47,20.8,57.1,0
GA,2016,5.22,0.2,0.125,0.99,7.0,1.47,20.8,57.1,0
GA,2017,5.25,0.178,0.123,1.24,6.6,1.49,20.8,57.1,0
GA,2018,5.26,0.138,0.125,1.14,6.7,1.46,20.8,57.1,0
GA,2019,5.24,0.113,0.126,1.05,6.8,1.48,20.8,57.1,0
GA,2020,5.26,0.221,0.125,1.23,7.1,1.49,20.8,57.1,0
GA,2021,5.28,0.147,0.125,1.29,7.3,1.47,20.8,57.1,0
GA,2022,5.32,0.146,0.122,1.18,6.9,1.47,20.8,57.1,0
GA,2023,5.27,0.145,0.122,1.26,6.8,1.47,20.8,57.1,0
GA,2024,5.27,0.151,0.12,1.31,6.9,1.49,20.8,57.1,0
GA,2025,5.26,0.141,0.13,1.29,7.0,1.48,20.8,57.1,0
HI,2015,5.99,0.189,0.136,10.5,38.2,0.85,26.3,30.9,0
HI,2016,6.05,0.19,0.138,10.43,38.6,0.86,26.3,30.9,0
HI,2017,6.05,0.205,0.138,10.38,38.3,0.84,26.3,30.9,0
HI,2018,6.12,0.19,0.143,10.26,38.4,0.86,26.3,30.9,0
HI,2019,6.04,0.185,0.139,10.36,38.4,0.86,26.3,30.9,0
HI,2020,6.06,0.209,0.144,10.31,38.3,0.85,26.3,30.9,0
HI,2021,6.05,0.198,0.138,10.54,38.4,0.84,26.3,30.9,0
HI,2022,6.01,0.25,0.141,10.36,38.2,0.84,26.3,30.9,0
HI,2023,6.08,0.129,0.137,10.39,38.2,0.86,26.3,30.9,0
HI,2024,6.07,0.238,0.147,10.42,38.1,0.87,26.3,30.9,0
HI,2025,6.07,0.242,0.136,10.38,38.3,0.84,26.3,30.9,0
IA,2015,6.37,0.217,0.189,2.62,21.8,1.37,24.9,25.1,1
IA,2016,6.34,0.28,0.182,2.64,21.6,1.4,24.9,25.1,1
IA,2017,6.41,0.225,0.191,2.78,21.5,1.38,24.9,25.1,1
IA,2018,6.37,0.314,0.187,2.79,21.6,1.37,24.9,25.1,1
IA,2019,6.32,0.202,0.183,2.64,21.3,1.38,24.9,25.1,1
IA,2020,6.38,0.312,0.185,2.82,21.7,1.4,24.9,25.1,1
IA,2021,6.33,0.269,0.187,2.72,21.4,1.38,24.9,25.1,1
IA,2022,6.38,0.26,0.186,2.77,21.4,1.39,24.9,25.1,1
IA,2023,6.39,0.247,0.187,2.88,21.3,1.38,24.9,25.1,1
IA,2024,6.33,0.274,0.182,2.82,21.8,1.4,24.9,25.1,1
IA,2025,6.39,0.261,0.186,2.74,21.5,1.4,24.9,25.1,1
ID,2015,6.57,0.241,0.19,14.94,18.1,1.1,15.9,36.9,2
ID,2016,6.64,0.291,0.191,14.77,18.0,1.06,15.9,36.9,2
ID,2017,6.56,0.29,0.191,14.83,18.2,1.08,15.9,36.9,2
ID,2018,6.62,0.26,0.189,14.76,17.9,1.09,15.9,36.9,2
ID,2019,6.67,0.278,0.189,14.72,18.0,1.08,15.9,36.9,2
ID,2020,6.57,0.269,0.189,14.77,17.7,1.08,15.9,36.9,2
ID,2021,6.58,0.352,0.189,14.81,17.8,1.08,15.9,36.9,2
ID,2022,6.6,0.328,0.192,14.78,18.0,1.09,15.9,36.9,2
ID,2023,6.59,0.338,0.196,14.76,18.1,1.09,15.9,36.9,2
ID,2024,6.55,0.322,0.187,14.71,17.9,1.06,15.9,36.9,2
ID,2025,6.6,0.268,0.185,14.81,17.9,1.06,15.9,36.9,2
IL,2015,6.23,0.203,0.191,2.05,18.0,1.4,23.8,16.8,0
IL,2016,6.28,0.233,0.199,2.22,18.2,1.42,23.8,16.8,0
IL,2017,6.23,0.183,0.188,2.17,18.4,1.37,23.8,16.8,0
IL,2018,6.31,0.239,0.196,2.05,18.4,1.4,23.8,16.8,0
IL,2019,6.24,0.211,0.196,2.14,18.4,1.4,23.8,16.8,0
IL,2020,6.25,0.207,0.189,2.11,18.3,1.43,23.8,16.8,0
IL,2021,6.29,0.239,0.193,2.19,18.3,1.4,23.8,16.8,0
IL,2022,6.23,0.231,0.196,2.26,18.2,1.41,23.8,16.8,0
IL,2023,6.27,0.208,0.19,2.02,18.4,1.41,23.8,16.8,0
IL,2024,6.3,0.252,0.19,2.17,18.3,1.38,23.8,16.8,0
IL,2025,6.21,0.187,0.189,2.15,18.4,1.42,23.8,16.8,0
IN,2015,6.09,0.029,0.182,3.41,18.3,1.45,21.2,27.5,0
