State,Station_ID,Date,Year,Month,Precipitation_mm,Attributes
New Jersey,GHCND:US1NJAT0001,2015-01-01T00:00:00,2015,01,125.6,",,,N"
New Jersey,GHCND:US1NJAT0005,2015-01-01T00:00:00,2015,01,136.0,",,,N"
New Jersey,GHCND:US1NJAT0011,2015-01-01T00:00:00,2015,01,138.3,",,,N"
New Jersey,GHCND:US1NJAT0015,2015-01-01T00:00:00,2015,01,150.0,",,,N"
New Jersey,GHCND:US1NJBG0002,2015-01-01T00:00:00,2015,01,105.7,"1,,,N"
New Jersey,GHCND:US1NJBG0015,2015-01-01T00:00:00,2015,01,106.8,",,,N"
New Jersey,GHCND:US1NJBG0017,2015-01-01T00:00:00,2015,01,114.1,"1,,,N"
New Jersey,GHCND:US1NJBG0018,2015-01-01T00:00:00,2015,01,119.0,",,,N"
New Jersey,GHCND:US1NJBG0023,2015-01-01T00:00:00,2015,01,107.5,",,,N"
New Jersey,GHCND:US1NJBG0029,2015-01-01T00:00:00,2015,01,102.0,",,,N"
New Jersey,GHCND:US1NJBG0030,2015-01-01T00:00:00,2015,01,107.3,",,,N"
New Jersey,GHCND:US1NJBG0037,2015-01-01T00:00:00,2015,01,113.0,",,,N"
New Jersey,GHCND:US1NJBT0003,2015-01-01T00:00:00,2015,01,117.6,",,,N"
New Jersey,GHCND:US1NJBT0004,2015-01-01T00:00:00,2015,01,128.5,",,,N"
New Jersey,GHCND:US1NJBT0005,2015-01-01T00:00:00,2015,01,127.4,"1,,,N"
New Jersey,GHCND:US1NJBT0006,2015-01-01T00:00:00,2015,01,128.8,",,,N"
New Jersey,GHCND:US1NJBT0025,2015-01-01T00:00:00,2015,01,128.2,",a,,N"
New Jersey,GHCND:US1NJBT0028,2015-01-01T00:00:00,2015,01,134.8,"1,,,N"
New Jersey,GHCND:US1NJBT0029,2015-01-01T00:00:00,2015,01,130.8,",,,N"
New Jersey,GHCND:US1NJBT0032,2015-01-01T00:00:00,2015,01,133.5,",,,N"
New Jersey,GHCND:US1NJCD0001,2015-01-01T00:00:00,2015,01,131.1,",,,N"
New Jersey,GHCND:US1NJCD0007,2015-01-01T00:00:00,2015,01,127.7,"1,,,N"
New Jersey,GHCND:US1NJCD0010,2015-01-01T00:00:00,2015,01,140.7,"5,,,N"
New Jersey,GHCND:US1NJCM0002,2015-01-01T00:00:00,2015,01,148.6,",,,N"
New Jersey,GHCND:US1NJCM0007,2015-01-01T00:00:00,2015,01,135.7,"1,,,N"
New Jersey,GHCND:US1NJCM0012,2015-01-01T00:00:00,2015,01,140.6,",,,N"
New Jersey,GHCND:US1NJCM0017,2015-01-01T00:00:00,2015,01,114.8,",,,N"
New Jersey,GHCND:US1NJCM0029,2015-01-01T00:00:00,2015,01,113.9,",,,N"
New Jersey,GHCND:US1NJCM0034,2015-01-01T00:00:00,2015,01,127.9,"1,,,N"
New Jersey,GHCND:US1NJCN0005,2015-01-01T00:00:00,2015,01,126.0,",,,N"
New Jersey,GHCND:US1NJCN0011,2015-01-01T00:00:00,2015,01,135.9,"1,,,N"
New Jersey,GHCND:US1NJCN0017,2015-01-01T00:00:00,2015,01,108.9,",,,N"
New Jersey,GHCND:US1NJCN0022,2015-01-01T00:00:00,2015,01,125.0,",,,N"
New Jersey,GHCND:US1NJES0015,2015-01-01T00:00:00,2015,01,116.4,"1,a,,N"
New Jersey,GHCND:US1NJES0018,2015-01-01T00:00:00,2015,01,121.3,",,,N"
New Jersey,GHCND:US1NJGL0001,2015-01-01T00:00:00,2015,01,137.4,",,,N"
New Jersey,GHCND:US1NJGL0006,2015-01-01T00:00:00,2015,01,142.6,",,,N"
New Jersey,GHCND:US1NJGL0012,2015-01-01T00:00:00,2015,01,133.1,",,,N"
New Jersey,GHCND:US1NJGL0029,2015-01-01T00:00:00,2015,01,132.5,",,,N"
New Jersey,GHCND:US1NJGL0037,2015-01-01T00:00:00,2015,01,131.4,"3,,,N"
New Jersey,GHCND:US1NJHD0002,2015-01-01T00:00:00,2015,01,122.8,"3,,,N"
New Jersey,GHCND:US1NJHN0001,2015-01-01T00:00:00,2015,01,98.3,",a,,N"
New Jersey,GHCND:US1NJHN0003,2015-01-01T00:00:00,2015,01,95.3,",,,N"
New Jersey,GHCND:US1NJHN0004,2015-01-01T00:00:00,2015,01,97.7,",,,N"
New Jersey,GHCND:US1NJHN0005,2015-01-01T00:00:00,2015,01,108.7,"4,,,N"
New Jersey,GHCND:US1NJHN0007,2015-01-01T00:00:00,2015,01,105.4,",,,N"
New Jersey,GHCND:US1NJHN0010,2015-01-01T00:00:00,2015,01,109.3,",,,N"
New Jersey,GHCND:US1NJHN0012,2015-01-01T00:00:00,2015,01,102.6,",,,N"
New Jersey,GHCND:US1NJHN0015,2015-01-01T00:00:00,2015,01,110.5,",a,,N"
New Jersey,GHCND:US1NJHN0018,2015-01-01T00:00:00,2015,01,95.4,",,,N"
New Jersey,GHCND:US1NJHN0019,2015-01-01T00:00:00,2015,01,54.7,"2,,,N"
New Jersey,GHCND:US1NJHN0021,2015-01-01T00:00:00,2015,01,86.3,"1,,,N"
New Jersey,GHCND:US1NJHN0029,2015-01-01T00:00:00,2015,01,108.7,"1,a,,N"
New Jersey,GHCND:US1NJHN0031,2015-01-01T00:00:00,2015,01,88.1,"1,,,N"
New Jersey,GHCND:US1NJHN0035,2015-01-01T00:00:00,2015,01,93.7,"5,,,N"
New Jersey,GHCND:US1NJMC0001,2015-01-01T00:00:00,2015,01,127.9,",,,N"
New Jersey,GHCND:US1NJMC0002,2015-01-01T00:00:00,2015,01,123.8,"4,a,,N"
New Jersey,GHCND:US1NJMC0003,2015-01-01T00:00:00,2015,01,133.3,"1,,,N"
New Jersey,GHCND:US1NJMC0005,2015-01-01T00:00:00,2015,01,130.9,",,,N"
New Jersey,GHCND:US1NJMC0011,2015-01-01T00:00:00,2015,01,122.9,"1,,,N"
New Jersey,GHCND:US1NJMC0016,2015-01-01T00:00:00,2015,01,128.2,",a,,N"
New Jersey,GHCND:US1NJMC0027,2015-01-01T00:00:00,2015,01,135.2,",,,N"
New Jersey,GHCND:US1NJMC0030,2015-01-01T00:00:00,2015,01,134.3,"2,,,N"
New Jersey,GHCND:US1NJMC0038,2015-01-01T00:00:00,2015,01,126.6,"2,a,,N"
New Jersey,GHCND:US1NJMD0002,2015-01-01T00:00:00,2015,01,125.9,",,,N"
New Jersey,GHCND:US1NJMD0009,2015-01-01T00:00:00,2015,01,134.0,",a,,N"
New Jersey,GHCND:US1NJMD0028,2015-01-01T00:00:00,2015,01,92.5,"3,,,N"
