State,Station_ID,Date,Year,Month,Precipitation_mm,Attributes
North Dakota,GHCND:CA005020881,2015-01-01T00:00:00,2015,01,12.6,"1,,,C"
North Dakota,GHCND:US1NDBH0020,2015-01-01T00:00:00,2015,01,16.0,"2,,,N"
North Dakota,GHCND:US1NDBH0034,2015-01-01T00:00:00,2015,01,20.4,",,,N"
North Dakota,GHCND:US1NDBT0003,2015-01-01T00:00:00,2015,01,17.1,",,,N"
North Dakota,GHCND:US1NDCS0001,2015-01-01T00:00:00,2015,01,8.4,",,,N"
North Dakota,GHCND:US1NDCS0004,2015-01-01T00:00:00,2015,01,7.6,",,,N"
North Dakota,GHCND:US1NDCS0025,2015-01-01T00:00:00,2015,01,9.5,",,,N"
North Dakota,GHCND:US1NDCS0032,2015-01-01T00:00:00,2015,01,8.4,"2,a,,N"
North Dakota,GHCND:US1NDGF0010,2015-01-01T00:00:00,2015,01,14.6,",,,N"
North Dakota,GHCND:US1NDGV0001,2015-01-01T00:00:00,2015,01,11.2,",,,N"
North Dakota,GHCND:US1NDHT0001,2015-01-01T00:00:00,2015,01,4.2,"1,,,N"
North Dakota,GHCND:US1NDLM0004,2015-01-01T00:00:00,2015,01,19.3,"2,,,N"
North Dakota,GHCND:US1NDMR0002,2015-01-01T00:00:00,2015,01,16.0,",,,N"
North Dakota,GHCND:US1NDMR0007,2015-01-01T00:00:00,2015,01,13.0,",,,N"
North Dakota,GHCND:US1NDPM0001,2015-01-01T00:00:00,2015,01,13.3,",,,N"
North Dakota,GHCND:US1NDRC0008,2015-01-01T00:00:00,2015,01,10.2,",,,N"
North Dakota,GHCND:US1NDRV0004,2015-01-01T00:00:00,2015,01,0.0,"2,T,,N"
North Dakota,GHCND:US1NDSK0012,2015-01-01T00:00:00,2015,01,7.4,",,,N"
North Dakota,GHCND:US1NDWR0012,2015-01-01T00:00:00,2015,01,8.2,",,,N"
North Dakota,GHCND:USC00320022,2015-01-01T00:00:00,2015,01,10.7,",,,7"
North Dakota,GHCND:USC00320382,2015-01-01T00:00:00,2015,01,23.6,"1,,,7"
North Dakota,GHCND:USC00320492,2015-01-01T00:00:00,2015,01,6.4,",a,,7"
North Dakota,GHCND:USC00320817,2015-01-01T00:00:00,2015,01,18.3,",,,7"
North Dakota,GHCND:USC00320818,2015-01-01T00:00:00,2015,01,14.3,",,,7"
North Dakota,GHCND:USC00320941,2015-01-01T00:00:00,2015,01,20.7,"1,,,7"
