State,Station_ID,Date,Year,Month,Precipitation_mm,Attributes
Texas,GHCND:US1TXAG0001,2015-01-01T00:00:00,2015,01,206.6,",a,,N"
Texas,GHCND:US1TXAG0002,2015-01-01T00:00:00,2015,01,224.5,",,,N"
Texas,GHCND:US1TXAG0003,2015-01-01T00:00:00,2015,01,233.7,",,,N"
Texas,GHCND:US1TXAG0005,2015-01-01T00:00:00,2015,01,211.0,",,,N"
Texas,GHCND:US1TXAN0006,2015-01-01T00:00:00,2015,01,150.3,",,,N"
Texas,GHCND:US1TXAR0003,2015-01-01T00:00:00,2015,01,76.0,"2,,,N"
Texas,GHCND:US1TXAR0006,2015-01-01T00:00:00,2015,01,81.2,"1,,,N"
Texas,GHCND:US1TXAR0007,2015-01-01T00:00:00,2015,01,57.7,",,,N"
Texas,GHCND:US1TXAR0008,2015-01-01T00:00:00,2015,01,79.8,",,,N"
Texas,GHCND:US1TXAS0002,2015-01-01T00:00:00,2015,01,83.2,",,,N"
Texas,GHCND:US1TXAS0003,2015-01-01T00:00:00,2015,01,87.2,",,,N"
Texas,GHCND:US1TXAS0004,2015-01-01T00:00:00,2015,01,87.1,",,,N"
Texas,GHCND:US1TXAS0005,2015-01-01T00:00:00,2015,01,90.5,",,,N"
Texas,GHCND:US1TXAS0006,2015-01-01T00:00:00,2015,01,89.7,",,,N"
Texas,GHCND:US1TXAS0007,2015-01-01T00:00:00,2015,01,90.4,"1,,,N"
Texas,GHCND:US1TXAS0012,2015-01-01T00:00:00,2015,01,81.8,",a,,N"
Texas,GHCND:US1TXAS0014,2015-01-01T00:00:00,2015,01,85.3,"3,,,N"
Texas,GHCND:US1TXAS0015,2015-01-01T00:00:00,2015,01,79.2,",,,N"
Texas,GHCND:US1TXAT0021,2015-01-01T00:00:00,2015,01,38.6,",,,N"
Texas,GHCND:US1TXAT0025,2015-01-01T00:00:00,2015,01,60.6,"1,,,N"
Texas,GHCND:US1TXAT0026,2015-01-01T00:00:00,2015,01,32.1,",a,,N"
Texas,GHCND:US1TXAT0028,2015-01-01T00:00:00,2015,01,60.3,"5,,,N"
Texas,GHCND:US1TXAT0037,2015-01-01T00:00:00,2015,01,53.9,",,,N"
Texas,GHCND:US1TXBEE010,2015-01-01T00:00:00,2015,01,92.8,"2,a,,N"
Texas,GHCND:US1TXBEE017,2015-01-01T00:00:00,2015,01,73.4,",,,N"
Texas,GHCND:US1TXBEE018,2015-01-01T00:00:00,2015,01,35.4,"1,,,N"
Texas,GHCND:US1TXBEL001,2015-01-01T00:00:00,2015,01,128.3,",,,N"
