State,Station_ID,Date,Year,Month,Precipitation_mm,Attributes
Wisconsin,GHCND:US1WIAS0004,2015-01-01T00:00:00,2015,01,11.0,",,,N"
Wisconsin,GHCND:US1WIAS0006,2015-01-01T00:00:00,2015,01,22.5,",,,N"
Wisconsin,GHCND:US1WIBN0006,2015-01-01T00:00:00,2015,01,18.9,"1,,,N"
Wisconsin,GHCND:US1WIBN0007,2015-01-01T00:00:00,2015,01,9.1,"2,,,N"
Wisconsin,GHCND:US1WIBN0014,2015-01-01T00:00:00,2015,01,10.8,",,,N"
Wisconsin,GHCND:US1WIBR0002,2015-01-01T00:00:00,2015,01,13.0,",,,N"
Wisconsin,GHCND:US1WIBR0006,2015-01-01T00:00:00,2015,01,14.5,"3,,,N"
Wisconsin,GHCND:US1WIBT0005,2015-01-01T00:00:00,2015,01,7.9,",,,N"
Wisconsin,GHCND:US1WIBY0001,2015-01-01T00:00:00,2015,01,21.2,",,,N"
Wisconsin,GHCND:US1WIBY0006,2015-01-01T00:00:00,2015,01,15.5,"2,,,N"
Wisconsin,GHCND:US1WICB0001,2015-01-01T00:00:00,2015,01,14.4,",,,N"
Wisconsin,GHCND:US1WICB0004,2015-01-01T00:00:00,2015,01,12.7,",,,N"
Wisconsin,GHCND:US1WICB0005,2015-01-01T00:00:00,2015,01,11.3,",,,N"
Wisconsin,GHCND:US1WICH0003,2015-01-01T00:00:00,2015,01,10.7,",,,N"
Wisconsin,GHCND:US1WICT0001,2015-01-01T00:00:00,2015,01,12.3,"3,,,N"
Wisconsin,GHCND:US1WICT0004,2015-01-01T00:00:00,2015,01,11.0,",a,,N"
Wisconsin,GHCND:US1WIDA0032,2015-01-01T00:00:00,2015,01,17.1,",,,N"
Wisconsin,GHCND:US1WIDA0033,2015-01-01T00:00:00,2015,01,18.8,"3,,,N"
Wisconsin,GHCND:US1WIDD0003,2015-01-01T00:00:00,2015,01,27.9,",,,N"
Wisconsin,GHCND:US1WIDD0004,2015-01-01T00:00:00,2015,01,11.2,",,,N"
Wisconsin,GHCND:US1WIDG0011,2015-01-01T00:00:00,2015,01,7.8,",,,N"
Wisconsin,GHCND:US1WIDN0001,2015-01-01T00:00:00,2015,01,12.8,",a,,N"
Wisconsin,GHCND:US1WIDN0005,2015-01-01T00:00:00,2015,01,9.7,"2,a,,N"
Wisconsin,GHCND:US1WIDR0006,2015-01-01T00:00:00,2015,01,14.3,",,,N"
Wisconsin,GHCND:US1WIFL0003,2015-01-01T00:00:00,2015,01,20.1,",,,N"
Wisconsin,GHCND:US1WIFR0003,2015-01-01T00:00:00,2015,01,18.8,",a,,N"
Wisconsin,GHCND:US1WIGT0001,2015-01-01T00:00:00,2015,01,10.9,",,,N"
Wisconsin,GHCND:US1WIJF0005,2015-01-01T00:00:00,2015,01,13.2,"4,,,N"
Wisconsin,GHCND:US1WIJF0011,2015-01-01T00:00:00,2015,01,16.0,"2,,,N"
Wisconsin,GHCND:US1WIJK0001,2015-01-01T00:00:00,2015,01,25.4,"2,,,N"
Wisconsin,GHCND:US1WIKN0006,2015-01-01T00:00:00,2015,01,27.9,",,,N"
Wisconsin,GHCND:US1WIKN0007,2015-01-01T00:00:00,2015,01,21.0,"1,a,,N"
Wisconsin,GHCND:US1WIKN0011,2015-01-01T00:00:00,2015,01,18.3,"5,,,N"
Wisconsin,GHCND:US1WIKN0012,2015-01-01T00:00:00,2015,01,12.6,"1,,,N"
Wisconsin,GHCND:US1WILC0010,2015-01-01T00:00:00,2015,01,15.8,",,,N"
Wisconsin,GHCND:US1WILF0001,2015-01-01T00:00:00,2015,01,8.0,",,,N"
