Year,State,ActivityStartDate,As,Ca,Cd,Cr,Cu,Fe,K,Mg,Mn,Ni,P,Pb,Zn,Hg
2015,AK,2015-02-03,0.39,48.4,,,,204.0,1.32,12.5,,,0.0135,,,
2015,AK,2015-02-11,,25.5,,,,,1.26,3.07,,,0.004,,,
2015,AK,2015-02-25,1.1,11.8,,,,297.0,0.68,2.29,31.3,0.28,0.012,,,
2015,AK,2015-03-24,0.31,39.5,,,,62.1,1.495,7.785,,,0.018,,,
2015,AK,2015-04-07,1.1,8.87,,,,317.0,0.62,1.73,25.6,0.27,0.0185,0.048,,
2015,AK,2015-04-28,1.2,7.61,,,,380.0,0.84,1.57,20.8,0.23,0.028,0.06,,
2015,AK,2015-05-06,,17.9,,,,,1.14,2.35,,,0.052,,,
2015,AK,2015-05-20,0.99,26.7,,,,368.0,0.98,6.26,,,0.366,,,
2015,AK,2015-06-09,0.99,28.8,,,,246.0,1.07,6.0,,,0.1775,,,
2015,AK,2015-06-18,1.6,10.6,,,,186.0,0.44,1.91,5.61,,0.0075,,,
2015,AK,2015-06-23,,14.8,,,,,0.8,1.55,,,0.717,,,
2015,AK,2015-07-07,0.99,35.3,,,,140.0,1.26,9.4,,,0.1445,,,
2015,AK,2015-07-27,,15.1,,,,,0.82,1.71,,,0.616,,,
2015,AK,2015-08-18,0.86,35.9,,,,62.8,1.44,9.47,,,0.1885,,,
2015,AK,2015-08-19,1.9,11.9,,,,299.0,0.4,2.19,13.6,,0.011,,,
2015,AK,2015-09-08,,18.2,,,,,1.0,2.3,,,0.116,,,
2015,AK,2015-09-17,1.2,9.02,,,1.1,178.0,0.49,1.81,16.1,0.39,0.0255,0.062,,
2015,AK,2015-09-21,0.79,34.2,,,,174.0,1.0,9.23,,,0.1795,,,
2015,AK,2015-10-07,,15.9,,,,,0.79,2.25,,,0.07,,,
2016,AK,2016-01-13,1.5,9.57,,,,495.0,0.47,1.93,36.8,0.28,0.0124999999999999,,,
2016,AK,2016-01-27,,24.1,,,,,1.36,2.95,,,,,,
2016,AK,2016-02-24,0.49,57.1,,,,166.0,1.58,14.7,,,0.022,,,
2016,AK,2016-03-15,1.4,13.3,,,,445.0,0.6,2.51,41.1,0.36,0.0085,,,
2016,AK,2016-03-22,,27.5,,,,,1.43,3.13,,,,,,
2016,AK,2016-04-05,0.34,52.3,,,,90.9,1.43,12.2,,,0.024,,,
2016,AK,2016-04-25,,15.3,,,,,0.92,2.05,,,,,,
2016,AK,2016-04-26,1.2,8.03,,,,234.0,0.4,1.59,10.5,,0.0215,,,
2016,AK,2016-05-11,0.89,26.9,,,,336.0,1.03,6.51,,,0.2505,,,
