util_practice_desc,year,load_time,state_alpha,county_ansi,reference_period_desc,state_ansi,state_name,domain_desc,sector_desc,asd_desc,county_name,region_desc,end_code,class_desc,location_desc,agg_level_desc,prodn_practice_desc,domaincat_desc,Value,unit_desc,asd_code,freq_desc,group_desc,week_ending,zip_5,statisticcat_desc,begin_code,county_code,congr_district_code,watershed_code,CV (%),country_code,country_name,short_desc,watershed_desc,source_desc,state_fips_code,commodity_desc
GRAIN,2000,2012-01-01 00:00:00.000,IA,,YEAR,19,IOWA,TOTAL,CROPS,NORTHWEST,,,00,ALL CLASSES,"IOWA, NORTHWEST",AGRICULTURAL DISTRICT,ALL PRODUCTION PRACTICES,NOT SPECIFIED,145.3,BU / ACRE,10,ANNUAL,FIELD CROPS,,,YIELD,00,,,00000000,,9000,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,19,CORN
GRAIN,2000,2012-01-01 00:00:00.000,IA,,YEAR,19,IOWA,TOTAL,CROPS,NORTH CENTRAL,,,00,ALL CLASSES,"IOWA, NORTH CENTRAL",AGRICULTURAL DISTRICT,ALL PRODUCTION PRACTICES,NOT SPECIFIED,150.7,BU / ACRE,20,ANNUAL,FIELD CROPS,,,YIELD,00,,,00000000,,9000,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,19,CORN
GRAIN,2000,2012-01-01 00:00:00.000,IA,,YEAR,19,IOWA,TOTAL,CROPS,NORTHEAST,,,00,ALL CLASSES,"IOWA, NORTHEAST",AGRICULTURAL DISTRICT,ALL PRODUCTION PRACTICES,NOT SPECIFIED,145.7,BU / ACRE,30,ANNUAL,FIELD CROPS,,,YIELD,00,,,00000000,,9000,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,19,CORN
GRAIN,2000,2012-01-01 00:00:00.000,IA,,YEAR,19,IOWA,TOTAL,CROPS,WEST CENTRAL,,,00,ALL CLASSES,"IOWA, WEST CENTRAL",AGRICULTURAL DISTRICT,ALL PRODUCTION PRACTICES,NOT SPECIFIED,133.1,BU / ACRE,40,ANNUAL,FIELD CROPS,,,YIELD,00,,,00000000,,9000,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,19,CORN
GRAIN,2000,2012-01-01 00:00:00.000,IA,,YEAR,19,IOWA,TOTAL,CROPS,CENTRAL,,,00,ALL CLASSES,"IOWA, CENTRAL",AGRICULTURAL DISTRICT,ALL PRODUCTION PRACTICES,NOT SPECIFIED,150.3,BU / ACRE,50,ANNUAL,FIELD CROPS,,,YIELD,00,,,00000000,,9000,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,19,CORN
GRAIN,2000,2012-01-01 00:00:00.000,IA,,YEAR,19,IOWA,TOTAL,CROPS,EAST CENTRAL,,,00,ALL CLASSES,"IOWA, EAST CENTRAL",AGRICULTURAL DISTRICT,ALL PRODUCTION PRACTICES,NOT SPECIFIED,144.9,BU / ACRE,60,ANNUAL,FIELD CROPS,,,YIELD,00,,,00000000,,9000,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,19,CORN
GRAIN,2000,2012-01-01 00:00:00.000,IA,,YEAR,19,IOWA,TOTAL,CROPS,SOUTHWEST,,,00,ALL CLASSES,"IOWA, SOUTHWEST",AGRICULTURAL DISTRICT,ALL PRODUCTION PRACTICES,NOT SPECIFIED,137.2,BU / ACRE,70,ANNUAL,FIELD CROPS,,,YIELD,00,,,00000000,,9000,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,19,CORN
GRAIN,2000,2012-01-01 00:00:00.000,IA,,YEAR,19,IOWA,TOTAL,CROPS,SOUTH CENTRAL,,,00,ALL CLASSES,"IOWA, SOUTH CENTRAL",AGRICULTURAL DISTRICT,ALL PRODUCTION PRACTICES,NOT SPECIFIED,138.1,BU / ACRE,80,ANNUAL,FIELD CROPS,,,YIELD,00,,,00000000,,9000,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,19,CORN
GRAIN,2000,2012-01-01 00:00:00.000,IA,,YEAR,19,IOWA,TOTAL,CROPS,SOUTHEAST,,,00,ALL CLASSES,"IOWA, SOUTHEAST",AGRICULTURAL DISTRICT,ALL PRODUCTION PRACTICES,NOT SPECIFIED,144.1,BU / ACRE,90,ANNUAL,FIELD CROPS,,,YIELD,00,,,00000000,,9000,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,19,CORN
GRAIN,2000,2012-01-01 00:00:00.000,IA,021,YEAR,19,IOWA,TOTAL,CROPS,NORTHWEST,BUENA VISTA,,00,ALL CLASSES,"IOWA, NORTHWEST, BUENA VISTA",COUNTY,ALL PRODUCTION PRACTICES,NOT SPECIFIED,135.7,BU / ACRE,10,ANNUAL,FIELD CROPS,,,YIELD,00,021,,00000000,,9000,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,19,CORN
