year,load_time,state_alpha,county_ansi,util_practice_desc,state_ansi,reference_period_desc,asd_desc,state_name,domain_desc,sector_desc,end_code,county_name,region_desc,prodn_practice_desc,domaincat_desc,class_desc,location_desc,agg_level_desc,asd_code,freq_desc,group_desc,Value,unit_desc,zip_5,statisticcat_desc,county_code,begin_code,week_ending,watershed_desc,country_name,short_desc,state_fips_code,commodity_desc,source_desc,watershed_code,congr_district_code,CV (%),country_code
2022,2024-07-02 12:00:00.000,IA,021,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,BUENA VISTA,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, BUENA VISTA",COUNTY,10,ANNUAL,FIELD CROPS,                 (D),ACRES,,AREA HARVESTED,021,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,(D),9000
2017,2018-02-01 00:00:00.000,IA,021,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,BUENA VISTA,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, BUENA VISTA",COUNTY,10,ANNUAL,FIELD CROPS,                 (D),ACRES,,AREA HARVESTED,021,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,(D),9000
2012,2012-12-31 00:00:00.000,IA,021,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,BUENA VISTA,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, BUENA VISTA",COUNTY,10,ANNUAL,FIELD CROPS,618,ACRES,,AREA HARVESTED,021,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,13.0,9000
2002,2012-01-01 00:00:00.000,IA,021,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,BUENA VISTA,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, BUENA VISTA",COUNTY,10,ANNUAL,FIELD CROPS,                 (D),ACRES,,AREA HARVESTED,021,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,,9000
2022,2024-07-02 12:00:00.000,IA,041,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,CLAY,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, CLAY",COUNTY,10,ANNUAL,FIELD CROPS,300,ACRES,,AREA HARVESTED,041,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,18.8,9000
2017,2018-02-01 00:00:00.000,IA,041,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,CLAY,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, CLAY",COUNTY,10,ANNUAL,FIELD CROPS,380,ACRES,,AREA HARVESTED,041,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,25.6,9000
2012,2012-12-31 00:00:00.000,IA,041,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,CLAY,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, CLAY",COUNTY,10,ANNUAL,FIELD CROPS,                 (D),ACRES,,AREA HARVESTED,041,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,(D),9000
2007,2012-01-01 00:00:00.000,IA,041,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,CLAY,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, CLAY",COUNTY,10,ANNUAL,FIELD CROPS,                 (D),ACRES,,AREA HARVESTED,041,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,,9000
2002,2012-01-01 00:00:00.000,IA,041,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,CLAY,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, CLAY",COUNTY,10,ANNUAL,FIELD CROPS,                 (D),ACRES,,AREA HARVESTED,041,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,,9000
2022,2024-07-02 12:00:00.000,IA,059,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,DICKINSON,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, DICKINSON",COUNTY,10,ANNUAL,FIELD CROPS,787,ACRES,,AREA HARVESTED,059,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,18.8,9000
