domaincat_desc,prodn_practice_desc,agg_level_desc,class_desc,location_desc,asd_code,group_desc,freq_desc,Value,unit_desc,county_code,begin_code,zip_5,statisticcat_desc,week_ending,source_desc,state_fips_code,commodity_desc,country_name,watershed_desc,short_desc,CV (%),country_code,congr_district_code,watershed_code,state_alpha,county_ansi,year,load_time,util_practice_desc,state_ansi,reference_period_desc,asd_desc,domain_desc,sector_desc,state_name,end_code,region_desc,county_name
CHEMICAL: (TOTAL),"IRRIGATED, CHEMIGATION",STATE,ALL CLASSES,IOWA,,FIELD CROPS,ANNUAL,"6,230",ACRES,,00,,TREATED,,CENSUS,19,CORN,UNITED STATES,,"CORN, GRAIN, IRRIGATED, CHEMIGATION - TREATED, MEASURED IN ACRES",70.4,9000,,00000000,IA,,2018,2018-02-01 00:00:00.000,GRAIN,19,YEAR,,CHEMICAL,ENVIRONMENTAL,IOWA,00,,
CHEMICAL: (TOTAL),"IRRIGATED, CHEMIGATION",STATE,ALL CLASSES,IOWA,,FIELD CROPS,ANNUAL,                 (D),ACRES,,00,,TREATED,,CENSUS,19,CORN,UNITED STATES,,"CORN, GRAIN, IRRIGATED, CHEMIGATION - TREATED, MEASURED IN ACRES",,9000,,00000000,IA,,2013,2012-12-31 00:00:00.000,GRAIN,19,YEAR,,CHEMICAL,ENVIRONMENTAL,IOWA,00,,
FERTILIZER: (TOTAL),"IRRIGATED, CHEMIGATION",STATE,ALL CLASSES,IOWA,,FIELD CROPS,ANNUAL,"16,971",ACRES,,00,,TREATED,,CENSUS,19,CORN,UNITED STATES,,"CORN, GRAIN, IRRIGATED, CHEMIGATION - TREATED, MEASURED IN ACRES",66.1,9000,,00000000,IA,,2023,2024-10-31 12:00:00.000,GRAIN,19,YEAR,,FERTILIZER,ENVIRONMENTAL,IOWA,00,,
FERTILIZER: (TOTAL),"IRRIGATED, CHEMIGATION",STATE,ALL CLASSES,IOWA,,FIELD CROPS,ANNUAL,"18,807",ACRES,,00,,TREATED,,CENSUS,19,CORN,UNITED STATES,,"CORN, GRAIN, IRRIGATED, CHEMIGATION - TREATED, MEASURED IN ACRES",46.1,9000,,00000000,IA,,2018,2018-02-01 00:00:00.000,GRAIN,19,YEAR,,FERTILIZER,ENVIRONMENTAL,IOWA,00,,
FERTILIZER: (TOTAL),"IRRIGATED, CHEMIGATION",STATE,ALL CLASSES,IOWA,,FIELD CROPS,ANNUAL,"18,000",ACRES,,00,,TREATED,,CENSUS,19,CORN,UNITED STATES,,"CORN, GRAIN, IRRIGATED, CHEMIGATION - TREATED, MEASURED IN ACRES",,9000,,00000000,IA,,2013,2012-12-31 00:00:00.000,GRAIN,19,YEAR,,FERTILIZER,ENVIRONMENTAL,IOWA,00,,
CHEMICAL: (TOTAL),"IRRIGATED, CHEMIGATION",STATE,ALL CLASSES,IOWA,,FIELD CROPS,ANNUAL,52,OPERATIONS,,00,,TREATED,,CENSUS,19,CORN,UNITED STATES,,"CORN, GRAIN, IRRIGATED, CHEMIGATION - OPERATIONS WITH TREATED",51.3,9000,,00000000,IA,,2018,2018-02-01 00:00:00.000,GRAIN,19,YEAR,,CHEMICAL,ENVIRONMENTAL,IOWA,00,,
CHEMICAL: (TOTAL),"IRRIGATED, CHEMIGATION",STATE,ALL CLASSES,IOWA,,FIELD CROPS,ANNUAL,2,OPERATIONS,,00,,TREATED,,CENSUS,19,CORN,UNITED STATES,,"CORN, GRAIN, IRRIGATED, CHEMIGATION - OPERATIONS WITH TREATED",,9000,,00000000,IA,,2013,2012-12-31 00:00:00.000,GRAIN,19,YEAR,,CHEMICAL,ENVIRONMENTAL,IOWA,00,,
FERTILIZER: (TOTAL),"IRRIGATED, CHEMIGATION",STATE,ALL CLASSES,IOWA,,FIELD CROPS,ANNUAL,74,OPERATIONS,,00,,TREATED,,CENSUS,19,CORN,UNITED STATES,,"CORN, GRAIN, IRRIGATED, CHEMIGATION - OPERATIONS WITH TREATED",41.5,9000,,00000000,IA,,2023,2024-10-31 12:00:00.000,GRAIN,19,YEAR,,FERTILIZER,ENVIRONMENTAL,IOWA,00,,
FERTILIZER: (TOTAL),"IRRIGATED, CHEMIGATION",STATE,ALL CLASSES,IOWA,,FIELD CROPS,ANNUAL,101,OPERATIONS,,00,,TREATED,,CENSUS,19,CORN,UNITED STATES,,"CORN, GRAIN, IRRIGATED, CHEMIGATION - OPERATIONS WITH TREATED",37.6,9000,,00000000,IA,,2018,2018-02-01 00:00:00.000,GRAIN,19,YEAR,,FERTILIZER,ENVIRONMENTAL,IOWA,00,,
FERTILIZER: (TOTAL),"IRRIGATED, CHEMIGATION",STATE,ALL CLASSES,IOWA,,FIELD CROPS,ANNUAL,70,OPERATIONS,,00,,TREATED,,CENSUS,19,CORN,UNITED STATES,,"CORN, GRAIN, IRRIGATED, CHEMIGATION - OPERATIONS WITH TREATED",,9000,,00000000,IA,,2013,2012-12-31 00:00:00.000,GRAIN,19,YEAR,,FERTILIZER,ENVIRONMENTAL,IOWA,00,,
