statisticcat_desc,week_ending,short_desc,state_fips_code,prodn_practice_desc,county_code,CV (%),domaincat_desc,state_name,source_desc,congr_district_code,county_name,watershed_desc,util_practice_desc,class_desc,load_time,country_name,region_desc,location_desc,Value,unit_desc,zip_5,year,state_ansi,sector_desc,begin_code,asd_code,reference_period_desc,state_alpha,asd_desc,commodity_desc,agg_level_desc,group_desc,end_code,county_ansi,freq_desc,domain_desc,country_code,watershed_code
APPLICATIONS,,"CORN - APPLICATIONS, MEASURED IN LB",19,ALL PRODUCTION PRACTICES,,,"CHEMICAL, FUNGICIDE: (AZOXYSTROBIN = 128810)",IOWA,SURVEY,,,,ALL UTILIZATION PRACTICES,ALL CLASSES,2021-05-13 15:00:30.000,UNITED STATES,,IOWA,"155,000",LB,,2021,19,ENVIRONMENTAL,00,,YEAR,IA,,CORN,STATE,FIELD CROPS,00,,ANNUAL,"CHEMICAL, FUNGICIDE",9000,00000000
APPLICATIONS,,"CORN - APPLICATIONS, MEASURED IN LB",19,ALL PRODUCTION PRACTICES,,,"CHEMICAL, FUNGICIDE: (AZOXYSTROBIN = 128810)",IOWA,SURVEY,,,,ALL UTILIZATION PRACTICES,ALL CLASSES,2018-05-10 15:16:25.000,UNITED STATES,,IOWA,"111,000",LB,,2018,19,ENVIRONMENTAL,00,,YEAR,IA,,CORN,STATE,FIELD CROPS,00,,ANNUAL,"CHEMICAL, FUNGICIDE",9000,00000000
APPLICATIONS,,"CORN - APPLICATIONS, MEASURED IN LB",19,ALL PRODUCTION PRACTICES,,,"CHEMICAL, FUNGICIDE: (AZOXYSTROBIN = 128810)",IOWA,SURVEY,,,,ALL UTILIZATION PRACTICES,ALL CLASSES,2016-08-31 14:19:39.000,UNITED STATES,,IOWA,"94,000",LB,,2016,19,ENVIRONMENTAL,00,,YEAR,IA,,CORN,STATE,FIELD CROPS,00,,ANNUAL,"CHEMICAL, FUNGICIDE",9000,00000000
APPLICATIONS,,"CORN - APPLICATIONS, MEASURED IN LB",19,ALL PRODUCTION PRACTICES,,,"CHEMICAL, FUNGICIDE: (AZOXYSTROBIN = 128810)",IOWA,SURVEY,,,,ALL UTILIZATION PRACTICES,ALL CLASSES,2014-05-14 15:12:54.000,UNITED STATES,,IOWA,"37,000",LB,,2014,19,ENVIRONMENTAL,00,,YEAR,IA,,CORN,STATE,FIELD CROPS,00,,ANNUAL,"CHEMICAL, FUNGICIDE",9000,00000000
APPLICATIONS,,"CORN - APPLICATIONS, MEASURED IN LB",19,ALL PRODUCTION PRACTICES,,,"CHEMICAL, FUNGICIDE: (AZOXYSTROBIN = 128810)",IOWA,SURVEY,,,,ALL UTILIZATION PRACTICES,ALL CLASSES,2012-01-01 00:00:00.000,UNITED STATES,,IOWA,                 (D),LB,,2010,19,ENVIRONMENTAL,00,,YEAR,IA,,CORN,STATE,FIELD CROPS,00,,ANNUAL,"CHEMICAL, FUNGICIDE",9000,00000000
APPLICATIONS,,"CORN - APPLICATIONS, MEASURED IN LB",19,ALL PRODUCTION PRACTICES,,,"CHEMICAL, FUNGICIDE: (BENZOVINDIFLUPYR = 122305)",IOWA,SURVEY,,,,ALL UTILIZATION PRACTICES,ALL CLASSES,2021-05-13 15:00:30.000,UNITED STATES,,IOWA,                 (D),LB,,2021,19,ENVIRONMENTAL,00,,YEAR,IA,,CORN,STATE,FIELD CROPS,00,,ANNUAL,"CHEMICAL, FUNGICIDE",9000,00000000
APPLICATIONS,,"CORN - APPLICATIONS, MEASURED IN LB",19,ALL PRODUCTION PRACTICES,,,"CHEMICAL, FUNGICIDE: (BENZOVINDIFLUPYR = 122305)",IOWA,SURVEY,,,,ALL UTILIZATION PRACTICES,ALL CLASSES,2018-05-10 15:16:25.000,UNITED STATES,,IOWA,"10,000",LB,,2018,19,ENVIRONMENTAL,00,,YEAR,IA,,CORN,STATE,FIELD CROPS,00,,ANNUAL,"CHEMICAL, FUNGICIDE",9000,00000000
APPLICATIONS,,"CORN - APPLICATIONS, MEASURED IN LB",19,ALL PRODUCTION PRACTICES,,,"CHEMICAL, FUNGICIDE: (CAPTAN = 81301)",IOWA,SURVEY,,,,ALL UTILIZATION PRACTICES,ALL CLASSES,2018-05-10 15:16:25.000,UNITED STATES,,IOWA,                 (D),LB,,2018,19,ENVIRONMENTAL,00,,YEAR,IA,,CORN,STATE,FIELD CROPS,00,,ANNUAL,"CHEMICAL, FUNGICIDE",9000,00000000
APPLICATIONS,,"CORN - APPLICATIONS, MEASURED IN LB",19,ALL PRODUCTION PRACTICES,,,"CHEMICAL, FUNGICIDE: (CYPROCONAZOLE = 128993)",IOWA,SURVEY,,,,ALL UTILIZATION PRACTICES,ALL CLASSES,2018-05-10 15:16:25.000,UNITED STATES,,IOWA,                 (D),LB,,2018,19,ENVIRONMENTAL,00,,YEAR,IA,,CORN,STATE,FIELD CROPS,00,,ANNUAL,"CHEMICAL, FUNGICIDE",9000,00000000
APPLICATIONS,,"CORN - APPLICATIONS, MEASURED IN LB",19,ALL PRODUCTION PRACTICES,,,"CHEMICAL, FUNGICIDE: (FLUOPYRAM = 80302)",IOWA,SURVEY,,,,ALL UTILIZATION PRACTICES,ALL CLASSES,2021-05-13 15:00:30.000,UNITED STATES,,IOWA,                 (D),LB,,2021,19,ENVIRONMENTAL,00,,YEAR,IA,,CORN,STATE,FIELD CROPS,00,,ANNUAL,"CHEMICAL, FUNGICIDE",9000,00000000
APPLICATIONS,,"CORN - APPLICATIONS, MEASURED IN LB",19,ALL PRODUCTION PRACTICES,,,"CHEMICAL, FUNGICIDE: (FLUOXASTROBIN = 28869)",IOWA,SURVEY,,,,ALL UTILIZATION PRACTICES,ALL CLASSES,2018-05-10 15:16:25.000,UNITED STATES,,IOWA,                 (D),LB,,2018,19,ENVIRONMENTAL,00,,YEAR,IA,,CORN,STATE,FIELD CROPS,00,,ANNUAL,"CHEMICAL, FUNGICIDE",9000,00000000
APPLICATIONS,,"CORN - APPLICATIONS, MEASURED IN LB",19,ALL PRODUCTION PRACTICES,,,"CHEMICAL, FUNGICIDE: (FLUOXASTROBIN = 28869)",IOWA,SURVEY,,,,ALL UTILIZATION PRACTICES,ALL CLASSES,2014-05-14 15:12:54.000,UNITED STATES,,IOWA,                 (D),LB,,2014,19,ENVIRONMENTAL,00,,YEAR,IA,,CORN,STATE,FIELD CROPS,00,,ANNUAL,"CHEMICAL, FUNGICIDE",9000,00000000
APPLICATIONS,,"CORN - APPLICATIONS, MEASURED IN LB",19,ALL PRODUCTION PRACTICES,,,"CHEMICAL, FUNGICIDE: (FLUXAPYROXAD = 138009)",IOWA,SURVEY,,,,ALL UTILIZATION PRACTICES,ALL CLASSES,2016-08-31 14:19:39.000,UNITED STATES,,IOWA,                 (D),LB,,2016,19,ENVIRONMENTAL,00,,YEAR,IA,,CORN,STATE,FIELD CROPS,00,,ANNUAL,"CHEMICAL, FUNGICIDE",9000,00000000
APPLICATIONS,,"CORN - APPLICATIONS, MEASURED IN LB",19,ALL PRODUCTION PRACTICES,,,"CHEMICAL, FUNGICIDE: (FLUXAPYROXAD = 138009)",IOWA,SURVEY,,,,ALL UTILIZATION PRACTICES,ALL CLASSES,2014-05-14 15:12:54.000,UNITED STATES,,IOWA,                 (D),LB,,2014,19,ENVIRONMENTAL,00,,YEAR,IA,,CORN,STATE,FIELD CROPS,00,,ANNUAL,"CHEMICAL, FUNGICIDE",9000,00000000
APPLICATIONS,,"CORN - APPLICATIONS, MEASURED IN LB",19,ALL PRODUCTION PRACTICES,,,"CHEMICAL, FUNGICIDE: (MEFENTRIFLUCONAZOLE = 122000)",IOWA,SURVEY,,,,ALL UTILIZATION PRACTICES,ALL CLASSES,2021-05-13 15:00:30.000,UNITED STATES,,IOWA,                 (D),LB,,2021,19,ENVIRONMENTAL,00,,YEAR,IA,,CORN,STATE,FIELD CROPS,00,,ANNUAL,"CHEMICAL, FUNGICIDE",9000,00000000
APPLICATIONS,,"CORN - APPLICATIONS, MEASURED IN LB",19,ALL PRODUCTION PRACTICES,,,"CHEMICAL, FUNGICIDE: (METCONAZOLE = 125619)",IOWA,SURVEY,,,,ALL UTILIZATION PRACTICES,ALL CLASSES,2021-05-13 15:00:30.000,UNITED STATES,,IOWA,                 (D),LB,,2021,19,ENVIRONMENTAL,00,,YEAR,IA,,CORN,STATE,FIELD CROPS,00,,ANNUAL,"CHEMICAL, FUNGICIDE",9000,00000000
