Value,unit_desc,asd_code,group_desc,freq_desc,agg_level_desc,class_desc,location_desc,domaincat_desc,prodn_practice_desc,CV (%),country_code,congr_district_code,watershed_code,source_desc,commodity_desc,state_fips_code,country_name,watershed_desc,short_desc,week_ending,county_code,begin_code,zip_5,statisticcat_desc,reference_period_desc,state_ansi,util_practice_desc,state_alpha,county_ansi,year,load_time,region_desc,county_name,end_code,domain_desc,sector_desc,state_name,asd_desc
0,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2025-09-07,,36,,PROGRESS,WEEK #36,19,GRAIN,IA,,2025,2025-09-08 16:00:00.000,,,36,TOTAL,CROPS,IOWA,
3,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2025-09-14,,37,,PROGRESS,WEEK #37,19,GRAIN,IA,,2025,2025-09-15 16:00:00.000,,,37,TOTAL,CROPS,IOWA,
8,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2025-09-21,,38,,PROGRESS,WEEK #38,19,GRAIN,IA,,2025,2025-09-22 16:00:00.000,,,38,TOTAL,CROPS,IOWA,
15,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2025-09-28,,39,,PROGRESS,WEEK #39,19,GRAIN,IA,,2025,2025-09-29 16:00:00.000,,,39,TOTAL,CROPS,IOWA,
97,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2025-11-16,,46,,PROGRESS,WEEK #46,19,GRAIN,IA,,2025,2025-11-17 16:00:00.000,,,46,TOTAL,CROPS,IOWA,
99,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2025-11-23,,47,,PROGRESS,WEEK #47,19,GRAIN,IA,,2025,2025-11-24 16:00:00.000,,,47,TOTAL,CROPS,IOWA,
0,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2024-09-08,,36,,PROGRESS,WEEK #36,19,GRAIN,IA,,2024,2024-09-09 16:00:00.000,,,36,TOTAL,CROPS,IOWA,
2,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2024-09-15,,37,,PROGRESS,WEEK #37,19,GRAIN,IA,,2024,2024-09-16 16:00:00.000,,,37,TOTAL,CROPS,IOWA,
5,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2024-09-22,,38,,PROGRESS,WEEK #38,19,GRAIN,IA,,2024,2024-09-23 16:00:00.000,,,38,TOTAL,CROPS,IOWA,
11,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2024-09-29,,39,,PROGRESS,WEEK #39,19,GRAIN,IA,,2024,2024-09-30 16:00:00.000,,,39,TOTAL,CROPS,IOWA,
