State_County_Code,Map_Unit_Symbol,Map_Unit_Name,Component_Name,Component_Percent,Taxonomy_Class,hzname,desgndisc,desgnmaster,desgnmasterprime,desgnvert,hzdept_l,hzdept_r,hzdept_h,hzdepb_l,hzdepb_r,hzdepb_h,hzthk_l,hzthk_r,hzthk_h,texturerv,horztype,fragvoltot_l,fragvoltot_r,fragvoltot_h,fraggt10_l,fraggt10_r,fraggt10_h,frag3to10_l,frag3to10_r,frag3to10_h,huartvoltot_l,huartvoltot_r,huartvoltot_h,sieveno4_l,sieveno4_r,sieveno4_h,sieveno10_l,sieveno10_r,sieveno10_h,sieveno40_l,sieveno40_r,sieveno40_h,sieveno200_l,sieveno200_r,sieveno200_h,sandtotal_l,sandtotal_r,sandtotal_h,sandvc_l,sandvc_r,sandvc_h,sandco_l,sandco_r,sandco_h,sandmed_l,sandmed_r,sandmed_h,sandfine_l,sandfine_r,sandfine_h,sandvf_l,sandvf_r,sandvf_h,silttotal_l,silttotal_r,silttotal_h,siltco_l,siltco_r,siltco_h,siltfine_l,siltfine_r,siltfine_h,claytotal_l,claytotal_r,claytotal_h,claysizedcarb_l,claysizedcarb_r,claysizedcarb_h,micakind,micaveryfinepct_l,micaveryfinepct_r,micaveryfinepct_h,micafinepct_l,micafinepct_r,micafinepct_h,om_l,om_r,om_h,fiberrubbedpct_l,fiberrubbedpct_r,fiberrubbedpct_h,fiberunrubbedpct_l,fiberunrubbedpct_r,fiberunrubbedpct_h,dbtenthbar_l,dbtenthbar_r,dbtenthbar_h,dbthirdbar_l,dbthirdbar_r,dbthirdbar_h,dbfifteenbar_l,dbfifteenbar_r,dbfifteenbar_h,bdsatiated_l,bdsatiated_r,bdsatiated_h,dbovendry_l,dbovendry_r,dbovendry_h,partdensity,ksat_l,ksat_r,ksat_h,awc_l,awc_r,awc_h,wtenthbar_l,wtenthbar_r,wtenthbar_h,wthirdbar_l,wthirdbar_r,wthirdbar_h,wfifteenbar_l,wfifteenbar_r,wfifteenbar_h,wsatiated_l,wsatiated_r,wsatiated_h,ll_l,ll_r,ll_h,lep_l,lep_r,lep_h,pi_l,pi_r,pi_h,aashind_l,aashind_r,aashind_h,kwfact,kffact,caco3_l,caco3_r,caco3_h,gypsum_l,gypsum_r,gypsum_h,sar_l,sar_r,sar_h,esp_l,esp_r,esp_h,ec_l,ec_r,ec_h,ec15_l,ec15_r,ec15_h,cec7_l,cec7_r,cec7_h,ecec_l,ecec_r,ecec_h,sumbases_l,sumbases_r,sumbases_h,ph1to1h2o_l,ph1to1h2o_r,ph1to1h2o_h,ph01mcacl2_l,ph01mcacl2_r,ph01mcacl2_h,phoxidized_l,phoxidized_r,phoxidized_h,freeiron_l,freeiron_r,freeiron_h,feoxalate_l,feoxalate_r,feoxalate_h,extracid_l,extracid_r,extracid_h,extral_l,extral_r,extral_h,aloxalate_l,aloxalate_r,aloxalate_h,monosulfidepresence,pbray1_l,pbray1_r,pbray1_h,poxalate_l,poxalate_r,poxalate_h,ph2osoluble_l,ph2osoluble_r,ph2osoluble_h,ptotal_l,ptotal_r,ptotal_h,nzpretention_l,nzpretention_r,nzpretention_h,excavdifcl,excavdifms,nasischiid,cokey,chkey
AL003,Bb,"Bibb and Mantachie soils, local alluvium",Bibb,40,"Coarse-loamy, siliceous, active, acid, thermic Typic Fluvaquents",H1,,H,,1,,0,,,10,,,10,,SIL,Other,,,,0,0,0,0,0,0,,,,95,97.5,100,90,95,100,60,75,90,30,45,60,,35,,,2.9,,,4.1,,,5.8,,,10.9,,,11.3,,,52,,,,,,,,2,13,18,0,0,0,,,,,,,,1,3,3,,,,,,,,,,1.5,1.6,1.7,,,,,,,,1.68,,,4,9,14,0.12,0.15,0.18,,,,,24.5,,,9.2,,,35,,0,25,35,0,1.5,2.9,0,6,12,0,0,5,.37,.37,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,0.4,2.5,5.3,0.5,2,4,3.6,4.6,5.5,,,,,,,,,,,,,,,,,,,,,,No ,,,,,,,,,,,,,,,,,,848147,26916127,80351114
AL003,Bb,"Bibb and Mantachie soils, local alluvium",Bibb,40,"Coarse-loamy, siliceous, active, acid, thermic Typic Fluvaquents",H2,,H,,2,,10,,,152,,,142,,SL,Other,,,,0,0,0,0,0,0,,,,60,80,100,50,75,100,40,70,100,30,60,90,,55,,,5.6,,,13.2,,,12.9,,,14.3,,,9,,,30,,,,,,,,2,15,18,0,0,0,,,,,,,,0.5,0.75,1,,,,,,,,,,1.45,1.6,1.75,,,,,,,,1.69,,,4,9,14,0.1,0.15,0.2,,,,,17.2,,,9.3,,,31,,0,27,31,0,1.5,2.9,0,9,12,0,2,10,.32,.32,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,0.4,4.4,5.7,0.5,2,4,3.6,4.6,5.5,,,,,,,,,,,,,,,,,,,,,,No ,,,,,,,,,,,,,,,,,,848148,26916127,80351113
AL003,Bb,"Bibb and Mantachie soils, local alluvium",Mantachie,30,"Fine-loamy, siliceous, active, thermic Aeric Endoaquepts",H1,,H,,1,,0,,,28,,,28,,SIL,Other,,,,0,0,0,0,0,0,,,,95,97.5,100,90,95,100,60,72.5,85,40,50,60,,35,,,2.9,,,4.1,,,5.8,,,10.9,,,11.3,,,51,,,,,,,,8,14,20,0,0,0,,,,,,,,1,3,3,,,,,,,,,,1.5,1.55,1.6,,,,,,,,1.62,,,4,9,14,0.16,0.18,0.2,,,,,26.4,,,11.3,,,37,,21,29,37,0,1.5,2.9,4,9,13,0,1,5,.32,.32,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,1.8,3.6,5.9,,,,4.5,5,5.5,,,,,,,,,,,,,,,,,,,,,,No ,,,,,,,,,,,,,,,,,,848149,26916128,80351115
AL003,Bb,"Bibb and Mantachie soils, local alluvium",Mantachie,30,"Fine-loamy, siliceous, active, thermic Aeric Endoaquepts",H2,,H,,2,,28,,,155,,,127,,L,Other,,,,0,0,0,0,3,5,,,,95,97.5,100,90,95,100,80,87.5,95,45,62.5,80,,38,,,3.4,,,4.8,,,6.6,,,11.9,,,11.3,,,36,,,,,,,,18,26,34,0,0,0,,,,,,,,0.5,1,2,,,,,,,,,,1.5,1.55,1.6,,,,,,,,1.62,,,4,9,14,0.14,0.17,0.2,,,,,29.9,,,16.7,,,37,,28,37,47,0,1.5,2.9,12,18,24,2,8,19,.32,.32,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,4.9,8,11.9,,,,4.5,5,5.5,,,,,,,,,,,,,,,,,,,,,,No ,,,,,,,,,,,,,,,,,,848150,26916128,80351116
AL003,BtB,"Bowie fine sandy loam, thin solum, 2 to 5 percent slopes",Bowie,85,"Fine-loamy, kaolinitic, thermic Typic Kanhapludults",H1,,H,,1,,0,,,20,,,20,,FSL,Other,,,,0,0,0,0,2,5,,,,95,97.5,100,90,95,100,75,82.5,90,20,30,40,,67.3,,,0.1,,,3.1,,,15.3,,,32.3,,,16.5,,5,20.2,40,,,,,,,5,12.5,20,0,0,0,,,,,,,,1,2,3,,,,,,,,,,1.3,1.48,1.65,,,,,,,,1.55,,,14,28,42,0.08,0.11,0.13,,,,,19.8,,,10.7,,,39,,18,28,37,0,1.5,2.9,2,8,13,0,0,1,.20,.20,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,0.7,2.5,5.2,,,,4.5,5,5.5,,,,,,,,,,,,,,,,,,,,,,No ,,,,,,,,,,,,,,,,,,848166,26916130,80351121
AL003,BtB,"Bowie fine sandy loam, thin solum, 2 to 5 percent slopes",Bowie,85,"Fine-loamy, kaolinitic, thermic Typic Kanhapludults",H2,,H,,2,,20,,,48,,,28,,FSL,Other,,,,0,0,0,0,2,5,,,,95,97.5,100,90,95,100,60,77.5,95,23,34,45,,63.2,,,0,,,2.3,,,13.6,,,31.6,,,15.7,,5,18.8,40,,,,,,,10,18,30,0,0,0,,,,,,,,0.2,0.6,1,,,,,,,,,,1.3,1.4,1.5,,,,,,,,1.47,,,4,9,14,0.1,0.13,0.16,,,,,20.6,,,11.7,,,43,,21,31,41,0,1.5,2.9,6,13,21,0,0,5,.28,.28,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,1,3,6.5,,,,4.5,5,5.5,,,,,,,,,,,,,,,,,,,,,,No ,,,,,,,,,,,,,,,,,,848167,26916130,80351122
AL003,BtB,"Bowie fine sandy loam, thin solum, 2 to 5 percent slopes",Bowie,85,"Fine-loamy, kaolinitic, thermic Typic Kanhapludults",H3,,H,,3,,48,,,64,,,16,,SCL,Other,,,,0,0,0,0,2,5,,,,95,97.5,100,90,95,100,60,77.5,95,25,37.5,50,,53.5,,,1.5,,,8.7,,,14.7,,,18.8,,,9.8,,3,14,27,,,,,,,25,32.5,40,0,0,0,,,,,,,,0,0.25,0.5,,,,,,,,,,1.3,1.4,1.5,,,,,,,,1.47,,,1.4,8,14,0.1,0.13,0.16,,,,,25.5,,,18.7,,,43,,33,41,49,0,1.5,2.9,17,23,28,0,2,6,.20,.20,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,1.3,3.6,6.3,,,,4.5,5,5.5,,,,,,,,,,,,,,,,,,,,,,No ,,,,,,,,,,,,,,,,,,848168,26916130,80351119
AL003,BtB,"Bowie fine sandy loam, thin solum, 2 to 5 percent slopes",Bowie,85,"Fine-loamy, kaolinitic, thermic Typic Kanhapludults",H4,,H,,4,,64,,,152,,,88,,SCL,Other,,,,0,0,0,0,2,5,,,,85,92.5,100,80,90,100,60,77.5,95,25,41.5,58,,60,,,1.4,,,8.8,,,15.9,,,21.8,,,12.1,,3,13.5,27,,,,,,,18,26.5,35,0,0,0,,,,,,,,0,0.25,0.5,,,,,,,,,,1.65,1.73,1.8,,,,,,,,1.82,,,0.42,2,4,0.1,0.12,0.14,,,,,24.5,,,18.1,,,30,,27,36,44,0,1.5,2.9,12,18,25,0,3,11,.24,.24,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,1.1,3.2,5.8,,,,4.5,5,5.5,,,,,,,,,,,,,,,,,,,,,,No ,,,,,,,,,,,,,,,,,,848169,26916130,80351120
AL003,BtB,"Bowie fine sandy loam, thin solum, 2 to 5 percent slopes",Bibb,5,"Coarse-loamy, siliceous, active, acid, thermic Typic Fluvaquents",H1,,H,,1,,0,,,10,,,10,,SIL,Other,,,,0,0,0,0,0,0,,,,95,97.5,100,90,95,100,60,75,90,30,45,60,,30,,,2.7,,,3.7,,,5.1,,,9.2,,,9.3,,,60,,,,,,,,2,10,18,0,0,0,,,,,,,,1,2,3,,,,,,,,,,1.5,1.6,1.7,,,,,,,,1.68,,,4,9,14,0.12,0.15,0.18,,,,,24.5,,,9.2,,,35,,0,25,35,0,1.5,2.9,0,6,12,0,0,5,.43,.43,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,0.4,2.5,5.3,,,,3.6,4.6,5.5,,,,,,,,,,,,,,,,,,,,,,No ,,,,,,,,,,,,,,,,,,3724130,26916129,80351117
AL003,BtB,"Bowie fine sandy loam, thin solum, 2 to 5 percent slopes",Bibb,5,"Coarse-loamy, siliceous, active, acid, thermic Typic Fluvaquents",H2,,H,,2,,10,,,152,,,142,,SL,Other,,,,0,0,0,0,0,0,,,,60,80,100,50,75,100,40,70,100,30,60,90,,55,,,5.6,,,13.2,,,12.9,,,14.3,,,9,,,30,,,,,,,,2,15,18,0,0,0,,,,,,,,0.5,0.75,1,,,,,,,,,,1.45,1.6,1.75,,,,,,,,1.69,,,4,9,14,0.1,0.15,0.2,,,,,17.2,,,9.3,,,31,,0,27,31,0,1.5,2.9,0,9,12,0,2,10,.32,.32,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,0.4,4.4,5.7,,,,3.6,4.6,5.5,,,,,,,,,,,,,,,,,,,,,,No ,,,,,,,,,,,,,,,,,,3724131,26916129,80351118
