District_Name,Season,NDVI_Value,Sowing_Date_Approx,Harvest_Window,Year
Bagerhat,Boro,0.6622641656528737,2022-01-15,April-May 2022,2022
Bagerhat,Aus,0.6414351235254858,2022-05-01,July-August 2022,2022
Bagerhat,Aman,0.7089356004040124,2022-08-15,November-December 2022,2022
Bandarban,Boro,0.7807587047201013,2022-01-15,April-May 2022,2022
Bandarban,Aus,0.8802951508048663,2022-05-01,July-August 2022,2022
Bandarban,Aman,0.8940269847707808,2022-08-15,November-December 2022,2022
Barguna,Boro,0.5285408326559577,2022-01-15,April-May 2022,2022
Barguna,Aus,0.6616120062407745,2022-05-01,July-August 2022,2022
Barguna,Aman,0.7258291211390028,2022-08-15,November-December 2022,2022
Barisal,Boro,0.5964418276110149,2022-01-15,April-May 2022,2022
Barisal,Aus,0.6090895886682094,2022-05-01,July-August 2022,2022
Barisal,Aman,0.6593258721704981,2022-08-15,November-December 2022,2022
Bhola,Boro,0.48004657140780627,2022-01-15,April-May 2022,2022
Bhola,Aus,0.4948965319507492,2022-05-01,July-August 2022,2022
Bhola,Aman,0.5657653874333064,2022-08-15,November-December 2022,2022
Bogra,Boro,0.6860594857295672,2022-01-15,April-May 2022,2022
Bogra,Aus,0.5857300972615661,2022-05-01,July-August 2022,2022
Bogra,Aman,0.7586512761444935,2022-08-15,November-December 2022,2022
Brahamanbaria,Boro,0.7190266595910291,2022-01-15,April-May 2022,2022
Brahamanbaria,Aus,0.5612216051486046,2022-05-01,July-August 2022,2022
Brahamanbaria,Aman,0.6373021138427946,2022-08-15,November-December 2022,2022
Chandpur,Boro,0.6423668879388813,2022-01-15,April-May 2022,2022
Chandpur,Aus,0.6581055983487816,2022-05-01,July-August 2022,2022
Chandpur,Aman,0.6773517223418185,2022-08-15,November-December 2022,2022
Chittagong,Boro,0.6536468304538615,2022-01-15,April-May 2022,2022
Chittagong,Aus,0.7609258567655046,2022-05-01,July-August 2022,2022
Chittagong,Aman,0.8142004883855465,2022-08-15,November-December 2022,2022
Chuadanga,Boro,0.711187097617435,2022-01-15,April-May 2022,2022
Chuadanga,Aus,0.727132625787788,2022-05-01,July-August 2022,2022
Chuadanga,Aman,0.739764631462734,2022-08-15,November-December 2022,2022
Comilla,Boro,0.700073925163735,2022-01-15,April-May 2022,2022
Comilla,Aus,0.7519215140777138,2022-05-01,July-August 2022,2022
Comilla,Aman,0.7718950726991477,2022-08-15,November-December 2022,2022
Cox's Bazar,Boro,0.6542095961358374,2022-01-15,April-May 2022,2022
Cox's Bazar,Aus,0.6679820898370781,2022-05-01,July-August 2022,2022
Cox's Bazar,Aman,0.7654774644931651,2022-08-15,November-December 2022,2022
Dhaka,Boro,0.5754156161594838,2022-01-15,April-May 2022,2022
Dhaka,Aus,0.6217632848188214,2022-05-01,July-August 2022,2022
Dhaka,Aman,0.6355499619985169,2022-08-15,November-December 2022,2022
Dinajpur,Boro,0.7368433016783592,2022-01-15,April-May 2022,2022
Dinajpur,Aus,0.6217029030239323,2022-05-01,July-August 2022,2022
Dinajpur,Aman,0.8349548474082596,2022-08-15,November-December 2022,2022
Faridpur,Boro,0.6084675718773163,2022-01-15,April-May 2022,2022
Faridpur,Aus,0.7327579207545959,2022-05-01,July-August 2022,2022
Faridpur,Aman,0.7231918806960699,2022-08-15,November-December 2022,2022
Feni,Boro,0.6540610484645226,2022-01-15,April-May 2022,2022
Feni,Aus,0.7394698689318004,2022-05-01,July-August 2022,2022
Feni,Aman,0.8387617735164311,2022-08-15,November-December 2022,2022
Gaibandha,Boro,0.6434282134341441,2022-01-15,April-May 2022,2022
Gaibandha,Aus,0.5955776453027695,2022-05-01,July-August 2022,2022
Gaibandha,Aman,0.6929689714999342,2022-08-15,November-December 2022,2022
Gazipur,Boro,0.6444458158062273,2022-01-15,April-May 2022,2022
Gazipur,Aus,0.730989003138046,2022-05-01,July-August 2022,2022
Gazipur,Aman,0.7651307366136643,2022-08-15,November-December 2022,2022
Gopalganj,Boro,0.7207142164763373,2022-01-15,April-May 2022,2022
Gopalganj,Aus,0.7489879307367915,2022-05-01,July-August 2022,2022
Gopalganj,Aman,0.766672761323276,2022-08-15,November-December 2022,2022
Habiganj,Boro,0.7174288313873037,2022-01-15,April-May 2022,2022
Habiganj,Aus,0.5926140782009921,2022-05-01,July-August 2022,2022
Habiganj,Aman,0.6975207478923278,2022-08-15,November-December 2022,2022
Jamalpur,Boro,0.6828876669131343,2022-01-15,April-May 2022,2022
Jamalpur,Aus,0.6299979039393566,2022-05-01,July-August 2022,2022
Jamalpur,Aman,0.7330942542996021,2022-08-15,November-December 2022,2022
Jessore,Boro,0.7134230094313346,2022-01-15,April-May 2022,2022
Jessore,Aus,0.6513133748181045,2022-05-01,July-August 2022,2022
Jessore,Aman,0.7898695968656981,2022-08-15,November-December 2022,2022
Jhalokati,Boro,0.6433111033243044,2022-01-15,April-May 2022,2022
Jhalokati,Aus,0.7437709214771641,2022-05-01,July-August 2022,2022
Jhalokati,Aman,0.794483847702263,2022-08-15,November-December 2022,2022
Jhenaidah,Boro,0.69898970230744,2022-01-15,April-May 2022,2022
Jhenaidah,Aus,0.7032901760656773,2022-05-01,July-August 2022,2022
Jhenaidah,Aman,0.8215532809412635,2022-08-15,November-December 2022,2022
Joypurhat,Boro,0.7309364793817312,2022-01-15,April-May 2022,2022
Joypurhat,Aus,0.6337411953720844,2022-05-01,July-August 2022,2022
Joypurhat,Aman,0.8415886498124631,2022-08-15,November-December 2022,2022
Khagrachhari,Boro,0.7367263509266773,2022-01-15,April-May 2022,2022
Khagrachhari,Aus,0.8567181784749915,2022-05-01,July-August 2022,2022
Khagrachhari,Aman,0.8824389178567074,2022-08-15,November-December 2022,2022
Khulna,Boro,0.612300971310824,2022-01-15,April-May 2022,2022
Khulna,Aus,0.5482577692489531,2022-05-01,July-August 2022,2022
Khulna,Aman,0.6852244590434645,2022-08-15,November-December 2022,2022
Kishoreganj,Boro,0.7275889631991688,2022-01-15,April-May 2022,2022
Kishoreganj,Aus,0.42809649324123417,2022-05-01,July-August 2022,2022
Kishoreganj,Aman,0.48820136723454904,2022-08-15,November-December 2022,2022
Kurigram,Boro,0.5828427683715656,2022-01-15,April-May 2022,2022
Kurigram,Aus,0.5824513731297516,2022-05-01,July-August 2022,2022
Kurigram,Aman,0.6528840184283645,2022-08-15,November-December 2022,2022
Kushtia,Boro,0.6441063219476708,2022-01-15,April-May 2022,2022
Kushtia,Aus,0.7025277772383943,2022-05-01,July-August 2022,2022
Kushtia,Aman,0.7458425684639808,2022-08-15,November-December 2022,2022
Lakshmipur,Boro,0.6030015739983968,2022-01-15,April-May 2022,2022
Lakshmipur,Aus,0.6081889205226287,2022-05-01,July-August 2022,2022
Lakshmipur,Aman,0.6694744656828888,2022-08-15,November-December 2022,2022
Lalmonirhat,Boro,0.7306852137769612,2022-01-15,April-May 2022,2022
Lalmonirhat,Aus,0.6704919131052025,2022-05-01,July-August 2022,2022
Lalmonirhat,Aman,0.7889775531216114,2022-08-15,November-December 2022,2022
Madaripur,Boro,0.6483179660704341,2022-01-15,April-May 2022,2022
Madaripur,Aus,0.7043950483205511,2022-05-01,July-August 2022,2022
Madaripur,Aman,0.7111262529959279,2022-08-15,November-December 2022,2022
Magura,Boro,0.6672354805554837,2022-01-15,April-May 2022,2022
Magura,Aus,0.7392383444444376,2022-05-01,July-August 2022,2022
Magura,Aman,0.8186284194885411,2022-08-15,November-December 2022,2022
Manikganj,Boro,0.5983155520494191,2022-01-15,April-May 2022,2022
Manikganj,Aus,0.6349396806044393,2022-05-01,July-August 2022,2022
Manikganj,Aman,0.6210197240766505,2022-08-15,November-December 2022,2022
Maulvibazar,Boro,0.6598751929321625,2022-01-15,April-May 2022,2022
Maulvibazar,Aus,0.6866542466551029,2022-05-01,July-August 2022,2022
Maulvibazar,Aman,0.7706208591364975,2022-08-15,November-December 2022,2022
Meherpur,Boro,0.706950190743113,2022-01-15,April-May 2022,2022
Meherpur,Aus,0.7079319299791285,2022-05-01,July-August 2022,2022
Meherpur,Aman,0.7659750382907802,2022-08-15,November-December 2022,2022
Munshiganj,Boro,0.6611612479725353,2022-01-15,April-May 2022,2022
Munshiganj,Aus,0.6581214738900361,2022-05-01,July-August 2022,2022
Munshiganj,Aman,0.6728511311261379,2022-08-15,November-December 2022,2022
Mymensingh,Boro,0.7133417128556189,2022-01-15,April-May 2022,2022
Mymensingh,Aus,0.6872289055642988,2022-05-01,July-August 2022,2022
Mymensingh,Aman,0.79974630618215,2022-08-15,November-December 2022,2022
Naogaon,Boro,0.7376893881620418,2022-01-15,April-May 2022,2022
Naogaon,Aus,0.601841087945496,2022-05-01,July-August 2022,2022
Naogaon,Aman,0.8116049429297865,2022-08-15,November-December 2022,2022
Narail,Boro,0.6856992479610642,2022-01-15,April-May 2022,2022
Narail,Aus,0.7136246057033164,2022-05-01,July-August 2022,2022
Narail,Aman,0.7507974345184428,2022-08-15,November-December 2022,2022
Narayanganj,Boro,0.5803344645312383,2022-01-15,April-May 2022,2022
Narayanganj,Aus,0.6261158077774538,2022-05-01,July-August 2022,2022
Narayanganj,Aman,0.633250234688459,2022-08-15,November-December 2022,2022
Narsingdi,Boro,0.6814989893515976,2022-01-15,April-May 2022,2022
Narsingdi,Aus,0.6827127970957932,2022-05-01,July-August 2022,2022
Narsingdi,Aman,0.7231118913012393,2022-08-15,November-December 2022,2022
Natore,Boro,0.7075289551345828,2022-01-15,April-May 2022,2022
Natore,Aus,0.6877447481615891,2022-05-01,July-August 2022,2022
Natore,Aman,0.7494520033307537,2022-08-15,November-December 2022,2022
Nawabganj,Boro,0.6584256606141781,2022-01-15,April-May 2022,2022
Nawabganj,Aus,0.6331630022915882,2022-05-01,July-August 2022,2022
Nawabganj,Aman,0.7243031878463043,2022-08-15,November-December 2022,2022
Netrakona,Boro,0.7491447887378,2022-01-15,April-May 2022,2022
Netrakona,Aus,0.47997335030249827,2022-05-01,July-August 2022,2022
Netrakona,Aman,0.6159455660183513,2022-08-15,November-December 2022,2022
Nilphamari,Boro,0.7666717072081076,2022-01-15,April-May 2022,2022
Nilphamari,Aus,0.6274825370669417,2022-05-01,July-August 2022,2022
Nilphamari,Aman,0.8102105531093459,2022-08-15,November-December 2022,2022
Noakhali,Boro,0.6259073674659467,2022-01-15,April-May 2022,2022
Noakhali,Aus,0.678022989052653,2022-05-01,July-August 2022,2022
Noakhali,Aman,0.7740417244207647,2022-08-15,November-December 2022,2022
Pabna,Boro,0.6294478224985053,2022-01-15,April-May 2022,2022
Pabna,Aus,0.7102173584787272,2022-05-01,July-August 2022,2022
Pabna,Aman,0.7171364120006135,2022-08-15,November-December 2022,2022
Panchagarh,Boro,0.7843079193063154,2022-01-15,April-May 2022,2022
Panchagarh,Aus,0.7215755246817863,2022-05-01,July-August 2022,2022
Panchagarh,Aman,0.8378221530555134,2022-08-15,November-December 2022,2022
Patuakhali,Boro,0.5288531211314328,2022-01-15,April-May 2022,2022
Patuakhali,Aus,0.600541184377229,2022-05-01,July-August 2022,2022
Patuakhali,Aman,0.7226309793271323,2022-08-15,November-December 2022,2022
Pirojpur,Boro,0.6279405347316983,2022-01-15,April-May 2022,2022
Pirojpur,Aus,0.689303114102203,2022-05-01,July-August 2022,2022
Pirojpur,Aman,0.7693111546389758,2022-08-15,November-December 2022,2022
Rajbari,Boro,0.575630025126097,2022-01-15,April-May 2022,2022
Rajbari,Aus,0.7059838503393808,2022-05-01,July-August 2022,2022
Rajbari,Aman,0.7080572656899898,2022-08-15,November-December 2022,2022
Rajshahi,Boro,0.6394445741363344,2022-01-15,April-May 2022,2022
Rajshahi,Aus,0.6357309612654242,2022-05-01,July-August 2022,2022
Rajshahi,Aman,0.7337238230782789,2022-08-15,November-December 2022,2022
Rangamati,Boro,0.7498716522434975,2022-01-15,April-May 2022,2022
Rangamati,Aus,0.8411961847301653,2022-05-01,July-August 2022,2022
Rangamati,Aman,0.8644574483567383,2022-08-15,November-December 2022,2022
Rangpur,Boro,0.7100738354162844,2022-01-15,April-May 2022,2022
Rangpur,Aus,0.6524053828669061,2022-05-01,July-August 2022,2022
Rangpur,Aman,0.8216487682535976,2022-08-15,November-December 2022,2022
Satkhira,Boro,0.6001525894140789,2022-01-15,April-May 2022,2022
Satkhira,Aus,0.516004068245699,2022-05-01,July-August 2022,2022
Satkhira,Aman,0.6547529397890196,2022-08-15,November-December 2022,2022
Shariatpur,Boro,0.6093550931975875,2022-01-15,April-May 2022,2022
Shariatpur,Aus,0.668591807983922,2022-05-01,July-August 2022,2022
Shariatpur,Aman,0.6418432738462047,2022-08-15,November-December 2022,2022
Sherpur,Boro,0.7542907970054804,2022-01-15,April-May 2022,2022
Sherpur,Aus,0.6645874053559058,2022-05-01,July-August 2022,2022
Sherpur,Aman,0.8041944307088046,2022-08-15,November-December 2022,2022
Sirajganj,Boro,0.6301290318718753,2022-01-15,April-May 2022,2022
Sirajganj,Aus,0.5555915225881777,2022-05-01,July-August 2022,2022
Sirajganj,Aman,0.609812248568209,2022-08-15,November-December 2022,2022
Sunamganj,Boro,0.6984171061611956,2022-01-15,April-May 2022,2022
Sunamganj,Aus,0.2756851630132497,2022-05-01,July-August 2022,2022
Sunamganj,Aman,0.3517592201003077,2022-08-15,November-December 2022,2022
Sylhet,Boro,0.6320898630925991,2022-01-15,April-May 2022,2022
Sylhet,Aus,0.47898681542874993,2022-05-01,July-August 2022,2022
Sylhet,Aman,0.6775028427137408,2022-08-15,November-December 2022,2022
Tangail,Boro,0.691521553895088,2022-01-15,April-May 2022,2022
Tangail,Aus,0.6891484185654834,2022-05-01,July-August 2022,2022
Tangail,Aman,0.7493627105789226,2022-08-15,November-December 2022,2022
Thakurgaon,Boro,0.7213572896258544,2022-01-15,April-May 2022,2022
Thakurgaon,Aus,0.7163954299012317,2022-05-01,July-August 2022,2022
Thakurgaon,Aman,0.8438192648297206,2022-08-15,November-December 2022,2022
