name,lat,lon
Bagerhat,22.6602,89.7895
Bandarban,22.1953,92.2184
Barguna,22.152,90.1182
Barisal,22.701,90.3535
Bhola,22.6859,90.6482
Bogra,24.8481,89.373
Brahmanbaria,23.9571,91.1119
Chandpur,23.2333,90.6667
Chapai Nawabganj,24.5965,88.2775
Chattogram,22.335,91.8325
Chuadanga,23.6402,88.8418
Comilla,23.4607,91.1809
Cox's Bazar,21.4272,92.0058
Dhaka,23.8103,90.4125
Dinajpur,25.6217,88.6355
Faridpur,23.6071,89.8429
Feni,23.0186,91.3966
Gaibandha,25.3288,89.5281
Gazipur,24.0023,90.4264
Gopalganj,23.0051,89.8265
Habiganj,24.3749,91.4155
Jamalpur,24.9375,89.9378
Jessore,23.1664,89.2081
Jhalokati,22.6406,90.1987
Jhenaidah,23.545,89.1726
Joypurhat,25.1017,89.0227
Khagrachari,23.1116,91.9906
Khulna,22.8157,89.5644
Kishoreganj,24.4449,90.7766
Kurigram,25.8054,89.6362
Kushtia,23.9013,89.1205
Lakshmipur,22.9425,90.8411
Lalmonirhat,25.9165,89.4532
Madaripur,23.1641,90.1897
Magura,23.4873,89.4198
Manikganj,23.8644,90.0047
Meherpur,23.7622,88.6318
Moulvibazar,24.4829,91.7774
Munshiganj,23.5422,90.5305
Mymensingh,24.7471,90.4203
Naogaon,24.7936,88.9318
Narail,23.1725,89.5127
Narayanganj,23.6337,90.4964
Narsingdi,23.9322,90.7154
Natore,24.4206,89.0006
Netrokona,24.8709,90.7279
Nilphamari,25.9318,88.856
Noakhali,22.8696,91.0994
Pabna,24.0064,89.2544
Panchagarh,26.3411,88.5542
Patuakhali,22.3596,90.3299
Pirojpur,22.5841,89.972
Rajbari,23.7574,89.6445
Rajshahi,24.3745,88.6042
Rangamati,22.6533,92.1789
Rangpur,25.7485,89.2467
Satkhira,22.7185,89.0705
Shariatpur,23.206,90.3478
Sherpur,25.0205,90.0153
Sirajganj,24.4534,89.7008
Sunamganj,25.0658,91.395
Sylhet,24.8898,91.8697
Tangail,24.2513,89.9167
Thakurgaon,26.0337,88.4617
