District,Year,Month,Month_Name,NDVI,Method,Source,Image_Count,Date_Range,Notes,Is_Real_Data
Bagerhat,2022,1,January,0.48891949029678733,S2-Standard,Sentinel-2,27,2022-01-01 to 2022-02-01,,True
Bagerhat,2022,2,February,0.533074061065529,S2-Standard,Sentinel-2,19,2022-02-01 to 2022-03-01,,True
Bagerhat,2022,3,March,0.5711876241926808,S2-Standard,Sentinel-2,24,2022-03-01 to 2022-04-01,,True
Bagerhat,2022,4,April,0.28447930132894633,S2-Standard,Sentinel-2,22,2022-04-01 to 2022-05-01,,True
Bagerhat,2022,5,May,0.26704047212984566,S2-Standard,Sentinel-2,24,2022-05-01 to 2022-06-01,,True
Bagerhat,2022,6,June,0.20938286235165993,S2-Standard,Sentinel-2,11,2022-06-01 to 2022-07-01,,True
Bagerhat,2022,7,July,0.30768509505237823,S2-Standard,Sentinel-2,16,2022-07-01 to 2022-08-01,,True
Bagerhat,2022,8,August,0.36797252036576006,S2-Standard,Sentinel-2,11,2022-08-01 to 2022-09-01,,True
Bagerhat,2022,9,September,0.48683511318759765,S2-Standard,Sentinel-2,16,2022-09-01 to 2022-10-01,,True
Bagerhat,2022,10,October,0.5549719290375441,S2-Standard,Sentinel-2,16,2022-10-01 to 2022-11-01,,True
Bagerhat,2022,11,November,0.6214849029628107,S2-Standard,Sentinel-2,26,2022-11-01 to 2022-12-01,,True
Bagerhat,2022,12,December,0.45405543896405376,S2-Standard,Sentinel-2,22,2022-12-01 to 2023-01-01,,True
Bandarban,2022,1,January,0.763617739914739,S2-Standard,Sentinel-2,23,2022-01-01 to 2022-02-01,,True
Bandarban,2022,2,February,0.6821383327059017,S2-Standard,Sentinel-2,24,2022-02-01 to 2022-03-01,,True
Bandarban,2022,3,March,0.5676824803630925,S2-Standard,Sentinel-2,24,2022-03-01 to 2022-04-01,,True
Bandarban,2022,4,April,0.3876779567270571,S2-Standard,Sentinel-2,24,2022-04-01 to 2022-05-01,,True
Bandarban,2022,5,May,0.2612788417491431,S2-Standard,Sentinel-2,16,2022-05-01 to 2022-06-01,,True
Bandarban,2022,6,June,0.4365742393395427,S2-Standard,Sentinel-2,15,2022-06-01 to 2022-07-01,,True
Bandarban,2022,7,July,0.5380354289240772,S2-Standard,Sentinel-2,19,2022-07-01 to 2022-08-01,,True
Bandarban,2022,8,August,0.4875178800779642,S2-Standard,Sentinel-2,19,2022-08-01 to 2022-09-01,,True
Bandarban,2022,9,September,0.38627152337776727,S2-Standard,Sentinel-2,8,2022-09-01 to 2022-10-01,,True
Bandarban,2022,10,October,0.7430366041768727,S2-Standard,Sentinel-2,24,2022-10-01 to 2022-11-01,,True
Bandarban,2022,11,November,0.7636090237183978,S2-Standard,Sentinel-2,23,2022-11-01 to 2022-12-01,,True
Bandarban,2022,12,December,0.7680437191871492,S2-Standard,Sentinel-2,24,2022-12-01 to 2023-01-01,,True
Barguna,2022,1,January,0.34995068108240013,S2-Standard,Sentinel-2,19,2022-01-01 to 2022-02-01,,True
Barguna,2022,2,February,0.291063589685606,S2-Standard,Sentinel-2,15,2022-02-01 to 2022-03-01,,True
Barguna,2022,3,March,0.3352139518717137,S2-Standard,Sentinel-2,18,2022-03-01 to 2022-04-01,,True
Barguna,2022,4,April,0.2876097437686987,S2-Standard,Sentinel-2,18,2022-04-01 to 2022-05-01,,True
Barguna,2022,5,May,0.3323424160378924,S2-Standard,Sentinel-2,17,2022-05-01 to 2022-06-01,,True
Barguna,2022,6,June,0.20998022756664295,S2-Standard,Sentinel-2,8,2022-06-01 to 2022-07-01,,True
Barguna,2022,7,July,0.3334017153350163,S2-Standard,Sentinel-2,10,2022-07-01 to 2022-08-01,,True
Barguna,2022,8,August,0.17251158501012645,S2-Standard,Sentinel-2,7,2022-08-01 to 2022-09-01,,True
Barguna,2022,9,September,0.33107584025259573,S2-Standard,Sentinel-2,12,2022-09-01 to 2022-10-01,,True
Barguna,2022,10,October,0.5890323017558614,S2-Standard,Sentinel-2,12,2022-10-01 to 2022-11-01,,True
Barguna,2022,11,November,0.6701243948177539,S2-Standard,Sentinel-2,21,2022-11-01 to 2022-12-01,,True
Barguna,2022,12,December,0.46625582469272836,S2-Standard,Sentinel-2,18,2022-12-01 to 2023-01-01,,True
Barisal,2022,1,January,0.291607379510426,S2-Standard,Sentinel-2,33,2022-01-01 to 2022-02-01,,True
Barisal,2022,2,February,0.25338589032288017,S2-Standard,Sentinel-2,24,2022-02-01 to 2022-03-01,,True
Barisal,2022,3,March,0.43248229774155,S2-Standard,Sentinel-2,30,2022-03-01 to 2022-04-01,,True
Barisal,2022,4,April,0.31001690889377387,S2-Standard,Sentinel-2,27,2022-04-01 to 2022-05-01,,True
Barisal,2022,5,May,0.30953500293412506,S2-Standard,Sentinel-2,27,2022-05-01 to 2022-06-01,,True
Barisal,2022,6,June,0.19334595895309384,S2-Standard,Sentinel-2,15,2022-06-01 to 2022-07-01,,True
Barisal,2022,7,July,0.3245837439937262,S2-Standard,Sentinel-2,19,2022-07-01 to 2022-08-01,,True
Barisal,2022,8,August,0.1904844619362955,S2-Standard,Sentinel-2,15,2022-08-01 to 2022-09-01,,True
Barisal,2022,9,September,0.3272113771710582,S2-Standard,Sentinel-2,20,2022-09-01 to 2022-10-01,,True
Barisal,2022,10,October,0.5411183729753246,S2-Standard,Sentinel-2,20,2022-10-01 to 2022-11-01,,True
Barisal,2022,11,November,0.5307537456864099,S2-Standard,Sentinel-2,30,2022-11-01 to 2022-12-01,,True
Barisal,2022,12,December,0.372827378606825,S2-Standard,Sentinel-2,27,2022-12-01 to 2023-01-01,,True
Bhola,2022,1,January,0.21680869163097535,S2-Standard,Sentinel-2,26,2022-01-01 to 2022-02-01,,True
Bhola,2022,2,February,0.24321732776046306,S2-Standard,Sentinel-2,20,2022-02-01 to 2022-03-01,,True
Bhola,2022,3,March,0.30106548800494626,S2-Standard,Sentinel-2,24,2022-03-01 to 2022-04-01,,True
Bhola,2022,4,April,0.22463230169395318,S2-Standard,Sentinel-2,22,2022-04-01 to 2022-05-01,,True
Bhola,2022,5,May,0.1946286534864403,S2-Standard,Sentinel-2,20,2022-05-01 to 2022-06-01,,True
Bhola,2022,6,June,0.17000066755774684,S2-Standard,Sentinel-2,12,2022-06-01 to 2022-07-01,,True
Bhola,2022,7,July,0.1855874177236102,S2-Standard,Sentinel-2,14,2022-07-01 to 2022-08-01,,True
Bhola,2022,8,August,0.0628187267415414,S2-Standard,Sentinel-2,13,2022-08-01 to 2022-09-01,,True
Bhola,2022,9,September,0.23346590557421398,S2-Standard,Sentinel-2,16,2022-09-01 to 2022-10-01,,True
Bhola,2022,10,October,0.4215271980368956,S2-Standard,Sentinel-2,16,2022-10-01 to 2022-11-01,,True
Bhola,2022,11,November,0.42951906960799735,S2-Standard,Sentinel-2,26,2022-11-01 to 2022-12-01,,True
Bhola,2022,12,December,0.2620954557342561,S2-Standard,Sentinel-2,22,2022-12-01 to 2023-01-01,,True
Bogra,2022,1,January,0.31242803126164737,S2-Standard,Sentinel-2,12,2022-01-01 to 2022-02-01,,True
Bogra,2022,2,February,0.39079019587715896,S2-Standard,Sentinel-2,16,2022-02-01 to 2022-03-01,,True
Bogra,2022,3,March,0.5031143822226227,S2-Standard,Sentinel-2,18,2022-03-01 to 2022-04-01,,True
Bogra,2022,4,April,0.39745578195031495,S2-Standard,Sentinel-2,14,2022-04-01 to 2022-05-01,,True
Bogra,2022,5,May,0.27646876806829784,S2-Standard,Sentinel-2,15,2022-05-01 to 2022-06-01,,True
Bogra,2022,6,June,0.11863137633394895,S2-Standard,Sentinel-2,4,2022-06-01 to 2022-07-01,,True
Bogra,2022,7,July,0.2857453203994977,S2-Standard,Sentinel-2,9,2022-07-01 to 2022-08-01,,True
Bogra,2022,8,August,0.14584544637230867,S2-Standard,Sentinel-2,12,2022-08-01 to 2022-09-01,,True
Bogra,2022,9,September,0.2859644007903595,S2-Standard,Sentinel-2,10,2022-09-01 to 2022-10-01,,True
Bogra,2022,10,October,0.6043189721273731,S2-Standard,Sentinel-2,19,2022-10-01 to 2022-11-01,,True
Bogra,2022,11,November,0.4866866462303992,S2-Standard,Sentinel-2,18,2022-11-01 to 2022-12-01,,True
Bogra,2022,12,December,0.31443415265190144,S2-Standard,Sentinel-2,16,2022-12-01 to 2023-01-01,,True
Brahamanbaria,2022,1,January,0.2811509765621612,S2-Standard,Sentinel-2,21,2022-01-01 to 2022-02-01,,True
Brahamanbaria,2022,2,February,0.39091901948184715,S2-Standard,Sentinel-2,12,2022-02-01 to 2022-03-01,,True
Brahamanbaria,2022,3,March,0.6120203918074798,S2-Standard,Sentinel-2,18,2022-03-01 to 2022-04-01,,True
Brahamanbaria,2022,4,April,0.4667222562628336,S2-Standard,Sentinel-2,15,2022-04-01 to 2022-05-01,,True
Brahamanbaria,2022,5,May,0.23711682970037842,S2-Standard,Sentinel-2,15,2022-05-01 to 2022-06-01,,True
Brahamanbaria,2022,6,June,0.05715390998371294,S2-Standard,Sentinel-2,7,2022-06-01 to 2022-07-01,,True
Brahamanbaria,2022,7,July,0.18806460157237104,S2-Standard,Sentinel-2,6,2022-07-01 to 2022-08-01,,True
Brahamanbaria,2022,8,August,0.22315729148974056,S2-Standard,Sentinel-2,16,2022-08-01 to 2022-09-01,,True
Brahamanbaria,2022,9,September,0.24307119041918385,S2-Standard,Sentinel-2,10,2022-09-01 to 2022-10-01,,True
Brahamanbaria,2022,10,October,0.41834569170310004,S2-Standard,Sentinel-2,13,2022-10-01 to 2022-11-01,,True
Brahamanbaria,2022,11,November,0.4832769726821609,S2-Standard,Sentinel-2,18,2022-11-01 to 2022-12-01,,True
Brahamanbaria,2022,12,December,0.33471519911175396,S2-Standard,Sentinel-2,18,2022-12-01 to 2023-01-01,,True
Chandpur,2022,1,January,0.303030026749074,S2-Standard,Sentinel-2,28,2022-01-01 to 2022-02-01,,True
Chandpur,2022,2,February,0.3913421262911484,S2-Standard,Sentinel-2,18,2022-02-01 to 2022-03-01,,True
Chandpur,2022,3,March,0.48596745738523855,S2-Standard,Sentinel-2,24,2022-03-01 to 2022-04-01,,True
Chandpur,2022,4,April,0.2824497786894116,S2-Standard,Sentinel-2,20,2022-04-01 to 2022-05-01,,True
Chandpur,2022,5,May,0.24428495099865305,S2-Standard,Sentinel-2,20,2022-05-01 to 2022-06-01,,True
Chandpur,2022,6,June,0.2069406843342435,S2-Standard,Sentinel-2,11,2022-06-01 to 2022-07-01,,True
Chandpur,2022,7,July,0.3248166463103474,S2-Standard,Sentinel-2,12,2022-07-01 to 2022-08-01,,True
Chandpur,2022,8,August,0.21569112864249743,S2-Standard,Sentinel-2,18,2022-08-01 to 2022-09-01,,True
Chandpur,2022,9,September,0.2851182395817753,S2-Standard,Sentinel-2,14,2022-09-01 to 2022-10-01,,True
Chandpur,2022,10,October,0.5270362529660546,S2-Standard,Sentinel-2,16,2022-10-01 to 2022-11-01,,True
Chandpur,2022,11,November,0.511193701275472,S2-Standard,Sentinel-2,24,2022-11-01 to 2022-12-01,,True
Chandpur,2022,12,December,0.4066104245438057,S2-Standard,Sentinel-2,22,2022-12-01 to 2023-01-01,,True
Chittagong,2022,1,January,0.5249827607431998,S2-Standard,Sentinel-2,34,2022-01-01 to 2022-02-01,,True
Chittagong,2022,2,February,0.5031925773161925,S2-Standard,Sentinel-2,32,2022-02-01 to 2022-03-01,,True
Chittagong,2022,3,March,0.48029037718540446,S2-Standard,Sentinel-2,35,2022-03-01 to 2022-04-01,,True
Chittagong,2022,4,April,0.34061327857655416,S2-Standard,Sentinel-2,35,2022-04-01 to 2022-05-01,,True
Chittagong,2022,5,May,0.291756878234579,S2-Standard,Sentinel-2,26,2022-05-01 to 2022-06-01,,True
Chittagong,2022,6,June,0.29688271503003394,S2-Standard,Sentinel-2,21,2022-06-01 to 2022-07-01,,True
Chittagong,2022,7,July,0.4592212447118667,S2-Standard,Sentinel-2,24,2022-07-01 to 2022-08-01,,True
Chittagong,2022,8,August,0.24720742715273242,S2-Standard,Sentinel-2,26,2022-08-01 to 2022-09-01,,True
Chittagong,2022,9,September,0.43682713308340887,S2-Standard,Sentinel-2,24,2022-09-01 to 2022-10-01,,True
Chittagong,2022,10,October,0.6563726676016034,S2-Standard,Sentinel-2,32,2022-10-01 to 2022-11-01,,True
Chittagong,2022,11,November,0.6490491736260601,S2-Standard,Sentinel-2,36,2022-11-01 to 2022-12-01,,True
Chittagong,2022,12,December,0.5418237288330188,S2-Standard,Sentinel-2,36,2022-12-01 to 2023-01-01,,True
Chuadanga,2022,1,January,0.5031852308806458,S2-Standard,Sentinel-2,12,2022-01-01 to 2022-02-01,,True
Chuadanga,2022,2,February,0.5937943182711736,S2-Standard,Sentinel-2,17,2022-02-01 to 2022-03-01,,True
Chuadanga,2022,3,March,0.6064678529651709,S2-Standard,Sentinel-2,18,2022-03-01 to 2022-04-01,,True
Chuadanga,2022,4,April,0.4685908909016339,S2-Standard,Sentinel-2,18,2022-04-01 to 2022-05-01,,True
Chuadanga,2022,5,May,0.37296792579872107,S2-Standard,Sentinel-2,14,2022-05-01 to 2022-06-01,,True
Chuadanga,2022,6,June,0.3525594225872085,S2-Standard,Sentinel-2,6,2022-06-01 to 2022-07-01,,True
Chuadanga,2022,7,July,0.31294353375405837,S2-Standard,Sentinel-2,12,2022-07-01 to 2022-08-01,,True
Chuadanga,2022,8,August,0.40485327790915865,S2-Standard,Sentinel-2,12,2022-08-01 to 2022-09-01,,True
Chuadanga,2022,9,September,0.1390385944438268,S2-Standard,Sentinel-2,9,2022-09-01 to 2022-10-01,,True
Chuadanga,2022,10,October,0.6058950868858013,S2-Standard,Sentinel-2,21,2022-10-01 to 2022-11-01,,True
Chuadanga,2022,11,November,0.5781108306077708,S2-Standard,Sentinel-2,18,2022-11-01 to 2022-12-01,,True
Chuadanga,2022,12,December,0.44809051568805824,S2-Standard,Sentinel-2,18,2022-12-01 to 2023-01-01,,True
Comilla,2022,1,January,0.3645708248943419,S2-Standard,Sentinel-2,41,2022-01-01 to 2022-02-01,,True
Comilla,2022,2,February,0.4346417753677448,S2-Standard,Sentinel-2,26,2022-02-01 to 2022-03-01,,True
Comilla,2022,3,March,0.5910383419566766,S2-Standard,Sentinel-2,36,2022-03-01 to 2022-04-01,,True
Comilla,2022,4,April,0.27995731400614343,S2-Standard,Sentinel-2,31,2022-04-01 to 2022-05-01,,True
Comilla,2022,5,May,0.26617856230561515,S2-Standard,Sentinel-2,30,2022-05-01 to 2022-06-01,,True
Comilla,2022,6,June,0.13379737605856418,S2-Standard,Sentinel-2,16,2022-06-01 to 2022-07-01,,True
Comilla,2022,7,July,0.4432566265522507,S2-Standard,Sentinel-2,17,2022-07-01 to 2022-08-01,,True
Comilla,2022,8,August,0.23420267990416166,S2-Standard,Sentinel-2,30,2022-08-01 to 2022-09-01,,True
Comilla,2022,9,September,0.34875960831302844,S2-Standard,Sentinel-2,23,2022-09-01 to 2022-10-01,,True
Comilla,2022,10,October,0.6260474113432829,S2-Standard,Sentinel-2,26,2022-10-01 to 2022-11-01,,True
Comilla,2022,11,November,0.6332118144284202,S2-Standard,Sentinel-2,36,2022-11-01 to 2022-12-01,,True
Comilla,2022,12,December,0.4591086341017765,S2-Standard,Sentinel-2,34,2022-12-01 to 2023-01-01,,True
Cox's Bazar,2022,1,January,0.4603922198041147,S2-Standard,Sentinel-2,29,2022-01-01 to 2022-02-01,,True
Cox's Bazar,2022,2,February,0.46134616449229254,S2-Standard,Sentinel-2,30,2022-02-01 to 2022-03-01,,True
Cox's Bazar,2022,3,March,0.4628693746612334,S2-Standard,Sentinel-2,30,2022-03-01 to 2022-04-01,,True
Cox's Bazar,2022,4,April,0.362233654035479,S2-Standard,Sentinel-2,30,2022-04-01 to 2022-05-01,,True
Cox's Bazar,2022,5,May,0.280567372051847,S2-Standard,Sentinel-2,21,2022-05-01 to 2022-06-01,,True
Cox's Bazar,2022,6,June,0.3290250380015852,S2-Standard,Sentinel-2,18,2022-06-01 to 2022-07-01,,True
Cox's Bazar,2022,7,July,0.3617584244219423,S2-Standard,Sentinel-2,23,2022-07-01 to 2022-08-01,,True
Cox's Bazar,2022,8,August,0.3524293584290747,S2-Standard,Sentinel-2,23,2022-08-01 to 2022-09-01,,True
Cox's Bazar,2022,9,September,0.28665258499581064,S2-Standard,Sentinel-2,9,2022-09-01 to 2022-10-01,,True
Cox's Bazar,2022,10,October,0.5920513052550939,S2-Standard,Sentinel-2,29,2022-10-01 to 2022-11-01,,True
Cox's Bazar,2022,11,November,0.5181658529893575,S2-Standard,Sentinel-2,29,2022-11-01 to 2022-12-01,,True
Cox's Bazar,2022,12,December,0.47975968049309703,S2-Standard,Sentinel-2,30,2022-12-01 to 2023-01-01,,True
Dhaka,2022,1,January,0.3532928976505518,S2-Standard,Sentinel-2,19,2022-01-01 to 2022-02-01,,True
Dhaka,2022,2,February,0.34476729259108607,S2-Standard,Sentinel-2,12,2022-02-01 to 2022-03-01,,True
Dhaka,2022,3,March,0.4340019668066029,S2-Standard,Sentinel-2,18,2022-03-01 to 2022-04-01,,True
Dhaka,2022,4,April,0.20532801977502396,S2-Standard,Sentinel-2,14,2022-04-01 to 2022-05-01,,True
Dhaka,2022,5,May,0.2739750686969379,S2-Standard,Sentinel-2,16,2022-05-01 to 2022-06-01,,True
Dhaka,2022,6,June,0.2388020657596918,S2-Standard,Sentinel-2,8,2022-06-01 to 2022-07-01,,True
Dhaka,2022,7,July,0.2359514042907517,S2-Standard,Sentinel-2,8,2022-07-01 to 2022-08-01,,True
Dhaka,2022,8,August,0.16170853688104717,S2-Standard,Sentinel-2,13,2022-08-01 to 2022-09-01,,True
Dhaka,2022,9,September,0.3278518747499494,S2-Standard,Sentinel-2,10,2022-09-01 to 2022-10-01,,True
Dhaka,2022,10,October,0.42014379344061004,S2-Standard,Sentinel-2,12,2022-10-01 to 2022-11-01,,True
Dhaka,2022,11,November,0.46376155232326266,S2-Standard,Sentinel-2,18,2022-11-01 to 2022-12-01,,True
Dhaka,2022,12,December,0.37295817061241476,S2-Standard,Sentinel-2,17,2022-12-01 to 2023-01-01,,True
Dinajpur,2022,1,January,0.3363010381782366,S2-Standard,Sentinel-2,13,2022-01-01 to 2022-02-01,,True
Dinajpur,2022,2,February,0.40423359909132023,S2-Standard,Sentinel-2,24,2022-02-01 to 2022-03-01,,True
Dinajpur,2022,3,March,0.5768919544682428,S2-Standard,Sentinel-2,22,2022-03-01 to 2022-04-01,,True
Dinajpur,2022,4,April,0.3864902076658625,S2-Standard,Sentinel-2,18,2022-04-01 to 2022-05-01,,True
Dinajpur,2022,5,May,0.3916540989397346,S2-Standard,Sentinel-2,17,2022-05-01 to 2022-06-01,,True
Dinajpur,2022,6,June,0.06547333308727914,S2-Standard,Sentinel-2,6,2022-06-01 to 2022-07-01,,True
Dinajpur,2022,7,July,0.1911947455467423,S2-Standard,Sentinel-2,16,2022-07-01 to 2022-08-01,,True
