District,Month,Year,NDVI_Mean
Barisal,1,2022,0.4433129634987855
Bhola,1,2022,0.3499982646616319
Jhalokati,1,2022,0.5582865503508389
Patuakhali,1,2022,0.4087035386733936
Pirojpur,1,2022,0.578720013838335
Bandarban,1,2022,0.8088997390687608
Brahamanbaria,1,2022,0.4208407569220552
Chandpur,1,2022,0.4707137486471271
Chittagong,1,2022,0.5820001879666242
Comilla,1,2022,0.5140300002846746
Cox's Bazar,1,2022,0.4965108768863763
Feni,1,2022,0.4725355008018269
Khagrachhari,1,2022,0.7630321586931057
Lakshmipur,1,2022,0.45330665713125773
Noakhali,1,2022,0.4867233546017849
Rangamati,1,2022,0.7691531603006916
Dhaka,1,2022,0.49340076215680456
Faridpur,1,2022,0.5187226672959375
Gazipur,1,2022,0.5930240971618297
Gopalganj,1,2022,0.5758814990124022
Jamalpur,1,2022,0.44033214272852955
Kishoreganj,1,2022,0.4999304096250543
Madaripur,1,2022,0.5317225152543935
Manikganj,1,2022,0.525448631795568
Munshiganj,1,2022,0.49611511388598184
Mymensingh,1,2022,0.42511354149806413
Narayanganj,1,2022,0.5002598083998555
Narsingdi,1,2022,0.5801847037864287
Netrakona,1,2022,0.3678686000989044
Rajbari,1,2022,0.45643370776929737
Shariatpur,1,2022,0.4943668259131939
Sherpur,1,2022,0.4051697318287077
Tangail,1,2022,0.5643437763981771
Bagerhat,1,2022,0.5557671705784588
Chuadanga,1,2022,0.5797135415375008
Jessore,1,2022,0.5227997563903519
Jhenaidah,1,2022,0.5373511024945893
Khulna,1,2022,0.4975238381428616
Kushtia,1,2022,0.5389225457713849
Magura,1,2022,0.5315928327090628
Meherpur,1,2022,0.5952062130385245
Narail,1,2022,0.5195752923819489
Satkhira,1,2022,0.4783860039828441
Habiganj,1,2022,0.38571338720749637
Maulvibazar,1,2022,0.5093585509790833
Sunamganj,1,2022,0.40043503175671125
Sylhet,1,2022,0.44459240395723426
Bogra,1,2022,0.35265686227246795
Joypurhat,1,2022,0.4811357462106508
Naogaon,1,2022,0.3617199062965898
Natore,1,2022,0.48389904769066333
Nawabganj,1,2022,0.44060815114618673
Pabna,1,2022,0.5144377863506117
Rajshahi,1,2022,0.47812323298928294
Sirajganj,1,2022,0.4272645632250976
Dinajpur,1,2022,0.3694464194526695
Gaibandha,1,2022,0.2716475541670655
Kurigram,1,2022,0.2984343091444179
Lalmonirhat,1,2022,0.42332138700400995
Nilphamari,1,2022,0.37609341426325366
Panchagarh,1,2022,0.33609059603217617
Rangpur,1,2022,0.3494708669980703
Thakurgaon,1,2022,0.4936211427931336
Barguna,1,2022,0.45287335360550207
Barisal,2,2022,0.4774946161609115
Bhola,2,2022,0.3572810965204697
Jhalokati,2,2022,0.5421376585215975
Patuakhali,2,2022,0.3633946221678164
Pirojpur,2,2022,0.5429463636851306
Bandarban,2,2022,0.7528478214439512
Brahamanbaria,2,2022,0.5964449288413793
Chandpur,2,2022,0.546631967477798
Chittagong,2,2022,0.5545927440217778
Comilla,2,2022,0.5812224790412682
Cox's Bazar,2,2022,0.4964981193261342
Feni,2,2022,0.4870688794995122
Khagrachhari,2,2022,0.702495242654915
Lakshmipur,2,2022,0.45301258612887496
Noakhali,2,2022,0.5166011874404479
Rangamati,2,2022,0.7019676836575323
Dhaka,2,2022,0.5031253619342032
Faridpur,2,2022,0.5638425699188138
Gazipur,2,2022,0.5716368112520851
