Bulk_Density,Clay,Nitrogen,pH,Sand,Silt,Organic_Carbon,District
120.0,275.0,369.0,57.0,215.0,509.0,325.0,Bagerhat
114.0,289.0,360.0,55.0,381.0,330.0,379.0,Bandarban
123.0,308.0,303.0,57.0,216.0,476.0,388.0,Barguna
,,,,,,,Barishal
125.0,309.0,256.0,56.0,266.0,426.0,288.0,Bhola
,,,,,,,Bogura
122.0,301.0,185.0,54.0,298.0,401.0,222.0,Brahmanbaria
,,,,,,,Chandpur
,,,,,,,Chapai Nawabganj
,,,,,,,Chattogram
,,,,,,,Chuadanga
127.0,305.0,223.0,55.0,384.0,312.0,245.0,CoxsBazar
,,,,,,,Cumilla
,,,,,,,Dhaka
,,,,,,,Dinajpur
,,,,,,,Faridpur
,,,,,,,Feni
134.0,303.0,166.0,57.0,292.0,405.0,188.0,Gaibandha
,,,,,,,Gazipur
124.0,276.0,274.0,56.0,236.0,489.0,314.0,Gopalganj
,,,,,,,Habiganj
,,,,,,,Jamalpur
,,,,,,,Jashore
,,,,,,,Jhalokati
,,,,,,,Jhenaidah
127.0,363.0,136.0,64.0,234.0,402.0,156.0,Joypurhat
124.0,266.0,151.0,54.0,324.0,410.0,168.0,Khagrachari
120.0,327.0,427.0,59.0,183.0,490.0,564.0,Khulna
,,,,,,,Kishoreganj
,,,,,,,Kurigram
,,,,,,,Kushtia
124.0,310.0,349.0,56.0,331.0,359.0,312.0,Lakshmipur
,,,,,,,Lalmonirhat
122.0,296.0,335.0,56.0,281.0,423.0,252.0,Madaripur
124.0,308.0,180.0,61.0,187.0,505.0,377.0,Magura
129.0,315.0,173.0,57.0,259.0,426.0,191.0,Manikganj
128.0,380.0,148.0,65.0,175.0,445.0,221.0,Meherpur
128.0,244.0,222.0,55.0,431.0,325.0,208.0,Moulvibazar
132.0,252.0,178.0,58.0,342.0,407.0,195.0,Narail
,,,,,,,Narayanganj
,,,,,,,Narsingdi
,,,,,,,Natore
,,,,,,,Netrokona
,,,,,,,Nilphamari
126.0,316.0,248.0,55.0,293.0,391.0,212.0,Noakhali
125.0,311.0,193.0,60.0,181.0,508.0,217.0,Rajbari
129.0,470.0,142.0,65.0,175.0,355.0,241.0,Rajshahi
128.0,317.0,146.0,59.0,280.0,403.0,155.0,Rangpur
122.0,328.0,304.0,59.0,169.0,503.0,259.0,Satkhira
122.0,294.0,256.0,55.0,280.0,426.0,192.0,Shariatpur
,,,,,,,Sherpur
,,,,,,,Sirajganj
128.0,277.0,192.0,54.0,435.0,288.0,204.0,Sunamganj
122.0,282.0,245.0,54.0,452.0,266.0,266.0,Sylhet
131.0,275.0,160.0,60.0,327.0,398.0,204.0,Tangail
,,,,,,,Thakurgaon
