District,Latitude,Longitude,pH,Organic_Carbon,Nitrogen,Clay,Sand,Silt,Bulk_Density
Bagerhat,22.6554781,89.7941813,5.7,26.0,3.72,28.1,21.4,50.47,1.22
Bandarban,21.787476,92.4124752,5.43,25.23,3.24,30.6,36.7,32.7,1.18
Barguna,22.1313358,90.1172431,5.7,27.87,2.97,31.3,21.2,47.5,1.26
Barishal,22.4934035,90.3548015,5.5,60.4,3.29,27.43,26.6,46.03,1.23
Bhola,22.1435694,90.7904089,5.57,21.07,1.85,32.63,25.67,41.73,1.28
Bogura,24.8500662,89.3728431,6.23,16.43,1.4,37.57,23.0,39.43,1.34
Brahmanbaria,23.9605999,91.1190893,5.37,17.83,1.62,33.93,27.8,38.27,1.26
Chandpur,23.2241763,90.6531005,5.43,44.53,5.16,34.5,27.2,38.3,1.23
Chapai Nawabganj,24.5998869,88.2850466,7.03,12.47,1.13,37.2,16.47,46.33,1.32
Chuadanga,23.6436608,88.846448,6.4,14.23,1.2,41.2,14.07,44.7,1.3
CoxsBazar,21.4329797,92.0020272,5.5,18.2,1.93,31.63,37.53,30.87,1.3
Cumilla,23.4609839,91.1812216,5.13,17.9,1.34,41.03,21.83,37.2,1.37
Dinajpur,25.6260712,88.6346228,6.3,13.37,1.26,36.5,24.43,39.03,1.34
Faridpur,23.6040182,89.8415542,5.77,20.5,1.62,31.2,21.9,46.9,1.32
Feni,23.0127602,91.4049232,5.4,18.47,1.32,41.13,26.3,32.53,1.29
Gaibandha,25.0860006,89.8696436,5.77,14.4,1.39,32.27,27.9,39.83,1.37
Gazipur,23.9997558,90.4173629,5.43,16.63,1.12,33.47,36.13,30.43,1.29
Gopalganj,23.0049937,89.8303176,5.53,28.13,3.15,30.27,22.4,47.37,1.26
Habiganj,24.3746027,91.4140272,5.57,18.37,1.72,31.4,35.8,32.77,1.24
Jamalpur,24.9255866,89.9436684,5.93,14.53,1.32,31.8,28.17,40.0,1.35
Jashore,23.1665256,89.2094419,6.0,18.73,1.71,31.97,19.2,48.87,1.3
Jhalokati,22.6426168,90.1990344,5.5,37.8,4.64,29.07,26.77,44.2,1.25
Jhenaidah,23.5446964,89.1731943,6.03,17.33,1.29,30.53,18.4,51.1,1.29
Joypurhat,25.1095192,88.9889861,6.5,12.6,1.2,37.1,22.97,39.87,1.3
Khagrachari,23.214773,91.9591022,5.4,13.53,1.3,28.67,30.97,40.37,1.3
Khulna,22.9372087,89.2852741,5.97,61.1,5.24,33.43,17.57,49.0,1.24
Kishoreganj,24.4339822,90.7857232,5.5,13.77,1.86,32.17,34.6,33.17,1.36
Kurigram,25.8130134,89.6430518,5.67,15.0,1.69,32.13,38.67,29.2,1.3
Kushtia,23.8987955,89.1295536,6.23,17.4,1.73,37.8,14.5,47.67,1.29
Lakshmipur,22.9445365,90.8276345,5.6,24.87,3.07,34.63,30.87,34.53,1.27
Lalmonirhat,25.9163507,89.4461394,5.53,16.2,1.9,34.5,36.83,28.67,1.29
Madaripur,23.1675177,90.2047265,5.6,23.9,3.65,32.67,26.3,41.0,1.25
Magura,23.4880772,89.4201824,6.13,27.0,1.57,31.93,17.97,50.13,1.28
Manikganj,23.8329836,89.9666878,5.67,17.1,1.45,33.9,24.37,41.73,1.31
Meherpur,23.7817845,88.6369373,6.6,15.0,1.25,37.67,17.47,44.87,1.29
Moulvibazar,24.4880817,91.7630179,5.5,13.75,2.16,26.75,41.45,31.8,1.31
Narail,25.0748842,90.391651,5.87,14.1,1.45,28.0,32.43,39.6,1.34
Narsingdi,23.9197152,90.7152981,5.4,16.87,1.79,34.2,31.13,34.67,1.27
Natore,24.4131849,88.9866684,6.37,17.53,1.29,44.23,22.47,33.3,1.31
Netrokona,24.8855734,90.7332362,5.6,21.43,1.59,30.13,37.73,32.1,1.3
Nilphamari,25.9339275,88.8534588,6.0,14.43,1.59,28.67,30.8,40.57,1.34
Noakhali,22.2540799,91.1714399,5.43,17.8,1.95,34.07,27.37,38.6,1.29
Rajbari,23.7398373,89.5704133,6.1,21.2,1.67,31.87,17.37,50.77,1.27
Rajshahi,24.6285432,89.0376862,6.63,17.63,1.17,46.97,17.47,35.57,1.31
Rangpur,25.6376135,89.0826381,6.0,13.47,1.24,32.47,27.73,39.8,1.33
Satkhira,22.7166509,89.0749857,5.9,23.87,2.98,33.53,16.53,49.97,1.26
Shariatpur,23.2132841,90.3481247,5.43,20.53,2.71,31.63,26.6,41.77,1.25
Sherpur,25.0228367,90.0149736,6.1,14.17,1.29,32.83,28.37,38.8,1.34
Sirajganj,24.4572235,89.7057047,6.2,14.6,1.19,40.8,21.63,37.57,1.32
Sunamganj,25.0671031,91.3985824,5.4,16.57,1.85,29.73,42.13,28.13,1.29
Sylhet,24.7358854,91.6852476,5.37,24.93,2.39,28.43,45.03,26.47,1.25
Tangail,24.2738513,89.9375911,6.1,16.3,1.27,29.93,31.63,38.43,1.34
