pH,Organic_Carbon,Nitrogen,Clay,Sand,Silt,Bulk_Density,valid_points,grid_log,District,Latitude,Longitude
5.73,33.63,4.82,28.72,22.08,49.2,1.23,5,✅⚠️✅✅✅,Bagerhat,22.6554781,89.7941813
5.45,18.91,1.99,29.82,38.59,31.59,1.23,5,✅✅✅✅✅,Bandarban,21.787476,92.4124752
5.77,28.09,2.86,29.33,22.4,48.27,1.26,5,✅✅✅⚠️⚠️,Barguna,22.1313358,90.1172431
5.59,40.9,2.69,28.4,25.57,46.05,1.26,5,⚠️⚠️✅✅✅,Barishal,22.4934035,90.3548015
5.57,20.69,2.03,31.66,27.14,41.22,1.28,3,✅✅❌❌✅,Bhola,22.1435694,90.7904089
6.3,15.58,1.32,36.99,20.28,42.73,1.33,5,⚠️✅✅✅✅,Bogura,24.8500662,89.3728431
5.5,26.99,2.91,33.88,26.92,39.18,1.24,5,⚠️✅⚠️✅✅,Brahmanbaria,23.9605999,91.1190893
5.51,32.77,3.39,34.82,27.04,38.14,1.23,5,⚠️✅⚠️✅✅,Chandpur,23.2241763,90.6531005
6.92,13.2,1.17,37.53,19.55,42.92,1.32,5,⚠️⚠️✅✅✅,Chapai Nawabganj,24.5998869,88.2850466
5.46,21.73,1.8,31.18,29.5,39.32,1.27,4,⚠️✅✅✅❌,Chattogram,22.333778,91.8344348
6.48,17.24,1.36,41.49,14.44,44.07,1.3,5,⚠️✅✅⚠️⚠️,Chuadanga,23.6436608,88.846448
5.51,22.04,1.96,32.1,34.59,33.3,1.28,3,⚠️⚠️❌✅❌,CoxsBazar,21.4420039,91.9812464
5.4,17.5,1.5,36.98,25.59,37.43,1.32,5,⚠️✅✅✅✅,Cumilla,23.4609839,91.1812216
5.48,17.23,1.47,35.84,33.06,31.12,1.26,4,❌⚠️⚠️⚠️✅,Dhaka,23.7643863,90.3890144
6.41,14.41,1.24,35.31,24.77,39.91,1.32,5,⚠️✅✅✅✅,Dinajpur,25.6260712,88.6346228
5.74,23.42,1.95,30.59,21.41,47.98,1.27,5,⚠️⚠️✅⚠️✅,Faridpur,23.6040182,89.8415542
5.49,19.05,1.53,38.96,26.43,34.61,1.29,5,⚠️✅✅✅✅,Feni,23.0127602,91.4049232
5.9,14.23,1.28,31.83,28.95,39.21,1.35,5,✅⚠️✅✅✅,Gaibandha,25.0860006,89.8696436
5.55,19.37,1.39,34.64,32.35,33.02,1.3,5,⚠️✅⚠️⚠️⚠️,Gazipur,23.9997558,90.4173629
5.56,34.91,2.99,29.61,23.16,47.24,1.25,5,✅⚠️✅✅✅,Gopalganj,23.0049937,89.8303176
5.61,22.79,2.17,30.57,36.35,33.09,1.23,5,⚠️✅✅✅⚠️,Habiganj,24.3746027,91.4140272
6.03,16.17,1.51,29.63,28.55,41.81,1.34,5,⚠️✅✅✅✅,Jamalpur,24.9255866,89.9436684
6.07,21.43,2.0,31.14,16.44,52.44,1.29,5,⚠️✅✅✅✅,Jashore,23.1665256,89.2094419
5.52,36.57,4.67,28.13,25.63,46.24,1.26,5,⚠️✅✅✅✅,Jhallokati,22.6406,90.1987
6.24,19.68,1.55,32.11,16.11,51.78,1.26,5,⚠️✅✅✅✅,Jhenaidah,23.5446964,89.1731943
6.42,13.69,1.39,38.35,20.96,40.68,1.31,5,✅✅✅✅✅,Joypurhat,25.103181,89.0164406
5.43,15.65,1.48,31.25,31.24,37.52,1.26,5,✅✅✅✅✅,Khagrachari,23.214773,91.9591022
5.94,41.59,3.76,32.43,16.41,51.17,1.25,5,✅✅✅⚠️✅,Khulna,22.9372087,89.2852741
5.45,18.19,1.5,31.26,34.6,34.14,1.31,5,⚠️✅✅✅✅,Kishoreganj,24.4339822,90.7857232
5.72,19.13,2.22,32.53,35.99,31.49,1.28,5,⚠️✅✅✅✅,Kurigram,25.8130134,89.6430518
6.23,17.12,1.46,39.65,15.82,44.51,1.3,5,⚠️✅✅✅✅,Kushtia,23.8987955,89.1295536
5.59,35.35,3.98,34.67,30.77,34.55,1.26,5,⚠️✅✅✅✅,Lakshmipur,22.9445365,90.8276345
5.71,15.7,1.89,31.05,38.95,30.0,1.29,5,⚠️✅✅✅✅,Lalmonirhat,25.9163507,89.4461394
5.58,28.76,3.49,30.84,25.28,43.87,1.23,5,✅✅✅✅✅,Madaripur,23.1675177,90.2047265
6.1,22.29,1.79,30.76,17.93,51.31,1.29,5,✅✅✅✅✅,Magura,23.4880772,89.4201824
5.62,19.33,1.46,34.03,25.42,40.55,1.29,5,✅✅⚠️✅✅,Manikganj,23.8329836,89.9666878
6.6,14.96,1.28,37.71,17.66,44.61,1.31,5,✅✅✅✅✅,Meherpur,23.7817845,88.6369373
5.53,18.11,2.71,27.69,39.75,32.55,1.29,5,✅✅✅✅✅,Moulvibazar,24.4880817,91.7630179
5.47,18.9,1.79,36.47,26.54,36.99,1.24,5,⚠️✅✅✅✅,Munshiganj,23.5483797,90.5349722
5.8,17.2,1.67,28.54,31.63,39.84,1.32,5,✅✅✅✅✅,Mymensingh,24.8889305,90.3845187
6.67,15.57,1.26,42.98,19.12,37.9,1.32,4,⚠️✅✅✅❌,Naogaon,24.8073229,88.9445447
5.81,14.76,1.36,29.37,33.61,37.04,1.34,5,✅✅✅✅✅,Narail,25.0748842,90.391651
5.47,26.4,1.78,35.63,29.74,34.64,1.23,4,❌⚠️✅✅✅,Narayanganj,23.6236732,90.4988075
5.42,19.11,1.66,35.19,31.19,33.64,1.26,5,⚠️✅✅✅✅,Narsingdi,23.9197152,90.7152981
6.41,16.25,1.26,44.98,20.66,34.37,1.31,5,⚠️⚠️✅✅✅,Natore,24.4131849,88.9866684
5.77,18.51,1.86,30.27,35.75,33.95,1.3,5,⚠️✅✅✅✅,Netrokona,24.8855734,90.7332362
6.05,14.7,1.55,29.72,30.49,39.79,1.32,5,⚠️✅✅✅✅,Nilphamari,25.9339275,88.8534588
5.42,28.22,1.98,35.19,27.13,37.68,1.25,3,✅⚠️❌❌✅,Noakhali,22.2540799,91.1714399
6.12,17.83,1.33,38.53,17.45,44.02,1.31,5,⚠️✅✅✅✅,Pabna,24.0068082,89.2448341
5.85,17.03,1.69,24.59,35.38,40.01,1.35,5,✅✅✅✅✅,Panchagar,26.3209446,88.5471139
5.69,26.86,2.74,31.22,23.31,45.47,1.23,5,⚠️⚠️✅⚠️⚠️,Patuakhali,22.0084243,90.3826827
5.72,34.67,4.39,29.59,23.84,46.56,1.25,5,✅✅✅✅✅,Pirojpur,22.5095602,90.0072495
5.91,20.99,1.72,32.15,18.28,49.58,1.27,5,✅✅✅✅✅,Rajbari,23.7398373,89.5704133
6.5,17.93,1.27,44.25,18.81,36.96,1.33,5,✅✅⚠️✅✅,Rajshahi,24.6285432,89.0376862
5.48,17.42,1.3,29.9,34.36,35.75,1.27,4,❌✅✅✅✅,Rangamati,22.6509208,92.1814332
6.09,14.28,1.44,33.38,25.84,40.78,1.32,5,✅✅✅✅✅,Rangpur,25.6376135,89.0826381
5.93,36.42,4.34,35.01,14.88,50.1,1.23,4,✅⚠️❌✅✅,Satkhira,22.7166509,89.0749857
5.51,21.12,2.3,30.92,24.87,44.22,1.24,5,✅✅✅✅✅,Shariatpur,23.2132841,90.3481247
5.99,16.48,1.38,31.41,28.39,40.21,1.34,5,⚠️✅✅✅✅,Sherpur,25.0228367,90.0149736
6.17,22.9,1.33,41.32,21.38,37.29,1.31,5,⚠️⚠️✅✅✅,Sirajganj,24.4572235,89.7057047
5.58,19.32,2.36,28.75,40.89,30.37,1.24,5,✅✅✅✅✅,Sunamganj,25.0671031,91.3985824
5.42,25.15,1.86,27.71,45.23,27.03,1.27,5,✅✅✅✅⚠️,Sylhet,24.7358854,91.6852476
6.1,19.82,1.75,30.61,30.69,38.69,1.31,5,✅✅✅✅✅,Tangail,24.2738513,89.9375911
5.47,17.68,1.37,36.52,33.18,30.32,1.25,2,❌❌✅❌✅,Thakurgaon,23.773143,90.3591626
