name,lat,lon,pH_Final_2022
Bagerhat,22.6602,89.7895,5.8
Bandarban,22.1953,92.2184,5.5
Barguna,22.152,90.1182,5.7
Barisal,22.701,90.3535,5.5
Bhola,22.6859,90.6482,5.6
Bogra,24.8481,89.373,6.1
Brahmanbaria,23.9571,91.1119,5.4
Chandpur,23.2333,90.6667,5.4
Chapai Nawabganj,24.5965,88.2775,6.8
Chattogram,22.335,91.8325,5.2
Chuadanga,23.6402,88.8418,6.4
Comilla,23.4607,91.1809,5.2
Cox's Bazar,21.4272,92.0058,5.4
Dhaka,23.8103,90.4125,5.6
Dinajpur,25.6217,88.6355,6.2
Faridpur,23.6071,89.8429,5.6
Feni,23.0186,91.3966,5.5
Gaibandha,25.3288,89.5281,5.9
Gazipur,24.0023,90.4264,5.5
Gopalganj,23.0051,89.8265,5.6
Habiganj,24.3749,91.4155,5.7
Jamalpur,24.9375,89.9378,6.0
Jessore,23.1664,89.2081,6.0
Jhalokati,22.6406,90.1987,5.5
Jhenaidah,23.545,89.1726,6.0
Joypurhat,25.1017,89.0227,6.6
Khagrachari,23.1116,91.9906,5.4
Khulna,22.8157,89.5644,5.8
Kishoreganj,24.4449,90.7766,5.3
Kurigram,25.8054,89.6362,5.6
Kushtia,23.9013,89.1205,6.1
Lakshmipur,22.9425,90.8411,5.6
Lalmonirhat,25.9165,89.4532,5.5
Madaripur,23.1641,90.1897,5.5
Magura,23.4873,89.4198,6.1
Manikganj,23.8644,90.0047,5.7
Meherpur,23.7622,88.6318,6.6
Moulvibazar,24.4829,91.7774,5.3
Munshiganj,23.5422,90.5305,5.6
Mymensingh,24.7471,90.4203,5.7
Naogaon,24.7936,88.9318,6.9
Narail,23.1725,89.5127,5.9
Narayanganj,23.6337,90.4964,5.5
Narsingdi,23.9322,90.7154,5.5
Natore,24.4206,89.0006,6.4
Netrokona,24.8709,90.7279,5.9
Nilphamari,25.9318,88.856,6.0
Noakhali,22.8696,91.0994,5.6
Pabna,24.0064,89.2544,6.1
Panchagarh,26.3411,88.5542,5.7
Patuakhali,22.3596,90.3299,5.7
Pirojpur,22.5841,89.972,5.6
Rajbari,23.7574,89.6445,5.8
Rajshahi,24.3745,88.6042,6.8
Rangamati,22.6533,92.1789,5.5
Rangpur,25.7485,89.2467,5.8
Satkhira,22.7185,89.0705,5.9
Shariatpur,23.206,90.3478,5.5
Sherpur,25.0205,90.0153,6.1
Sirajganj,24.4534,89.7008,6.2
Sunamganj,25.0658,91.395,5.4
Sylhet,24.8898,91.8697,5.4
Tangail,24.2513,89.9167,6.4
Thakurgaon,26.0337,88.4617,5.9
