Area,AP Ratio,District,Season,Avg Temp,Avg Humidity,Crop Name,Transplant,Growth,Harvest,Production,Max Temp,Min Temp,Max Relative Humidity,Min Relative Humidity,soil_ph,NDVI_early,NDVI_mid,NDVI_late,NDVI_std,NDVI_prev_season
177321,0.8510272331,Bagerhat,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,150905,40,12.0,60,85,57.0,0.2093828623516599,0.42936616441082,0.5377701709634322,0.14350687159187533,0.2670404721298456
25646,1.175777899,Bandarban,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,30154,40,12.0,60,85,55.0,0.4365742393395427,0.5387153591391703,0.7658263714527735,0.16507609092429368,0.2612788417491431
231401,0.7705887183,Barguna,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,178315,40,12.0,60,85,57.0,0.2099802275666429,0.35650536058839993,0.5681901097552411,0.1870942866387383,0.3323424160378924
302665,0.7571043893,Barishal,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,229149,40,12.0,60,85,,0.1933459589530938,0.3458494890191011,0.45179056214661745,0.1418560705841844,0.309535002934125
388575,1.100652384,Bhola,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,427686,40,12.0,60,85,56.0,0.1700006675577468,0.2258498120190653,0.3458072626711267,0.1339289927385362,0.1946286534864403
443007,1.192475514,Bogura,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,528275,40,12.0,60,85,,0.1186313763339489,0.3304685349223847,0.4005603994411503,0.17409923080025236,0.2764687680682978
174588,1.014634454,Brahmanbaria,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,177143,40,12.0,60,85,54.0,0.0571539099837129,0.26815969379609883,0.4089960858969574,0.14499472587114973,0.2371168297003784
90004,0.7804430914,Chandpur,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,70243,40,12.0,60,85,,0.2069406843342435,0.3381655668751687,0.45890206290963886,0.13151131914568842,0.244284950998653
140665,1.127252693,Chapai Nawabganj,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,158565,40,12.0,60,85,,0.372994229085631,0.3733450873553156,0.45156055833113284,0.10892707622844985,0.2662611383381359
444857,0.9779996718,Chattogram,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,435070,40,12.0,60,85,,0.2968827150300339,0.4499071181374028,0.5954364512295394,0.15956910404566707,0.291756878234579
85718,1.096677477,Chuadanga,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,94005,40,12.0,60,85,,0.3525594225872085,0.36568262324821127,0.5131006731479145,0.16027937409590187,0.372967925798721
181306,1.110415541,CoxsBazar,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,201325,40,12.0,60,85,55.0,0.3290250380015852,0.3982229182754804,0.4989627667412272,0.11311292838050216,0.280567372051847
327517,0.9096474381,Cumilla,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,297925,40,12.0,60,85,,0.1337973760585641,0.4130665815281809,0.5461602242650984,0.18750581768883715,0.2661785623056151
18702,0.9652443589,Dhaka,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,18052,40,12.0,60,85,,0.2388020657596918,0.28641390234058955,0.41835986146783866,0.10971571478023935,0.2739750686969379
645472,1.078918993,Dinajpur,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,696412,40,12.0,60,85,,0.0654733330872791,0.36771969324095355,0.41205210415955185,0.21466053590524564,0.3916540989397346
191856,1.040175965,Faridpur,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,199564,40,12.0,60,85,,0.2985891466935776,0.3361241554727723,0.45084291615574323,0.14143118339749997,0.5012944760184437
163129,1.202152897,Feni,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,196106,40,12.0,60,85,,0.0507026668147709,0.39601961266635377,0.5325476135732821,0.2323597052398129,0.2107211652615962
293991,1.126656938,Gaibandha,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,331227,40,12.0,60,85,57.0,0.02131745298654,0.32776272911698345,0.3618278305459197,0.16863448998979516,0.2909507765996219
112432,1.185907927,Gazipur,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,133334,40,12.0,60,85,,0.1101810937198298,0.3181362406312787,0.5691301388017621,0.21009793854846578,0.2642814227206714
59993,0.7519377261,Gopalganj,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,45111,40,12.0,60,85,56.0,0.3587029695775944,0.4572368270416179,0.552017666903445,0.12306671378411221,0.3983745038075617
245464,1.064665287,Habiganj,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,261337,40,12.0,60,85,,0.1404958846908667,0.27489208837518037,0.3918210191073424,0.1376685098647967,0.2185560015489672
265787,0.9535003593,Jamalpur,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,253428,40,12.0,60,85,,0.0660620517345922,0.29505847386280654,0.4710677583506842,0.19208567286239572,0.2256493291364875
338887,1.14695459,Jashore,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,388688,40,12.0,60,85,,0.1878303907762366,0.4200312492878573,0.4964347747625161,0.17850647796602828,0.3985753946916057
116665,0.7944799211,Jhallokati,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,92688,40,12.0,60,85,,0.3198153813956541,0.4636810003902494,0.6529591807167576,0.18391804260868755,0.4467251837879121
