Season,Rainfall,Temp_Mean,Temp_Max,Temp_Min,Heat_Stress_Days,District,Year
Kharif 1,656.33,28.878196721311475,41.26,16.01,54,Bagerhat,2022
Kharif 2,1451.65,27.76869918699187,33.57,18.56,0,Bagerhat,2022
Rabi,220.42999999999998,19.631500000000003,30.58,8.35,0,Bagerhat,2022
Kharif 1,1122.24,26.343852459016393,37.14,12.88,24,Bandarban,2022
Kharif 2,1354.97,26.048780487804876,32.68,17.05,0,Bandarban,2022
Rabi,81.51,18.951083333333333,31.46,7.86,0,Bandarban,2022
Kharif 1,875.14,28.495573770491802,35.98,18.28,5,Barguna,2022
Kharif 2,1785.97,28.12731707317073,32.51,20.84,0,Barguna,2022
Rabi,229.52,20.84725,30.34,11.07,0,Barguna,2022
Kharif 1,1000.13,28.220245901639345,37.02,17.22,16,Barishal,2022
Kharif 2,1601.92,27.991219512195123,32.47,19.53,0,Barishal,2022
Rabi,208.71,20.131916666666665,29.78,10.33,0,Barishal,2022
Kharif 1,1663.21,28.106803278688528,33.74,19.66,0,Bhola,2022
Kharif 2,2272.77,28.43642276422764,31.57,21.83,0,Bhola,2022
Rabi,270.62,21.403833333333335,29.2,13.89,0,Bhola,2022
Kharif 1,895.25,28.693032786885247,40.21,14.25,47,Bogura,2022
Kharif 2,913.65,27.936585365853656,34.8,18.46,0,Bogura,2022
Rabi,83.29,18.81775,29.65,7.78,0,Bogura,2022
Kharif 1,1184.34,28.060081967213115,39.2,14.82,43,Brahmanbaria,2022
Kharif 2,1124.16,27.68121951219512,33.87,18.72,0,Brahmanbaria,2022
Rabi,70.13,19.586666666666666,30.32,9.05,0,Brahmanbaria,2022
Kharif 1,897.09,28.29688524590164,38.75,16.37,34,Chandpur,2022
Kharif 2,1311.3799999999999,27.853658536585368,32.95,19.15,0,Chandpur,2022
Rabi,130.03,19.78575,29.93,9.59,0,Chandpur,2022
Kharif 1,342.22,30.54688524590164,43.86,15.18,96,Chapai Nawabganj,2022
Kharif 2,667.02,28.461138211382114,37.9,17.77,17,Chapai Nawabganj,2022
Rabi,67.62,18.761833333333335,31.13,7.74,0,Chapai Nawabganj,2022
Kharif 1,1205.62,27.631311475409834,36.72,15.16,4,Chattogram,2022
Kharif 2,1450.75,28.04821138211382,34.55,19.76,0,Chattogram,2022
Rabi,98.78,20.408583333333336,31.75,9.62,0,Chattogram,2022
Kharif 1,392.57,29.830081967213115,44.7,14.82,79,Chuadanga,2022
Kharif 2,774.47,27.95178861788618,35.82,17.95,3,Chuadanga,2022
Rabi,87.14999999999999,19.163083333333336,30.34,7.12,0,Chuadanga,2022
Kharif 1,1987.35,27.713196721311476,31.21,19.08,0,CoxsBazar,2022
Kharif 2,2423.67,28.44813008130081,31.15,24.88,0,CoxsBazar,2022
Rabi,176.62,22.689,29.76,16.47,0,CoxsBazar,2022
Kharif 1,1026.98,27.60254098360656,38.63,14.34,31,Cumilla,2022
Kharif 2,1132.3799999999999,27.485040650406503,33.75,17.91,0,Cumilla,2022
Rabi,73.68,19.19066666666667,30.34,8.36,0,Cumilla,2022
Kharif 1,1043.06,28.513934426229508,40.93,15.5,46,Dhaka,2022
Kharif 2,1137.55,27.810325203252034,33.68,18.24,0,Dhaka,2022
Rabi,82.23,19.610583333333334,30.39,8.94,0,Dhaka,2022
Kharif 1,907.84,28.486147540983605,40.66,13.08,52,Dinajpur,2022
Kharif 2,881.89,27.738943089430894,34.58,17.61,0,Dinajpur,2022
Rabi,75.37,18.047583333333332,29.74,7.23,0,Dinajpur,2022
Kharif 1,736.76,28.934262295081968,41.82,16.16,51,Faridpur,2022
Kharif 2,1135.85,27.829837398373986,33.44,19.14,0,Faridpur,2022
Rabi,106.1,19.4835,30.43,8.4,0,Faridpur,2022
Kharif 1,1134.36,27.39,36.32,14.02,10,Feni,2022
Kharif 2,1338.61,27.654308943089433,33.89,17.96,0,Feni,2022
Rabi,89.25,19.2125,30.48,8.14,0,Feni,2022
Kharif 1,1278.22,28.156967213114754,38.88,14.97,37,Gaibandha,2022
Kharif 2,1091.34,27.750406504065044,34.86,18.48,0,Gaibandha,2022
Rabi,82.59,19.200833333333332,29.93,8.25,0,Gaibandha,2022
Kharif 1,1043.06,28.513934426229508,40.93,15.5,46,Gazipur,2022
Kharif 2,1137.55,27.810325203252034,33.68,18.24,0,Gazipur,2022
Rabi,82.23,19.610583333333334,30.39,8.94,0,Gazipur,2022
Kharif 1,668.3100000000001,28.977213114754097,42.19,15.6,56,Gopalganj,2022
Kharif 2,1238.15,27.71390243902439,33.63,18.56,0,Gopalganj,2022
Rabi,149.59,19.406916666666667,30.54,7.96,0,Gopalganj,2022
Kharif 1,2073.38,27.73745901639344,37.77,14.75,26,Habiganj,2022
Kharif 2,1599.93,27.862357723577237,34.27,17.78,0,Habiganj,2022
Rabi,82.88,19.647166666666667,30.51,8.62,0,Habiganj,2022
Kharif 1,1278.22,28.156967213114754,38.88,14.97,37,Jamalpur,2022
Kharif 2,1091.34,27.750406504065044,34.86,18.48,0,Jamalpur,2022
Rabi,82.59,19.200833333333332,29.93,8.25,0,Jamalpur,2022
Kharif 1,485.51,29.431475409836064,43.88,15.04,64,Jashore,2022
Kharif 2,1080.92,27.736341463414636,34.2,18.34,0,Jashore,2022
Rabi,127.00999999999999,19.337083333333332,30.76,7.52,0,Jashore,2022
Kharif 1,656.33,28.878196721311475,41.26,16.01,54,Jhallokati,2022
Kharif 2,1451.65,27.76869918699187,33.57,18.56,0,Jhallokati,2022
Rabi,220.42999999999998,19.631500000000003,30.58,8.35,0,Jhallokati,2022
Kharif 1,558.92,29.277131147540985,43.33,15.19,58,Jhenaidah,2022
Kharif 2,996.1999999999999,27.804227642276423,34.21,18.74,0,Jhenaidah,2022
Rabi,101.19,19.232916666666664,30.32,7.6,0,Jhenaidah,2022
Kharif 1,596.69,29.190573770491802,42.27,13.63,68,Joypurhat,2022
Kharif 2,783.3,27.9830081300813,35.83,17.28,4,Joypurhat,2022
Rabi,73.46000000000001,18.282833333333333,30.31,7.21,0,Joypurhat,2022
Kharif 1,1145.52,26.892377049180325,38.65,12.79,22,Khagrachari,2022
Kharif 2,1337.03,27.635365853658538,38.46,18.2,10,Khagrachari,2022
Rabi,86.44,19.028833333333335,33.14,7.85,0,Khagrachari,2022
Kharif 1,485.51,29.431475409836064,43.88,15.04,64,Khulna,2022
Kharif 2,1080.92,27.736341463414636,34.2,18.34,0,Khulna,2022
Rabi,127.00999999999999,19.337083333333332,30.76,7.52,0,Khulna,2022
Kharif 1,1512.93,28.173934426229508,39.96,15.25,45,Kishoreganj,2022
Kharif 2,1317.39,27.771138211382112,34.22,17.91,0,Kishoreganj,2022
Rabi,79.21,19.376166666666666,30.48,8.63,0,Kishoreganj,2022
Kharif 1,1572.26,27.49467213114754,37.59,13.55,17,Kurigram,2022
Kharif 2,993.02,27.780162601626017,34.92,17.93,0,Kurigram,2022
Rabi,82.39,18.507833333333334,29.15,7.75,0,Kurigram,2022
Kharif 1,638.57,29.175901639344264,42.43,15.23,53,Kushtia,2022
Kharif 2,984.86,27.91,34.38,19.25,0,Kushtia,2022
Rabi,91.4,19.205083333333334,30.12,7.92,0,Kushtia,2022
Kharif 1,897.09,28.29688524590164,38.75,16.37,34,Lakshmipur,2022
Kharif 2,1311.3799999999999,27.853658536585368,32.95,19.15,0,Lakshmipur,2022
Rabi,130.03,19.78575,29.93,9.59,0,Lakshmipur,2022
Kharif 1,1572.26,27.49467213114754,37.59,13.55,17,Lalmonirhat,2022
Kharif 2,993.02,27.780162601626017,34.92,17.93,0,Lalmonirhat,2022
Rabi,82.39,18.507833333333334,29.15,7.75,0,Lalmonirhat,2022
Kharif 1,668.3100000000001,28.977213114754097,42.19,15.6,56,Madaripur,2022
Kharif 2,1238.15,27.71390243902439,33.63,18.56,0,Madaripur,2022
Rabi,149.59,19.406916666666667,30.54,7.96,0,Madaripur,2022
Kharif 1,558.92,29.277131147540985,43.33,15.19,58,Magura,2022
Kharif 2,996.1999999999999,27.804227642276423,34.21,18.74,0,Magura,2022
Rabi,101.19,19.232916666666664,30.32,7.6,0,Magura,2022
Kharif 1,841.36,28.802213114754096,41.68,15.46,49,Manikganj,2022
Kharif 2,1117.67,27.834796747967477,33.61,18.75,0,Manikganj,2022
Rabi,91.45,19.445333333333334,30.56,8.4,0,Manikganj,2022
Kharif 1,424.36,29.869180327868854,43.6,15.07,77,Meherpur,2022
Kharif 2,762.83,28.1239837398374,36.28,18.19,9,Meherpur,2022
Rabi,80.82000000000001,19.014499999999998,30.41,7.46,0,Meherpur,2022
Kharif 1,2078.94,27.40467213114754,36.89,13.58,15,Moulvibazar,2022
Kharif 2,1626.4,27.889105691056912,35.28,17.48,2,Moulvibazar,2022
Rabi,83.51,19.111666666666668,30.34,8.06,0,Moulvibazar,2022
Kharif 1,896.28,28.457131147540984,40.07,15.89,41,Munshiganj,2022
Kharif 2,1147.69,27.867154471544715,33.03,18.76,0,Munshiganj,2022
Rabi,96.21,19.6385,30.15,9.31,0,Munshiganj,2022
Kharif 1,1997.22,27.314098360655738,37.3,15.39,15,Mymensingh,2022
Kharif 2,1391.11,27.504552845528455,34.86,18.34,0,Mymensingh,2022
Rabi,80.15,19.223333333333336,29.93,7.98,0,Mymensingh,2022
Kharif 1,596.69,29.190573770491802,42.27,13.63,68,Naogaon,2022
Kharif 2,783.3,27.9830081300813,35.83,17.28,4,Naogaon,2022
Rabi,73.46000000000001,18.282833333333333,30.31,7.21,0,Naogaon,2022
Kharif 1,1997.22,27.314098360655738,37.3,15.39,15,Narail,2022
