short_desc,watershed_desc,country_name,commodity_desc,source_desc,state_fips_code,watershed_code,congr_district_code,CV (%),country_code,zip_5,statisticcat_desc,begin_code,county_code,week_ending,asd_code,group_desc,freq_desc,Value,unit_desc,prodn_practice_desc,domaincat_desc,location_desc,class_desc,agg_level_desc,end_code,county_name,region_desc,asd_desc,state_name,domain_desc,sector_desc,state_ansi,reference_period_desc,year,load_time,state_alpha,county_ansi,util_practice_desc
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,1.4,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"4,676,811",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)",OPERATORS: (1 OPERATORS),IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,OPERATORS,DEMOGRAPHICS,19,YEAR,2012,2012-12-31 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,1.9,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"4,083,537",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)",OPERATORS: (2 OR MORE OPERATORS),IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,OPERATORS,DEMOGRAPHICS,19,YEAR,2012,2012-12-31 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,14.6,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"838,628",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","OPERATORS, PRINCIPAL: (PRIMARY OCCUPATION, (EXCL FARMING))",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,"OPERATORS, PRINCIPAL",DEMOGRAPHICS,19,YEAR,2012,2012-12-31 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,28.1,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"46,031",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","OPERATORS, PRINCIPAL: (PRIMARY OCCUPATION, (EXCL FARMING), AGE 25 TO 34)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,"OPERATORS, PRINCIPAL",DEMOGRAPHICS,19,YEAR,2012,2012-12-31 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,12.0,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"110,426",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","OPERATORS, PRINCIPAL: (PRIMARY OCCUPATION, (EXCL FARMING), AGE 35 TO 44)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,"OPERATORS, PRINCIPAL",DEMOGRAPHICS,19,YEAR,2012,2012-12-31 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,14.1,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"239,298",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","OPERATORS, PRINCIPAL: (PRIMARY OCCUPATION, (EXCL FARMING), AGE 45 TO 54)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,"OPERATORS, PRINCIPAL",DEMOGRAPHICS,19,YEAR,2012,2012-12-31 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,14.7,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"272,342",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","OPERATORS, PRINCIPAL: (PRIMARY OCCUPATION, (EXCL FARMING), AGE 55 TO 64)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,"OPERATORS, PRINCIPAL",DEMOGRAPHICS,19,YEAR,2012,2012-12-31 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,16.9,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"165,192",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","OPERATORS, PRINCIPAL: (PRIMARY OCCUPATION, (EXCL FARMING), AGE GE 65)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,"OPERATORS, PRINCIPAL",DEMOGRAPHICS,19,YEAR,2012,2012-12-31 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,48.6,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"5,339",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","OPERATORS, PRINCIPAL: (PRIMARY OCCUPATION, (EXCL FARMING), AGE LT 25)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,"OPERATORS, PRINCIPAL",DEMOGRAPHICS,19,YEAR,2012,2012-12-31 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,1.5,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"7,921,720",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","OPERATORS, PRINCIPAL: (PRIMARY OCCUPATION, FARMING)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,"OPERATORS, PRINCIPAL",DEMOGRAPHICS,19,YEAR,2012,2012-12-31 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
