agg_level_desc,asd_desc,commodity_desc,state_alpha,freq_desc,country_code,domain_desc,watershed_code,county_ansi,group_desc,end_code,state_ansi,begin_code,sector_desc,zip_5,year,Value,unit_desc,location_desc,asd_code,reference_period_desc,watershed_desc,util_practice_desc,county_name,country_name,region_desc,class_desc,load_time,prodn_practice_desc,state_fips_code,week_ending,short_desc,statisticcat_desc,congr_district_code,state_name,domaincat_desc,source_desc,CV (%),county_code
STATE,,CORN,IA,ANNUAL,9000,CHEMICAL,00000000,,FIELD CROPS,00,19,00,ENVIRONMENTAL,,2018,"6,230",ACRES,IOWA,,YEAR,,GRAIN,,UNITED STATES,,ALL CLASSES,2018-02-01 00:00:00.000,"IRRIGATED, CHEMIGATION",19,,"CORN, GRAIN, IRRIGATED, CHEMIGATION - TREATED, MEASURED IN ACRES",TREATED,,IOWA,CHEMICAL: (TOTAL),CENSUS,70.4,
STATE,,CORN,IA,ANNUAL,9000,CHEMICAL,00000000,,FIELD CROPS,00,19,00,ENVIRONMENTAL,,2013,                 (D),ACRES,IOWA,,YEAR,,GRAIN,,UNITED STATES,,ALL CLASSES,2012-12-31 00:00:00.000,"IRRIGATED, CHEMIGATION",19,,"CORN, GRAIN, IRRIGATED, CHEMIGATION - TREATED, MEASURED IN ACRES",TREATED,,IOWA,CHEMICAL: (TOTAL),CENSUS,,
STATE,,CORN,IA,ANNUAL,9000,FERTILIZER,00000000,,FIELD CROPS,00,19,00,ENVIRONMENTAL,,2023,"16,971",ACRES,IOWA,,YEAR,,GRAIN,,UNITED STATES,,ALL CLASSES,2024-10-31 12:00:00.000,"IRRIGATED, CHEMIGATION",19,,"CORN, GRAIN, IRRIGATED, CHEMIGATION - TREATED, MEASURED IN ACRES",TREATED,,IOWA,FERTILIZER: (TOTAL),CENSUS,66.1,
STATE,,CORN,IA,ANNUAL,9000,FERTILIZER,00000000,,FIELD CROPS,00,19,00,ENVIRONMENTAL,,2018,"18,807",ACRES,IOWA,,YEAR,,GRAIN,,UNITED STATES,,ALL CLASSES,2018-02-01 00:00:00.000,"IRRIGATED, CHEMIGATION",19,,"CORN, GRAIN, IRRIGATED, CHEMIGATION - TREATED, MEASURED IN ACRES",TREATED,,IOWA,FERTILIZER: (TOTAL),CENSUS,46.1,
STATE,,CORN,IA,ANNUAL,9000,FERTILIZER,00000000,,FIELD CROPS,00,19,00,ENVIRONMENTAL,,2013,"18,000",ACRES,IOWA,,YEAR,,GRAIN,,UNITED STATES,,ALL CLASSES,2012-12-31 00:00:00.000,"IRRIGATED, CHEMIGATION",19,,"CORN, GRAIN, IRRIGATED, CHEMIGATION - TREATED, MEASURED IN ACRES",TREATED,,IOWA,FERTILIZER: (TOTAL),CENSUS,,
STATE,,CORN,IA,ANNUAL,9000,CHEMICAL,00000000,,FIELD CROPS,00,19,00,ENVIRONMENTAL,,2018,52,OPERATIONS,IOWA,,YEAR,,GRAIN,,UNITED STATES,,ALL CLASSES,2018-02-01 00:00:00.000,"IRRIGATED, CHEMIGATION",19,,"CORN, GRAIN, IRRIGATED, CHEMIGATION - OPERATIONS WITH TREATED",TREATED,,IOWA,CHEMICAL: (TOTAL),CENSUS,51.3,
STATE,,CORN,IA,ANNUAL,9000,CHEMICAL,00000000,,FIELD CROPS,00,19,00,ENVIRONMENTAL,,2013,2,OPERATIONS,IOWA,,YEAR,,GRAIN,,UNITED STATES,,ALL CLASSES,2012-12-31 00:00:00.000,"IRRIGATED, CHEMIGATION",19,,"CORN, GRAIN, IRRIGATED, CHEMIGATION - OPERATIONS WITH TREATED",TREATED,,IOWA,CHEMICAL: (TOTAL),CENSUS,,
STATE,,CORN,IA,ANNUAL,9000,FERTILIZER,00000000,,FIELD CROPS,00,19,00,ENVIRONMENTAL,,2023,74,OPERATIONS,IOWA,,YEAR,,GRAIN,,UNITED STATES,,ALL CLASSES,2024-10-31 12:00:00.000,"IRRIGATED, CHEMIGATION",19,,"CORN, GRAIN, IRRIGATED, CHEMIGATION - OPERATIONS WITH TREATED",TREATED,,IOWA,FERTILIZER: (TOTAL),CENSUS,41.5,
STATE,,CORN,IA,ANNUAL,9000,FERTILIZER,00000000,,FIELD CROPS,00,19,00,ENVIRONMENTAL,,2018,101,OPERATIONS,IOWA,,YEAR,,GRAIN,,UNITED STATES,,ALL CLASSES,2018-02-01 00:00:00.000,"IRRIGATED, CHEMIGATION",19,,"CORN, GRAIN, IRRIGATED, CHEMIGATION - OPERATIONS WITH TREATED",TREATED,,IOWA,FERTILIZER: (TOTAL),CENSUS,37.6,
STATE,,CORN,IA,ANNUAL,9000,FERTILIZER,00000000,,FIELD CROPS,00,19,00,ENVIRONMENTAL,,2013,70,OPERATIONS,IOWA,,YEAR,,GRAIN,,UNITED STATES,,ALL CLASSES,2012-12-31 00:00:00.000,"IRRIGATED, CHEMIGATION",19,,"CORN, GRAIN, IRRIGATED, CHEMIGATION - OPERATIONS WITH TREATED",TREATED,,IOWA,FERTILIZER: (TOTAL),CENSUS,,
