reference_period_desc,asd_code,year,zip_5,sector_desc,state_ansi,begin_code,location_desc,Value,unit_desc,watershed_code,domain_desc,country_code,freq_desc,end_code,group_desc,county_ansi,commodity_desc,asd_desc,agg_level_desc,state_alpha,source_desc,domaincat_desc,state_name,congr_district_code,county_code,CV (%),short_desc,week_ending,prodn_practice_desc,state_fips_code,statisticcat_desc,region_desc,country_name,load_time,class_desc,county_name,util_practice_desc,watershed_desc
YEAR,,2025,,CROPS,19,00,IOWA,"30,850",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2026-01-12 12:00:00.000,ALL CLASSES,,GRAIN,
YEAR - NOV FORECAST,,2025,,CROPS,19,00,IOWA,"30,850",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2025-11-14 12:00:00.000,ALL CLASSES,,GRAIN,
YEAR - OCT FORECAST,,2025,,CROPS,19,00,IOWA,"30,800",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2025-11-14 12:00:00.000,ALL CLASSES,,GRAIN,
YEAR - SEP FORECAST,,2025,,CROPS,19,00,IOWA,"30,750",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2025-09-12 12:00:00.000,ALL CLASSES,,GRAIN,
YEAR,,2024,,CROPS,19,00,IOWA,"30,850",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2025-01-10 12:00:00.000,ALL CLASSES,,GRAIN,
YEAR - NOV FORECAST,,2024,,CROPS,19,00,IOWA,"30,600",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2024-11-08 12:00:00.000,ALL CLASSES,,GRAIN,
YEAR - OCT FORECAST,,2024,,CROPS,19,00,IOWA,"30,500",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2024-10-11 12:00:00.000,ALL CLASSES,,GRAIN,
YEAR - SEP FORECAST,,2024,,CROPS,19,00,IOWA,"30,900",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2024-09-12 12:00:00.000,ALL CLASSES,,GRAIN,
YEAR,,2023,,CROPS,19,00,IOWA,"31,950",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2024-01-12 12:00:00.000,ALL CLASSES,,GRAIN,
YEAR - NOV FORECAST,,2023,,CROPS,19,00,IOWA,"31,950",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2023-11-09 12:00:00.000,ALL CLASSES,,GRAIN,
YEAR - OCT FORECAST,,2023,,CROPS,19,00,IOWA,"31,900",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2023-10-12 12:00:00.000,ALL CLASSES,,GRAIN,
YEAR - SEP FORECAST,,2023,,CROPS,19,00,IOWA,"32,250",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2023-09-12 12:00:00.000,ALL CLASSES,,GRAIN,
YEAR,,2022,,CROPS,19,00,IOWA,"31,600",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2023-01-12 12:00:00.000,ALL CLASSES,,GRAIN,
YEAR - NOV FORECAST,,2022,,CROPS,19,00,IOWA,"31,600",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2022-11-09 12:00:00.000,ALL CLASSES,,GRAIN,
YEAR - OCT FORECAST,,2022,,CROPS,19,00,IOWA,"31,550",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2022-10-12 12:00:00.000,ALL CLASSES,,GRAIN,
YEAR - SEP FORECAST,,2022,,CROPS,19,00,IOWA,"31,750",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2022-09-12 12:03:33.000,ALL CLASSES,,GRAIN,
YEAR,,2021,,CROPS,19,00,IOWA,"31,800",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2022-01-12 12:01:05.000,ALL CLASSES,,GRAIN,
