state_ansi,reference_period_desc,util_practice_desc,state_alpha,county_ansi,year,load_time,region_desc,county_name,end_code,domain_desc,sector_desc,state_name,asd_desc,Value,unit_desc,asd_code,freq_desc,group_desc,agg_level_desc,location_desc,class_desc,domaincat_desc,prodn_practice_desc,CV (%),country_code,congr_district_code,watershed_code,source_desc,state_fips_code,commodity_desc,country_name,watershed_desc,short_desc,week_ending,county_code,begin_code,zip_5,statisticcat_desc
19,WEEK #14,ALL UTILIZATION PRACTICES,IA,,2025,2025-04-07 16:00:00.000,,,14,TOTAL,CROPS,IOWA,,0,PCT PLANTED,,WEEKLY,FIELD CROPS,STATE,IOWA,ALL CLASSES,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,19,CORN,UNITED STATES,,"CORN - PROGRESS, MEASURED IN PCT PLANTED",2025-04-06,,14,,PROGRESS
19,WEEK #15,ALL UTILIZATION PRACTICES,IA,,2025,2025-04-14 16:00:00.000,,,15,TOTAL,CROPS,IOWA,,2,PCT PLANTED,,WEEKLY,FIELD CROPS,STATE,IOWA,ALL CLASSES,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,19,CORN,UNITED STATES,,"CORN - PROGRESS, MEASURED IN PCT PLANTED",2025-04-13,,15,,PROGRESS
19,WEEK #16,ALL UTILIZATION PRACTICES,IA,,2025,2025-04-21 16:00:00.000,,,16,TOTAL,CROPS,IOWA,,18,PCT PLANTED,,WEEKLY,FIELD CROPS,STATE,IOWA,ALL CLASSES,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,19,CORN,UNITED STATES,,"CORN - PROGRESS, MEASURED IN PCT PLANTED",2025-04-20,,16,,PROGRESS
19,WEEK #17,ALL UTILIZATION PRACTICES,IA,,2025,2025-04-28 16:00:00.000,,,17,TOTAL,CROPS,IOWA,,34,PCT PLANTED,,WEEKLY,FIELD CROPS,STATE,IOWA,ALL CLASSES,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,19,CORN,UNITED STATES,,"CORN - PROGRESS, MEASURED IN PCT PLANTED",2025-04-27,,17,,PROGRESS
19,WEEK #18,ALL UTILIZATION PRACTICES,IA,,2025,2025-05-05 16:00:00.000,,,18,TOTAL,CROPS,IOWA,,49,PCT PLANTED,,WEEKLY,FIELD CROPS,STATE,IOWA,ALL CLASSES,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,19,CORN,UNITED STATES,,"CORN - PROGRESS, MEASURED IN PCT PLANTED",2025-05-04,,18,,PROGRESS
19,WEEK #19,ALL UTILIZATION PRACTICES,IA,,2025,2025-05-12 16:00:00.000,,,19,TOTAL,CROPS,IOWA,,76,PCT PLANTED,,WEEKLY,FIELD CROPS,STATE,IOWA,ALL CLASSES,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,19,CORN,UNITED STATES,,"CORN - PROGRESS, MEASURED IN PCT PLANTED",2025-05-11,,19,,PROGRESS
19,WEEK #20,ALL UTILIZATION PRACTICES,IA,,2025,2025-05-19 16:00:00.000,,,20,TOTAL,CROPS,IOWA,,91,PCT PLANTED,,WEEKLY,FIELD CROPS,STATE,IOWA,ALL CLASSES,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,19,CORN,UNITED STATES,,"CORN - PROGRESS, MEASURED IN PCT PLANTED",2025-05-18,,20,,PROGRESS
19,WEEK #21,ALL UTILIZATION PRACTICES,IA,,2025,2025-05-27 16:00:00.000,,,21,TOTAL,CROPS,IOWA,,95,PCT PLANTED,,WEEKLY,FIELD CROPS,STATE,IOWA,ALL CLASSES,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,19,CORN,UNITED STATES,,"CORN - PROGRESS, MEASURED IN PCT PLANTED",2025-05-25,,21,,PROGRESS
19,WEEK #22,ALL UTILIZATION PRACTICES,IA,,2025,2025-06-02 16:00:00.000,,,22,TOTAL,CROPS,IOWA,,97,PCT PLANTED,,WEEKLY,FIELD CROPS,STATE,IOWA,ALL CLASSES,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,19,CORN,UNITED STATES,,"CORN - PROGRESS, MEASURED IN PCT PLANTED",2025-06-01,,22,,PROGRESS
19,WEEK #23,ALL UTILIZATION PRACTICES,IA,,2025,2025-06-09 16:00:00.000,,,23,TOTAL,CROPS,IOWA,,99,PCT PLANTED,,WEEKLY,FIELD CROPS,STATE,IOWA,ALL CLASSES,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,19,CORN,UNITED STATES,,"CORN - PROGRESS, MEASURED IN PCT PLANTED",2025-06-08,,23,,PROGRESS
19,WEEK #13,ALL UTILIZATION PRACTICES,IA,,2024,2024-04-01 16:00:00.000,,,13,TOTAL,CROPS,IOWA,,0,PCT PLANTED,,WEEKLY,FIELD CROPS,STATE,IOWA,ALL CLASSES,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,19,CORN,UNITED STATES,,"CORN - PROGRESS, MEASURED IN PCT PLANTED",2024-03-31,,13,,PROGRESS
19,WEEK #14,ALL UTILIZATION PRACTICES,IA,,2024,2024-04-08 16:00:00.000,,,14,TOTAL,CROPS,IOWA,,0,PCT PLANTED,,WEEKLY,FIELD CROPS,STATE,IOWA,ALL CLASSES,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,19,CORN,UNITED STATES,,"CORN - PROGRESS, MEASURED IN PCT PLANTED",2024-04-07,,14,,PROGRESS
19,WEEK #15,ALL UTILIZATION PRACTICES,IA,,2024,2024-04-15 16:00:00.000,,,15,TOTAL,CROPS,IOWA,,4,PCT PLANTED,,WEEKLY,FIELD CROPS,STATE,IOWA,ALL CLASSES,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,19,CORN,UNITED STATES,,"CORN - PROGRESS, MEASURED IN PCT PLANTED",2024-04-14,,15,,PROGRESS
19,WEEK #16,ALL UTILIZATION PRACTICES,IA,,2024,2024-04-22 16:00:00.000,,,16,TOTAL,CROPS,IOWA,,13,PCT PLANTED,,WEEKLY,FIELD CROPS,STATE,IOWA,ALL CLASSES,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,19,CORN,UNITED STATES,,"CORN - PROGRESS, MEASURED IN PCT PLANTED",2024-04-21,,16,,PROGRESS
19,WEEK #17,ALL UTILIZATION PRACTICES,IA,,2024,2024-04-29 16:00:00.000,,,17,TOTAL,CROPS,IOWA,,39,PCT PLANTED,,WEEKLY,FIELD CROPS,STATE,IOWA,ALL CLASSES,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,19,CORN,UNITED STATES,,"CORN - PROGRESS, MEASURED IN PCT PLANTED",2024-04-28,,17,,PROGRESS
